"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2"
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,3,"DESSP3","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Dytiscidae","Hydroporinae","Hyphydrini","Desmopachria","Desmopachria sp.","genus","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,12,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,5,"COESP","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Coenagrionidae",NA,NA,NA,"Coenagrionidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,833.333333333333,"count per square meter",NA,8,"prd",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,20,"TANSP11","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Tanytarsus","Tanytarsus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,3333.33333333333,"count per square meter",NA,6,"cf",NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,2,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,8,"count per square meter",NA,5,"cg",NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,1,"SMISP","Arthropoda","Hexapoda","Collembola",NA,"Collembola","Sminthuridae",NA,NA,NA,"Sminthuridae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,5,"CULSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Culicidae",NA,NA,NA,"Culicidae sp.","family","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,20,"count per square meter","unknown_culicid",8,"cf",NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,1,"LIBSP","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Libellulidae",NA,NA,NA,"Libellulidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter",NA,NA,"prd",NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,6,"PISSP2","Mollusca",NA,"Bivalvia","Heterodonta","Veneroida","Pisidiidae",NA,NA,NA,"Pisidiidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,1000,"count per square meter",NA,6,"cf",NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,6,"BAESP","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,NA,"Baetidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,1000,"count per square meter",NA,6,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,40,"CHISP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,6666.66666666667,"count per square meter",NA,10,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,1,"PELSP3","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Haliplidae",NA,NA,"Peltodytes","Peltodytes sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter","crawling_water_beetle",5,"sh","prc"
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,1,"PLASP10","Mollusca",NA,"Gastropoda",NA,"Basommatophora","Planorbidae",NA,NA,"Planorbella","Planorbella sp.","genus","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,4,"count per square meter","Planorbella_trivolvis",6,"scr",NA
"ARIK.20140714.CORER.3","D10","ARIK",2014-07-14 17:51:00,4,"ODOSP6","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Stratiomyidae","Stratiomyinae","Stratiomyini","Odontomyia/Hedriodiscus","Odontomyia/Hedriodiscus sp.","speciesGroup","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,666.666666666667,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.CORER.3","D10","ARIK",2014-07-14 17:51:00,4,"COESP","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Coenagrionidae",NA,NA,NA,"Coenagrionidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,666.666666666667,"count per square meter",NA,8,"prd",NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,4,"PODAQU","Arthropoda","Hexapoda","Collembola",NA,"Collembola","Poduridae",NA,NA,"Podura","Podura aquatica","species","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,666.666666666667,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,60,"CHISP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,10000,"count per square meter",NA,10,"cg",NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,1,"CHISP2","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae",NA,NA,NA,"Chironomidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter","midges",6,"cg","om"
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,1,"TURSP","Platyhelminthes",NA,"Turbellaria",NA,NA,NA,NA,NA,NA,"Turbellaria sp.","class","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter",NA,6,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,80,"PARSP34","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Paratanytarsus","Paratanytarsus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,13333.3333333333,"count per square meter","midges",6,"cf",NA
"ARIK.20140714.CORER.3","D10","ARIK",2014-07-14 17:51:00,8,"HYDSP28","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Dytiscidae","Hydroporinae","Hydrovatini","Hydrovatus","Hydrovatus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,1333.33333333333,"count per square meter",NA,5,"prd",NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,18,"LUMSP6","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,"Lumbriculus","Lumbriculus sp.","genus","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,72,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.KICKNET.4","D10","ARIK",2014-07-14 17:51:00,2,"BAESP","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,NA,"Baetidae sp.","family","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,8,"count per square meter",NA,6,"cg",NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,1,"CORSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Hemiptera","Corixidae",NA,NA,NA,"Corixidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter",NA,5,"prd",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,20,"TANSP11","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Tanytarsus","Tanytarsus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,3333.33333333333,"count per square meter",NA,6,"cf",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,1,"SMISP","Arthropoda","Hexapoda","Collembola",NA,"Collembola","Sminthuridae",NA,NA,NA,"Sminthuridae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,2,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,8,"count per square meter",NA,5,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,4,"HELSP4","Mollusca",NA,"Gastropoda",NA,"Basommatophora","Planorbidae",NA,NA,"Helisoma","Helisoma sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,666.666666666667,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,1,"TURSP","Platyhelminthes",NA,"Turbellaria",NA,NA,NA,NA,NA,NA,"Turbellaria sp.","class","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,4,"count per square meter",NA,6,"cg",NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,6,"TURSP","Platyhelminthes",NA,"Turbellaria",NA,NA,NA,NA,NA,NA,"Turbellaria sp.","class","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,24,"count per square meter",NA,6,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,60,"MICSP6","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Micropsectra","Micropsectra sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,10000,"count per square meter",NA,7,"cf",NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,1,"PLESP3","Arthropoda","Hexapoda","Insecta","Pterygota","Hemiptera","Pleidae",NA,NA,NA,"Pleidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.CORER.3","D10","ARIK",2014-07-14 17:51:00,4,"CULSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Culicidae",NA,NA,NA,"Culicidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,666.666666666667,"count per square meter","unknown_culicid",8,"cf",NA
"ARIK.20140714.CORER.3","D10","ARIK",2014-07-14 17:51:00,16,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,2666.66666666667,"count per square meter",NA,5,"cg",NA
"ARIK.20140714.CORER.3","D10","ARIK",2014-07-14 17:51:00,4,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,666.666666666667,"count per square meter",NA,5,"cg",NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,1,"TURSP","Platyhelminthes",NA,"Turbellaria",NA,NA,NA,NA,NA,NA,"Turbellaria sp.","class","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,4,"count per square meter",NA,6,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,2,"MESSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Hemiptera","Mesoveliidae","Mesoveliinae",NA,"Mesovelia","Mesovelia sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,333.333333333333,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,20,"CHISP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,3333.33333333333,"count per square meter",NA,10,"cg",NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,1,"NOTSP2","Arthropoda","Hexapoda","Insecta","Pterygota","Hemiptera","Notonectidae",NA,NA,NA,"Notonectidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,1,"BERSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Hydrophilidae","Hydrophilinae","Berosini","Berosus","Berosus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter",NA,5,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,2,"CALSP14","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Callibaetis","Callibaetis sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,333.333333333333,"count per square meter",NA,7,"cg",NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,1,"LIOSP","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Dytiscidae","Hydroporinae","Bidessini","Liodessus","Liodessus sp.","genus","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,4,"count per square meter",NA,5,"prd",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,60,"NAISP1","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Tanaidacea","Pseudotanaidae",NA,NA,"Nais","Nais sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,10000,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,2,"FOSSP","Mollusca",NA,"Gastropoda",NA,"Basommatophora","Lymnaeidae",NA,NA,"Fossaria","Fossaria sp.","genus","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,8,"count per square meter",NA,6,"scr",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,1,"PELEDE","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Haliplidae",NA,NA,"Peltodytes","Peltodytes edentulus","species","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,9,"LUMSP6","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,"Lumbriculus","Lumbriculus sp.","genus","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,36,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,9,"COESP","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Coenagrionidae",NA,NA,NA,"Coenagrionidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,1500,"count per square meter",NA,8,"prd",NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,1,"DIPSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera",NA,NA,NA,NA,"Diptera sp.","order","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,4,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,1,"BAESP","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,NA,"Baetidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter",NA,6,"cg",NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,1,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,4,"count per square meter",NA,5,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,20,"DICSP7","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Dicrotendipes","Dicrotendipes sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,3333.33333333333,"count per square meter",NA,8,"cg",NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,5,"TURSP","Platyhelminthes",NA,"Turbellaria",NA,NA,NA,NA,NA,NA,"Turbellaria sp.","class","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,20,"count per square meter",NA,6,"cg",NA
"ARIK.20140714.CORER.3","D10","ARIK",2014-07-14 17:51:00,4,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,666.666666666667,"count per square meter",NA,5,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,40,"NAISP1","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Tanaidacea","Pseudotanaidae",NA,NA,"Nais","Nais sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,6666.66666666667,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,1,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter",NA,5,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,2,"BAESP","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,NA,"Baetidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,333.333333333333,"count per square meter",NA,6,"cg",NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,1,"HYDSP28","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Dytiscidae","Hydroporinae","Hydrovatini","Hydrovatus","Hydrovatus sp.","genus","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,4,"count per square meter",NA,5,"prd",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,20,"PARSP34","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Paratanytarsus","Paratanytarsus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,3333.33333333333,"count per square meter","midges",6,"cf",NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,1,"PLASP10","Mollusca",NA,"Gastropoda",NA,"Basommatophora","Planorbidae",NA,NA,"Planorbella","Planorbella sp.","genus","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,4,"count per square meter","Planorbella_trivolvis",6,"scr",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,60,"PARSP34","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Paratanytarsus","Paratanytarsus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,10000,"count per square meter","midges",6,"cf",NA
"ARIK.20140714.CORER.3","D10","ARIK",2014-07-14 17:51:00,8,"TURSP","Platyhelminthes",NA,"Turbellaria",NA,NA,NA,NA,NA,NA,"Turbellaria sp.","class","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,1333.33333333333,"count per square meter",NA,6,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,4,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,666.666666666667,"count per square meter",NA,5,"cg",NA
"ARIK.20140714.CORER.1","D10","ARIK",2014-07-14 17:51:00,1,"CHISP2","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae",NA,NA,NA,"Chironomidae sp.","family","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,166.666666666667,"count per square meter","midges",6,"cg","om"
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,1,"HELTRI","Annelida","Clitellata","Hirudinea","Hirudinea","Rhynchobdellida","Glossiphoniidae","Haementeriinae",NA,"Helobdella","Helobdella triserialis","species","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,4,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,37,"LUMSP6","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,"Lumbriculus","Lumbriculus sp.","genus","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,148,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,12,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,2000,"count per square meter",NA,5,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,20,"CHISP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,3333.33333333333,"count per square meter",NA,10,"cg",NA
"ARIK.20140714.CORER.2","D10","ARIK",2014-07-14 17:51:00,6,"PROSP2","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes",NA,NA,NA,NA,"Prostigmata sp.","suborder","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,1000,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.KICKNET.3","D10","ARIK",2014-07-14 17:51:00,1,"CELSP2","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Dytiscidae","Hydroporinae","Methlini","Celina","Celina sp.","genus","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25,4,"count per square meter",NA,NA,NA,NA
"ARIK.20140714.CORER.3","D10","ARIK",2014-07-14 17:51:00,4,"ARRSP2","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Arrenuridae",NA,NA,"Arrenurus","Arrenurus sp.","genus","ARIK.20140714",2014-07-14,2014,"pool","core",0.006,666.666666666667,"count per square meter",NA,5,"prd",NA
