"","siteID","domainID","namedLocation","decimalLatitude","decimalLongitude","elevation","sampleID","eventID","date","year","habitatType","samplerType","benthicArea"
"1","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140714.KICKNET.4","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25
"2","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140714.CORER.2","ARIK.20140714",2014-07-14,2014,"pool","core",0.006
"3","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140714.KICKNET.1","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25
"4","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140714.KICKNET.2","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25
"5","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140714.KICKNET.5","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25
"6","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140714.KICKNET.3","ARIK.20140714",2014-07-14,2014,"run","modifiedKicknet",0.25
"7","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140714.CORER.1","ARIK.20140714",2014-07-14,2014,"pool","core",0.006
"8","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140714.CORER.3","ARIK.20140714",2014-07-14,2014,"pool","core",0.006
"9","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140929.CORER.3","ARIK.20140929",2014-09-29,2014,"pool","core",0.006
"10","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140929.KICKNET.2","ARIK.20140929",2014-09-29,2014,"run","modifiedKicknet",0.25
"11","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140929.KICKNET.4","ARIK.20140929",2014-09-29,2014,"run","modifiedKicknet",0.25
"12","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140929.KICKNET.5","ARIK.20140929",2014-09-29,2014,"run","modifiedKicknet",0.25
"13","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140929.CORER.2","ARIK.20140929",2014-09-29,2014,"pool","core",0.006
"14","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140929.KICKNET.3","ARIK.20140929",2014-09-29,2014,"run","modifiedKicknet",0.25
"15","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140929.KICKNET.1","ARIK.20140929",2014-09-29,2014,"run","modifiedKicknet",0.25
"16","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20140929.CORER.1","ARIK.20140929",2014-09-29,2014,"pool","core",0.006
"17","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20150325.KICKNET.1","ARIK.20150325",2015-03-25,2015,"run","modifiedKicknet",0.25
"18","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20150325.CORE.2","ARIK.20150325",2015-03-25,2015,"run","core",0.006
"19","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20150325.KICKNET.3","ARIK.20150325",2015-03-25,2015,"run","modifiedKicknet",0.25
"20","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20150325.CORE.1","ARIK.20150325",2015-03-25,2015,"run","core",0.006
"21","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5,"ARIK.20150325.KICKNET.5","ARIK.20150325",2015-03-25,2015,"run","modifiedKicknet",0.25
