"","siteID","domainID","namedLocation","decimalLatitude","decimalLongitude","elevation","sampleID","eventID","date","year","habitatType","samplerType","benthicArea"
"1","BARC","D03","BARC.AOS.outlet",29.674748,-82.008401,27.1,"BARC.20140701.PONAR.3","BARC.20140701",2014-07-01,2014,"pelagic","petitePonar",0.023
"2","BARC","D03","BARC.AOS.riparian.point.05",29.674476,-82.007454,25.9,"BARC.20140701.INV.3","BARC.20140701",2014-07-01,2014,"littoral","modifiedKicknet",0.25
"3","BARC","D03","BARC.AOS.inlet",29.677479,-82.00771,26,"BARC.20140701.PONAR.2","BARC.20140701",2014-07-01,2014,"pelagic","petitePonar",0.023
"4","BARC","D03","BARC.AOS.riparian.point.03",29.676118,-82.006564,22.2,"BARC.20140701.INV.2","BARC.20140701",2014-07-01,2014,"littoral","modifiedKicknet",0.25
"5","BARC","D03","BARC.AOS.riparian.point.09",29.676597,-82.009967,19.5,"BARC.20140701.INV.5","BARC.20140701",2014-07-01,2014,"littoral","modifiedKicknet",0.25
"6","BARC","D03","BARC.AOS.riparian.point.07",29.674953,-82.009818,26.4,"BARC.20140701.INV.4","BARC.20140701",2014-07-01,2014,"littoral","modifiedKicknet",0.25
"7","BARC","D03","BARC.AOS.buoy.c0",29.675982,-82.008414,27,"BARC.20140701.PONAR.1","BARC.20140701",2014-07-01,2014,"pelagic","petitePonar",0.023
"8","BARC","D03","BARC.AOS.riparian.point.01",29.677784,-82.00767,24.7,"BARC.20140701.INV.1","BARC.20140701",2014-07-01,2014,"littoral","modifiedKicknet",0.25
"9","BARC","D03","BARC.AOS.reach",29.675982,-82.008414,27,NA,"BARC.20141029",2014-10-29,2014,"littoral",NA,NA
"10","BARC","D03","BARC.AOS.reach",29.675982,-82.008414,27,NA,"BARC.20141029",2014-10-29,2014,"pelagic",NA,NA
"11","BARC","D03","BARC.AOS.reach",29.675982,-82.008414,27,"1","BARC.20141029",2014-10-29,2014,"littoral",NA,NA
"12","BARC","D03","BARC.AOS.reach",29.675982,-82.008414,27,NA,"BARC.20150209",2015-02-09,2015,"littoral",NA,NA
"13","BARC","D03","BARC.AOS.reach",29.675982,-82.008414,27,NA,"BARC.20150209",2015-02-09,2015,"pelagic",NA,NA
"14","BARC","D03","BARC.AOS.reach",29.675982,-82.008414,27,"1","BARC.20150209",2015-02-09,2015,"littoral",NA,NA
"15","BARC","D03","BARC.AOS.riparian.point.10",29.677686,-82.008911,24.2,"BARC.20150630.SWEEP.5","BARC.20150630",2015-06-30,2015,"littoral","benthicSweep",0.305
