"domainID","siteID","namedLocation","collectDate","algSampleID","perBottleSampleVolume","algalParameter","algalParameterValue","algalParameterUnit","acceptedTaxonID","eventID","date","year","habitatType","algalSampleType","samplerType","fieldSampleVolume","labSampleVolume","preservativeVolume","benthicArea","substratumSizeClass","algalCountPerMl"
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.2",60,"cell density",4048.6,"cellsPerBottle","NEONDREX47006","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",67.4766666666667
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.3",60,"cell density",13.5,"cellsPerBottle","NEONDREX46166","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",0.225
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.4",60,"cell density",109311.7,"cellsPerBottle","NEONDREX1010","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",1821.86166666667
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"cell density",8097.2,"cellsPerBottle","NEONDREX48008","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",134.953333333333
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.1",60,"cell density",82.1,"cellsPerBottle","NEONDREX37473","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",1.36833333333333
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"cell density",8097.2,"cellsPerBottle","NEONDREX37168","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",134.953333333333
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.2",60,"cell density",16194.3,"cellsPerBottle","NEONDREX1036","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",269.905
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.6",60,"cell density",2132.3,"cellsPerBottle","NEONDREX37062","CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,125,58.8,1.2,0.002406,"cobble",35.5383333333333
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"cell density",16194.3,"cellsPerBottle","NEONDREX110005","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",269.905
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"cell density",12145.7,"cellsPerBottle","NEONDREX34098","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",202.428333333333
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.4",60,"cell density",12145.7,"cellsPerBottle","NEONDREX55004","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",202.428333333333
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.3",60,"cell density",6.7,"cellsPerBottle","NEONDREX27002","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",0.111666666666667
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.6",60,"cell density",27,"cellsPerBottle","NEONDREX33172","CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,125,58.8,1.2,0.002406,"cobble",0.45
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.6",60,"cell density",458.8,"cellsPerBottle","NEONDREX1027","CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,125,58.8,1.2,0.002406,"cobble",7.64666666666667
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.3",60,"cell density",6.7,"cellsPerBottle","NEONDREX110014","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",0.111666666666667
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.7",60,"cell density",1619.4,"cellsPerBottle","NEONDREX1010","CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,125,58.8,1.2,0.002406,"cobble",26.99
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.1",60,"cell density",246.2,"cellsPerBottle","NEONDREX1027","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",4.10333333333333
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"cell density",186234.8,"cellsPerBottle","NEONDREX37062","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",3103.91333333333
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.1",60,"cell density",27.4,"cellsPerBottle","NEONDREX1036","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",0.456666666666667
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.6",60,"cell density",458.8,"cellsPerBottle","NEONDREX37473","CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,125,58.8,1.2,0.002406,"cobble",7.64666666666667
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.6",60,"cell density",242.9,"cellsPerBottle","NEONDREX204004","CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,125,58.8,1.2,0.002406,"cobble",4.04833333333333
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.6",60,"cell density",2361.7,"cellsPerBottle","NEONDREX55002","CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,125,58.8,1.2,0.002406,"cobble",39.3616666666667
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.6",60,"cell density",121.5,"cellsPerBottle","NEONDREX189004","CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,125,58.8,1.2,0.002406,"cobble",2.025
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"cell density",89068.8,"cellsPerBottle","NEONDREX1010","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",1484.48
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"cell density",60728.7,"cellsPerBottle","NEONDREX189004","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",1012.145
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.1",60,"cell density",300.9,"cellsPerBottle","NEONDREX55002","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",5.015
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.1",60,"cell density",656.5,"cellsPerBottle","NEONDREX1010","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",10.9416666666667
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.6",60,"cell density",620.8,"cellsPerBottle","NEONDREX187002","CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,125,58.8,1.2,0.002406,"cobble",10.3466666666667
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"cell density",80971.7,"cellsPerBottle","NEONDREX204004","CARI.20160712",2016-07-12,2016,"run","epilithon",NA,125,58.8,1.2,0.002406,"cobble",1349.52833333333
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.7",60,"cell density",2294.2,"cellsPerBottle","NEONDREX187002","CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,125,58.8,1.2,0.002406,"cobble",38.2366666666667
