"date","sampleID","perBottleSampleVolume","algalParameter","algalParameterUnit","total.alg","parentSampleID","fieldSampleVolume","labSampleVolume","preservativeVolume","year","domainID","siteID","eventID","namedLocation","decimalLatitude","decimalLongitude","elevation","habitatType","algalSampleType","samplerType","benthicArea","substratumSizeClass","labVol","algCountPerMl","algAbundPerArea"
2016-07-12,"CARI.20160712.EPILITHON.1",60,"cell density","cellsPerBottle",3966.8,"CARI.20160712.EPILITHON.1",125,58.8,1.2,2016,"D19","CARI","CARI.20160712","CARI.AOS.reach",65.153224,-147.503973,224.9,"run","epilithon",NA,0.002406,"cobble",60,66.1133333333333,3434815.7384317
2016-07-12,"CARI.20160712.EPILITHON.2",60,"cell density","cellsPerBottle",1295546.6,"CARI.20160712.EPILITHON.2",125,58.8,1.2,2016,"D19","CARI","CARI.20160712","CARI.AOS.reach",65.153224,-147.503973,224.9,"run","epilithon",NA,0.002406,"cobble",60,21592.4433333333,1121801918.81408
2016-07-12,"CARI.20160712.EPILITHON.3",60,"cell density","cellsPerBottle",3664.5,"CARI.20160712.EPILITHON.3",125,58.8,1.2,2016,"D19","CARI","CARI.20160712","CARI.AOS.reach",65.153224,-147.503973,224.9,"run","epilithon",NA,0.002406,"cobble",60,61.075,3173056.94098088
2016-07-12,"CARI.20160712.EPILITHON.4",60,"cell density","cellsPerBottle",1182186.3,"CARI.20160712.EPILITHON.4",125,58.8,1.2,2016,"D19","CARI","CARI.20160712","CARI.AOS.reach",65.153224,-147.503973,224.9,"run","epilithon",NA,0.002406,"cobble",60,19703.105,1023644274.72984
2016-07-12,"CARI.20160712.EPILITHON.5",60,"cell density","cellsPerBottle",834008.2,"CARI.20160712.EPILITHON.5",125,58.8,1.2,2016,"D19","CARI","CARI.20160712","CARI.AOS.reach",65.153224,-147.503973,224.9,"run","epilithon",NA,0.002406,"cobble",60,13900.1366666667,722160051.260737
2016-07-12,"CARI.20160712.EPILITHON.6",60,"cell density","cellsPerBottle",7436.1,"CARI.20160712.EPILITHON.6",125,58.8,1.2,2016,"D19","CARI","CARI.20160712","CARI.AOS.reach",65.153224,-147.503973,224.9,"riffle","epilithon",NA,0.002406,"cobble",60,123.935,6438850.78969244
2016-07-12,"CARI.20160712.EPILITHON.7",60,"cell density","cellsPerBottle",19703.1,"CARI.20160712.EPILITHON.7",125,58.8,1.2,2016,"D19","CARI","CARI.20160712","CARI.AOS.reach",65.153224,-147.503973,224.9,"riffle","epilithon",NA,0.002406,"cobble",60,328.385,17060733.5827099
2016-07-12,"CARI.20160712.EPILITHON.8",59,"cell density","cellsPerBottle",597165.8,"CARI.20160712.EPILITHON.8",125,58.8,1.2,2016,"D19","CARI","CARI.20160712","CARI.AOS.reach",65.153224,-147.503973,224.9,"riffle","epilithon",NA,0.002406,"cobble",60,9952.76333333333,517080389.304516
2016-08-23,"CARI.20160823.EPILITHON.1",57,"cell density","cellsPerBottle",53307.6,"CARI.20160823.EPILITHON.1",125,58.8,1.2,2016,"D19","CARI","CARI.20160823","CARI.AOS.reach",65.153224,-147.503973,224.9,"run","epilithon",NA,0.002406,"cobble",60,888.46,46158561.9285121
2016-08-23,"CARI.20160823.EPILITHON.2",59,"cell density","cellsPerBottle",1064340.2,"CARI.20160823.EPILITHON.2",125,58.8,1.2,2016,"D19","CARI","CARI.20160823","CARI.AOS.reach",65.153224,-147.503973,224.9,"riffle","epilithon",NA,0.002406,"cobble",60,17739.0033333333,921602417.567193
2016-08-23,"CARI.20160823.EPILITHON.3",57,"cell density","cellsPerBottle",1333698.2,"CARI.20160823.EPILITHON.3",125,58.8,1.2,2016,"D19","CARI","CARI.20160823","CARI.AOS.reach",65.153224,-147.503973,224.9,"run","epilithon",NA,0.002406,"cobble",60,22228.3033333333,1154837039.34608
2016-08-23,"CARI.20160823.EPILITHON.4",57,"cell density","cellsPerBottle",545553.2,"CARI.20160823.EPILITHON.4",125,58.8,1.2,2016,"D19","CARI","CARI.20160823","CARI.AOS.reach",65.153224,-147.503973,224.9,"riffle","epilithon",NA,0.002406,"cobble",60,9092.55333333334,472389512.330285
2016-08-23,"CARI.20160823.EPILITHON.5",57,"cell density","cellsPerBottle",1764111.1,"CARI.20160823.EPILITHON.5",125,58.8,1.2,2016,"D19","CARI","CARI.20160823","CARI.AOS.reach",65.153224,-147.503973,224.9,"run","epilithon",NA,0.002406,"cobble",60,29401.8516666667,1527527621.91743
2016-08-23,"CARI.20160823.EPILITHON.6",57,"cell density","cellsPerBottle",603301.1,"CARI.20160823.EPILITHON.6",125,58.8,1.2,2016,"D19","CARI","CARI.20160823","CARI.AOS.reach",65.153224,-147.503973,224.9,"run","epilithon",NA,0.002406,"cobble",60,10055.0183333333,522392889.304516
2016-08-23,"CARI.20160823.EPILITHON.7",57,"cell density","cellsPerBottle",895802.9,"CARI.20160823.EPILITHON.7",125,58.8,1.2,2016,"D19","CARI","CARI.20160823","CARI.AOS.reach",65.153224,-147.503973,224.9,"riffle","epilithon",NA,0.002406,"cobble",60,14930.0483333333,775667515.239679
