"domainID","siteID","horizontalPosition","date","mean.parws","median.parws"
"D19","CARI","101",2017-09-14,377.638125915081,393.75
"D19","CARI","101",2017-09-15,212.875784722222,16.095
"D19","CARI","101",2017-09-16,224.3973125,33.85
"D19","CARI","101",2017-09-17,197.610673611111,32
"D19","CARI","101",2017-09-18,115.089555555556,11.32
"D19","CARI","101",2017-09-19,83.3663125,5.005
"D19","CARI","101",2017-09-20,109.643423611111,9.73
"D19","CARI","101",2017-09-21,136.0854375,16.585
"D19","CARI","101",2017-09-22,81.5673263888889,4.665
"D19","CARI","101",2017-09-23,144.700347222222,5.625
"D19","CARI","101",2017-09-24,142.429486111111,11.825
"D19","CARI","101",2017-09-25,73.0255694444444,3.085
"D19","CARI","101",2017-09-26,142.452597222222,2.29
"D19","CARI","101",2017-09-27,128.390881944444,3.89
"D19","CARI","101",2017-09-28,51.3340486111111,1.805
"D19","CARI","101",2017-09-29,66.9394861111111,1.12
"D19","CARI","101",2017-09-30,72.9655416666667,1.1
"D19","CARI","101",2017-10-01,119.693895833333,0.65
"D19","CARI","101",2017-10-02,75.934625,0.37
"D19","CARI","101",2017-10-03,84.0623541666667,0.44
"D19","CARI","101",2017-10-04,58.5280763888889,0.035
"D19","CARI","101",2017-10-05,65.6373611111111,0.06
"D19","CARI","101",2017-10-06,80.6273055555556,-0.065
"D19","CARI","101",2017-10-07,53.4872847222222,-0.18
"D19","CARI","101",2017-10-08,48.2788333333333,-0.06
"D19","CARI","101",2017-10-09,59.375375,-0.2
"D19","CARI","101",2017-10-10,21.8292083333333,-0.2
"D19","CARI","101",2017-10-11,65.7284375,-0.21
"D19","CARI","101",2017-10-12,95.4300347222222,-0.21
"D19","CARI","101",2017-10-13,43.2941319444444,-0.2
"D19","CARI","101",2017-10-14,58.0713194444444,-0.22
"D19","CARI","101",2017-10-15,73.38175,-0.2
"D19","CARI","101",2017-10-16,43.4421944444444,-0.21
"D19","CARI","101",2017-10-17,15.4635,0.035
"D19","CARI","101",2017-10-18,14.2039444444444,-0.22
"D19","CARI","101",2017-10-19,18.1351597222222,-0.21
"D19","CARI","101",2017-10-20,19.448883321403,-0.22
"D19","CARI","101",2018-05-17,NA,NA
"D19","CARI","101",2018-05-18,NA,NA
"D19","CARI","101",2018-05-19,NA,NA
"D19","CARI","101",2018-05-20,NA,NA
"D19","CARI","101",2018-05-21,NA,NA
"D19","CARI","101",2018-05-22,NA,NA
"D19","CARI","101",2018-05-23,NA,NA
"D19","CARI","101",2018-05-24,NA,NA
"D19","CARI","101",2018-05-25,NA,NA
"D19","CARI","101",2018-05-26,NA,NA
"D19","CARI","101",2018-05-27,NA,NA
"D19","CARI","101",2018-05-28,NA,NA
"D19","CARI","101",2018-05-29,NA,NA
"D19","CARI","101",2018-05-30,NA,NA
"D19","CARI","101",2018-05-31,NA,NA
"D19","CARI","101",2018-06-01,NA,NA
"D19","CARI","101",2018-06-02,NA,NA
"D19","CARI","101",2018-06-03,NA,NA
"D19","CARI","101",2018-06-04,NA,NA
"D19","CARI","101",2018-06-05,NA,NA
"D19","CARI","101",2018-06-06,NA,NA
"D19","CARI","101",2018-06-07,1231.79899749373,1283.03
"D19","CARI","101",2018-06-08,494.030673611111,400.345
"D19","CARI","101",2018-06-09,427.4538125,281.785
"D19","CARI","101",2018-06-10,242.205326388889,150.76
"D19","CARI","101",2018-06-11,227.019013888889,90.525
"D19","CARI","101",2018-06-12,271.28325,170.97
"D19","CARI","101",2018-06-13,323.580083333333,224.295
"D19","CARI","101",2018-06-14,354.760465277778,296.07
"D19","CARI","101",2018-06-15,428.0868125,208.86
"D19","CARI","101",2018-06-16,246.8589375,115.085
"D19","CARI","101",2018-06-17,355.053430555556,233.09
"D19","CARI","101",2018-06-18,214.823409722222,191.65
"D19","CARI","101",2018-06-19,352.884645833333,168.11
"D19","CARI","101",2018-06-20,538.742569444444,428.725
"D19","CARI","101",2018-06-21,324.317780548628,202.4
"D19","CARI","101",2018-06-22,207.316277777778,104.27
"D19","CARI","101",2018-06-23,462.093673611111,275.615
"D19","CARI","101",2018-06-24,489.295194444444,344.265
"D19","CARI","101",2018-06-25,566.012828353023,444.11
"D19","CARI","101",2018-06-26,484.391430555556,369.145
"D19","CARI","101",2018-06-27,413.681180555556,272.745
"D19","CARI","101",2018-06-28,336.474958333333,252.105
"D19","CARI","101",2018-06-29,341.646194444444,195.145
"D19","CARI","101",2018-06-30,381.280597222222,221.275
"D19","CARI","101",2018-07-01,355.191673611111,213.97
"D19","CARI","101",2018-07-02,373.993736111111,181.815
"D19","CARI","101",2018-07-03,500.699270833333,406.005
"D19","CARI","101",2018-07-04,551.179083333333,477.42
"D19","CARI","101",2018-07-05,323.862708978328,157.615
"D19","CARI","101",2018-07-06,364.757611111111,317.68
"D19","CARI","101",2018-07-07,384.857902777778,283.045
"D19","CARI","101",2018-07-08,264.681041666667,159.355
"D19","CARI","101",2018-07-09,276.604777777778,144.225
"D19","CARI","101",2018-07-10,270.625079006772,194.52
"D19","CARI","101",2018-07-11,208.781166666667,110.505
"D19","CARI","101",2018-07-12,100.718094725511,40.49
"D19","CARI","101",2018-07-13,NA,NA
"D19","CARI","101",2018-07-14,NA,NA
"D19","CARI","101",2018-07-15,NA,NA
"D19","CARI","101",2018-07-16,NA,NA
"D19","CARI","101",2018-07-17,NA,NA
