"","siteID","domainID","namedLocation","decimalLatitude","decimalLongitude","elevation","sampleID","eventID","date","year","habitatType","samplerType","benthicArea"
"1","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160711.SURBER.3","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093
"2","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160711.KICKNET.1","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25
"3","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160711.KICKNET.2","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25
"4","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160711.KICKNET.4","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25
"5","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160711.SURBER.2","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093
"6","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160711.KICKNET.5","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25
"7","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160711.KICKNET.3","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25
"8","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160711.SURBER.1","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093
"9","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160823.KICKNET.2","CARI.20160823",2016-08-23,2016,"run","modifiedKicknet",0.25
"10","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160823.KICKNET.1","CARI.20160823",2016-08-23,2016,"run","modifiedKicknet",0.25
"11","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160823.KICKNET.5","CARI.20160823",2016-08-23,2016,"run","modifiedKicknet",0.25
"12","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160823.KICKNET.3","CARI.20160823",2016-08-23,2016,"run","modifiedKicknet",0.25
"13","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160823.SURBER.3","CARI.20160823",2016-08-23,2016,"riffle","surber",0.093
"14","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160823.SURBER.1","CARI.20160823",2016-08-23,2016,"riffle","surber",0.093
"15","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160823.KICKNET.4","CARI.20160823",2016-08-23,2016,"run","modifiedKicknet",0.25
"16","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20160823.SURBER.2","CARI.20160823",2016-08-23,2016,"riffle","surber",0.093
"17","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170515.KICKNET.8","CARI.20170515",2017-05-15,2017,"run","modifiedKicknet",0.25
"18","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170515.KICKNET.6","CARI.20170515",2017-05-15,2017,"run","modifiedKicknet",0.25
"19","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170515.SURBER.2","CARI.20170515",2017-05-15,2017,"riffle","surber",0.093
"20","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170515.SURBER.5","CARI.20170515",2017-05-15,2017,"riffle","surber",0.093
"21","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170515.KICKNET.3","CARI.20170515",2017-05-15,2017,"run","modifiedKicknet",0.25
"22","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170515.SURBER.7","CARI.20170515",2017-05-15,2017,"riffle","surber",0.093
"23","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170515.KICKNET.4","CARI.20170515",2017-05-15,2017,"run","modifiedKicknet",0.25
"24","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170515.KICKNET.1","CARI.20170515",2017-05-15,2017,"run","modifiedKicknet",0.25
"25","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170710.SURBER.2","CARI.20170710",2017-07-10,2017,"riffle","surber",0.093
"26","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170710.KICKNET.8","CARI.20170710",2017-07-10,2017,"run","modifiedKicknet",0.25
"27","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170710.KICKNET.3","CARI.20170710",2017-07-10,2017,"run","modifiedKicknet",0.25
"28","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170710.KICKNET.4","CARI.20170710",2017-07-10,2017,"run","modifiedKicknet",0.25
"29","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170710.SURBER.7","CARI.20170710",2017-07-10,2017,"riffle","surber",0.093
"30","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9,"CARI.20170710.KICKNET.6","CARI.20170710",2017-07-10,2017,"run","modifiedKicknet",0.25
