"domainID","siteID","horizontalPosition","date","mean.wTemp","median.wTemp"
"D13","COMO","101",2017-05-26,0.946527777777778,0.6575
"D13","COMO","101",2017-05-27,1.12304166666667,1.0435
"D13","COMO","101",2017-05-28,1.18321527777778,1.0455
"D13","COMO","101",2017-05-29,1.43987152777778,1.3485
"D13","COMO","101",2017-05-30,1.39175347222222,1.083
"D13","COMO","101",2017-05-31,1.49008680555556,1.1935
"D13","COMO","101",2017-06-01,1.40321180555556,1.1055
"D13","COMO","101",2017-06-02,1.70362152777778,1.566
"D13","COMO","101",2017-06-03,1.40950694444444,1.026
"D13","COMO","101",2017-06-04,1.87803472222222,1.574
"D13","COMO","101",2017-06-05,1.86748263888889,1.423
"D13","COMO","101",2017-06-06,1.81455208333333,1.6345
"D13","COMO","101",2017-06-07,1.99601041666667,1.566
"D13","COMO","101",2017-06-08,2.2304375,1.882
"D13","COMO","101",2017-06-09,2.45545833333333,2.0445
"D13","COMO","101",2017-06-10,3.12334722222222,2.5305
"D13","COMO","101",2017-06-11,3.63748958333333,3.1035
"D13","COMO","101",2017-06-12,4.00763194444444,3.7855
"D13","COMO","101",2017-06-13,3.55615972222222,3.471
"D13","COMO","101",2017-06-14,3.86020138888889,3.311
"D13","COMO","101",2017-06-15,4.38268402777778,3.996
"D13","COMO","101",2017-06-16,4.738,4.2305
"D13","COMO","101",2017-06-17,5.65869097222222,5.238
"D13","COMO","101",2017-06-18,5.89302430555556,5.5315
"D13","COMO","101",2017-06-19,6.20059722222222,5.8785
"D13","COMO","101",2017-06-20,6.83300347222222,6.4815
"D13","COMO","101",2017-06-21,7.71822222222222,7.4525
"D13","COMO","101",2017-06-22,7.87917708333333,7.791
"D13","COMO","101",2017-06-23,7.00354166666667,6.634
"D13","COMO","101",2017-06-24,6.70145138888889,6.7415
"D13","COMO","101",2017-06-25,7.12504861111111,6.8995
"D13","COMO","101",2017-06-26,7.43646527777778,7.2515
"D13","COMO","101",2017-06-27,8.07083680555556,7.8845
"D13","COMO","101",2017-06-28,8.11347916666667,7.939
"D13","COMO","101",2017-06-29,8.03189583333333,7.9975
"D13","COMO","101",2017-06-30,7.98090625,7.7815
"D13","COMO","101",2017-07-01,7.76703125,7.6535
"D13","COMO","101",2017-07-02,8.06353819444444,8.2585
"D13","COMO","101",2017-07-03,8.10161805555556,7.8175
"D13","COMO","101",2017-07-04,8.25749652777778,8.0805
"D13","COMO","101",2017-07-05,8.08569444444444,8.1315
"D13","COMO","101",2017-07-06,8.61328472222222,8.347
"D13","COMO","101",2017-07-07,9.08312152777778,9.1315
"D13","COMO","101",2017-07-08,8.33112847222222,8.3685
"D13","COMO","101",2017-07-09,8.18456597222222,8.1325
"D13","COMO","101",2017-07-10,8.6034375,8.487
"D13","COMO","101",2017-07-11,9.56776736111111,9.1595
"D13","COMO","101",2017-07-12,9.56859375,9.22
"D13","COMO","101",2017-07-13,8.77298611111111,8.47
"D13","COMO","101",2017-07-14,9.31759722222222,9.0645
"D13","COMO","101",2017-07-15,9.47005555555556,9.4095
"D13","COMO","101",2017-07-16,9.29439583333333,9.07
"D13","COMO","101",2017-07-17,9.40588888888889,9.1725
"D13","COMO","101",2017-07-18,9.35447916666667,9.27
"D13","COMO","101",2017-07-19,9.75263194444444,9.548
"D13","COMO","101",2017-07-20,10.1551319444444,9.9835
"D13","COMO","101",2017-07-21,10.04378125,10.1105
"D13","COMO","101",2017-07-22,9.46591319444445,9.4405
"D13","COMO","101",2017-07-23,8.89271527777778,8.699
"D13","COMO","101",2017-07-24,9.35293402777778,9.252
"D13","COMO","101",2017-07-25,9.51109722222222,9.38
"D13","COMO","101",2017-07-26,9.55882986111111,9.4925
"D13","COMO","101",2017-07-27,9.80468402777778,9.733
"D13","COMO","101",2017-07-28,9.84415625,9.797
"D13","COMO","101",2017-07-29,9.55678125,9.4265
"D13","COMO","101",2017-07-30,9.09601736111111,9.0575
"D13","COMO","101",2017-07-31,8.78803125,8.684
"D13","COMO","101",2017-08-01,8.55771527777778,8.59
"D13","COMO","101",2017-08-02,8.13486458333333,8.0165
"D13","COMO","101",2017-08-03,8.83264583333333,8.9595
"D13","COMO","101",2017-08-04,8.48997916666667,8.2725
"D13","COMO","101",2017-08-05,8.76955555555556,8.6595
"D13","COMO","101",2017-08-06,7.92297212543554,7.817
"D13","COMO","101",2017-08-07,8.21993402777778,7.9925
"D13","COMO","101",2017-08-08,7.49073611111111,7.591
"D13","COMO","101",2017-08-09,7.36543055555556,7.4355
"D13","COMO","101",2017-08-10,7.31482986111111,7.117
"D13","COMO","101",2017-08-11,7.85107342657343,7.8145
"D13","COMO","101",2017-08-12,8.21603472222222,8.1855
"D13","COMO","101",2017-08-13,8.28603472222222,8.2795
"D13","COMO","101",2017-08-14,8.19608680555556,8.194
"D13","COMO","101",2017-08-15,7.80817013888889,7.746
"D13","COMO","101",2017-08-16,7.34825347222222,7.2825
"D13","COMO","101",2017-08-17,6.98716981132075,6.966
"D13","COMO","101",2017-08-18,7.57647222222222,7.645
"D13","COMO","101",2017-08-19,7.86277430555556,7.986
"D13","COMO","101",2017-08-20,7.91784027777778,7.947
"D13","COMO","101",2017-08-21,7.51391666666667,7.6155
"D13","COMO","101",2017-08-22,7.30177083333333,7.352
"D13","COMO","101",2017-08-23,7.57684722222222,7.697
"D13","COMO","101",2017-08-24,6.96137152777778,7.0115
"D13","COMO","101",2017-08-25,6.83123263888889,6.766
"D13","COMO","101",2017-08-26,7.5088125,7.62
"D13","COMO","101",2017-08-27,7.82553472222222,7.923
"D13","COMO","101",2017-08-28,7.70592338709677,8.0235
"D13","COMO","101",2017-08-29,7.31934375,7.3265
"D13","COMO","101",2017-08-30,7.12082291666667,7.2285
"D13","COMO","101",2017-08-31,7.50773263888889,7.436
"D13","COMO","101",2017-09-01,7.68414236111111,7.688
"D13","COMO","101",2017-09-02,7.48412847222222,7.386
"D13","COMO","101",2017-09-03,7.64761111111111,7.6985
"D13","COMO","101",2017-09-04,7.67135069444444,7.7655
"D13","COMO","101",2017-09-05,7.44233333333333,7.538
"D13","COMO","101",2017-09-06,6.29330902777778,6.3575
"D13","COMO","101",2017-09-07,6.49002083333333,6.587
"D13","COMO","101",2017-09-08,6.55384722222222,6.5355
"D13","COMO","101",2017-09-09,7.18661805555556,7.155
"D13","COMO","101",2017-09-10,7.158375,7.154
"D13","COMO","101",2017-09-11,7.27588888888889,7.277
"D13","COMO","101",2017-09-12,7.19684722222222,7.1865
"D13","COMO","101",2017-09-13,7.53057088122605,7.587
"D13","COMO","101",2017-09-14,7.19464930555556,7.1805
"D13","COMO","101",2017-09-15,6.58105555555556,6.8095
"D13","COMO","101",2017-09-16,6.02826041666667,6.0715
"D13","COMO","101",2017-09-17,4.86771527777778,5.0175
"D13","COMO","101",2017-09-18,5.18486458333333,5.055
"D13","COMO","101",2017-09-19,5.25591666666667,5.3115
"D13","COMO","101",2017-09-20,5.27155072463768,5.142
"D13","COMO","101",2017-09-21,5.49491103202847,5.259
"D13","COMO","101",2017-09-22,5.46804166666667,5.5375
"D13","COMO","101",2017-09-23,5.1809375,5.1975
"D13","COMO","101",2017-09-24,3.38009027777778,3.3365
"D13","COMO","101",2017-09-25,2.36154861111111,2.2335
"D13","COMO","101",2017-09-26,2.50802083333333,2.6365
