"","siteID","domainID","namedLocation","decimalLatitude","decimalLongitude","elevation","sampleID","eventID","date","year","habitatType","samplerType","benthicArea"
"1","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20150910.SURBER.3","COMO.20150910",2015-09-10,2015,"riffle","surber",0.093
"2","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20150910.KICKNET.3","COMO.20150910",2015-09-10,2015,"run","modifiedKicknet",0.25
"3","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20150910.KICKNET.1","COMO.20150910",2015-09-10,2015,"run","modifiedKicknet",0.25
"4","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20150910.SURBER.4","COMO.20150910",2015-09-10,2015,"riffle","surber",0.093
"5","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20150910.SURBER.2","COMO.20150910",2015-09-10,2015,"riffle","surber",0.093
"6","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20150910.SURBER.5","COMO.20150910",2015-09-10,2015,"riffle","surber",0.093
"7","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20150910.SURBER.1","COMO.20150910",2015-09-10,2015,"riffle","surber",0.093
"8","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20150910.KICKNET.2","COMO.20150910",2015-09-10,2015,"run","modifiedKicknet",0.25
"9","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,NA,"COMO.20160601",2016-06-01,2016,"riffle",NA,NA
"10","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,NA,"COMO.20160601",2016-06-01,2016,"run",NA,NA
"11","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"1","COMO.20160601",2016-06-01,2016,"riffle",NA,NA
"12","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,NA,"COMO.20160724",2016-07-14,2016,"run",NA,NA
"13","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,NA,"COMO.20160724",2016-07-14,2016,"riffle",NA,NA
"14","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"1","COMO.20160724",2016-07-14,2016,"riffle",NA,NA
"15","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20160906.KICKNET.3","COMO.20160906",2016-09-06,2016,"run","modifiedKicknet",0.25
"16","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20160906.SURBER.5","COMO.20160906",2016-09-06,2016,"riffle","surber",0.093
"17","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20160906.KICKNET.2","COMO.20160906",2016-09-06,2016,"run","modifiedKicknet",0.25
"18","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20160906.SURBER.3","COMO.20160906",2016-09-06,2016,"riffle","surber",0.093
"19","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20160906.SURBER.2","COMO.20160906",2016-09-06,2016,"riffle","surber",0.093
"20","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20160906.SURBER.1","COMO.20160906",2016-09-06,2016,"riffle","surber",0.093
"21","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20160906.KICKNET.1","COMO.20160906",2016-09-06,2016,"run","modifiedKicknet",0.25
"22","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20160906.SURBER.4","COMO.20160906",2016-09-06,2016,"riffle","surber",0.093
"23","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,NA,"COMO.20170523",2017-05-23,2017,"riffle",NA,NA
"24","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,NA,"COMO.20170523",2017-05-23,2017,"run",NA,NA
"25","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"1","COMO.20170523",2017-05-23,2017,"riffle",NA,NA
"26","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20170803.SURBER.1","COMO.20170803",2017-08-03,2017,"riffle","surber",0.093
"27","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6,"COMO.20170803.KICKNET.1","COMO.20170803",2017-08-03,2017,"run","modifiedKicknet",0.25
