"domainID","siteID","horizontalPosition","date","mean.SpCond","median.SpCond","mean.DO","median.DO","mean.DOsat","median.DOsat","mean.pH","median.pH","mean.chl","median.chl","mean.turb","median.turb","mean.fDOM","median.fDOM"
"D04","CUPE","101",2018-05-18,300.164756944444,300.69,8.25454861111111,8.25,96.5221458333333,95.575,8.20252083333333,8.18,1.01182638888889,0.97,31.6720277777778,39.29,NA,NA
"D04","CUPE","101",2018-05-19,298.651694444444,298.685,8.23775694444444,8.24,96.5467986111111,95.65,8.20810416666667,8.19,1.78666666666667,1.59,1.00288888888889,0.54,NA,NA
"D04","CUPE","101",2018-05-20,299.379638637943,300.87,8.15363194444445,8.18,95.998,95.37,8.2088125,8.19,2.11804861111111,1.49,2.99397916666667,0.94,NA,NA
"D04","CUPE","101",2018-05-21,270.119489105935,282.41,8.17810668670173,8.17,95.5434109691961,95.25,8.14542449286251,8.19,4.72118707738542,2.8,121.982885048835,0.6,NA,NA
"D04","CUPE","101",2018-05-22,275.491090277778,279.15,8.24461805555556,8.29,96.0601041666667,95.79,8.10811805555556,8.1,5.15606944444444,1.11,581.321111111111,329.535,NA,NA
"D04","CUPE","101",2018-05-23,277.335611111111,276.83,8.17450694444445,8.21,95.9524861111111,95.45,8.11468055555556,8.1,0.782472222222222,0.76,-1.96761111111111,-3.03,NA,NA
"D04","CUPE","101",2018-05-24,281.209944444444,282.07,8.08256944444445,8.09,95.6080486111111,95.03,8.10691666666667,8.09,0.870256944444444,0.84,-4.11170833333333,-4.24,NA,NA
"D04","CUPE","101",2018-05-25,287.962918693537,288.13,8.0494510076442,8.03,95.4622307157748,94.65,8.10177777777778,8.09,0.808479166666667,0.77,-4.1608125,-4.31,NA,NA
"D04","CUPE","101",2018-05-26,292.372751911049,292.39,8.02078472222222,8,95.4005486111111,94.7,8.10734722222222,8.1,1.96713888888889,2.36,-4.32513888888889,-4.35,NA,NA
"D04","CUPE","101",2018-05-27,295.621430555556,295.63,8.04195138888889,8.02,95.5029444444444,95,8.10197222222222,8.09,1.78250694444444,1.62,-4.32496527777778,-4.35,NA,NA
"D04","CUPE","101",2018-05-28,297.89675,298.185,8.0275,8.01,95.4811736111111,95.08,8.09993055555556,8.09,1.17215972222222,0.99,-3.63926388888889,-4.35,NA,NA
"D04","CUPE","101",2018-05-29,297.481270833333,297.29,8.079375,8.07,95.6996180555556,95.145,8.10129166666667,8.09,1.12872916666667,1.08,-4.22720138888889,-4.35,NA,NA
"D04","CUPE","101",2018-05-30,298.795951388889,298.615,8.08780555555555,8.08,95.9614375,95.09,8.10415277777778,8.09,1.18142361111111,1.15,-4.08886111111111,-4.31,NA,NA
"D04","CUPE","101",2018-05-31,298.590958333333,300.62,8.04729861111111,8.03,95.4830972222222,95.105,8.09842361111111,8.09,0.870965277777778,0.8,-4.06824305555556,-4.28,NA,NA
"D04","CUPE","101",2018-06-01,242.188818624044,242.04,8.18249305555556,8.23,96.6647916666667,96.63,8.09815972222222,8.09,1.12429861111111,1.21,-2.4160625,-3.58,NA,NA
"D04","CUPE","101",2018-06-02,261.296944444444,262.68,8.08552777777778,8.08,96.1363055555556,95.44,8.09856944444445,8.08,0.754090277777778,0.75,0.224611111111111,-2.17,NA,NA
"D04","CUPE","101",2018-06-03,273.639749826268,274.12,8.03186111111111,8.02,96.0668055555556,95.28,8.09432638888889,8.08,0.836458333333333,0.76,-3.46072916666667,-3.58,NA,NA
"D04","CUPE","101",2018-06-04,281.319394184168,281.76,8.03663166397415,8.03,96.0188368336026,95.28,8.08949111470113,8.08,1.12761712439418,1.19,50.1084894991922,-2.415,NA,NA
"D04","CUPE","101",2018-06-05,287.764669909659,286.57,8.0259277275886,8.02,96.0549617790132,95.24,8.11292564280751,8.11,0.395066018068103,0.4,1.6141000694927,-3.07,NA,NA
"D04","CUPE","101",2018-06-06,289.394843641418,289.45,8.01975,7.99,96.0589097222222,95.14,8.13884027777778,8.12,0.398236111111111,0.39,-3.17620138888889,-3.28,NA,NA
"D04","CUPE","101",2018-06-07,292.146888888889,292.295,8.01038194444445,7.99,96.1266736111111,95.16,8.13520833333333,8.12,0.427972222222222,0.43,-3.37704861111111,-3.4,NA,NA
