"","siteID","domainID","namedLocation","decimalLatitude","decimalLongitude","elevation","sampleID","eventID","date","year","habitatType","samplerType","benthicArea"
"1","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150508.RIFFLES.2","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093
"2","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150508.RUNS.1","CUPE.20150508",2015-05-08,2015,"run","surber",0.093
"3","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150508.RIFFLES.1","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093
"4","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150508.RIFFLES.3","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093
"5","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150508.RIFFLES.4","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093
"6","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150508.RIFFLES.5","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093
"7","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150508.RUNS.2","CUPE.20150508",2015-05-08,2015,"run","surber",0.093
"8","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150508.RUNS.3","CUPE.20150508",2015-05-08,2015,"run","surber",0.093
"9","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"STCU.20150508.RUNS.2","CUPE.20150508",2015-05-08,2015,"run","surber",0.093
"10","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"STCU.20150508.RIFFLES.3","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093
"11","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"STCU.20150508.RIFFLES.1","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093
"12","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"STCU.20150508.RIFFLES.2","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093
"13","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"STCU.20150508.RUNS.3","CUPE.20150508",2015-05-08,2015,"run","surber",0.093
"14","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"STCU.20150508.RUNS.1","CUPE.20150508",2015-05-08,2015,"run","surber",0.093
"15","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"STCU.20150508.RIFFLES.4","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093
"16","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"STCU.20150508.RIFFLES.5","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093
"17","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150624.SURBER.2","CUPE.20150624",2015-06-24,2015,"riffle","surber",0.093
"18","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150624.SURBER.7","CUPE.20150624",2015-06-24,2015,"run","surber",0.093
"19","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150624.SURBER.1","CUPE.20150624",2015-06-24,2015,"riffle","surber",0.093
"20","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150624.SURBER.6","CUPE.20150624",2015-06-24,2015,"run","surber",0.093
"21","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150624.SURBER.3","CUPE.20150624",2015-06-24,2015,"riffle","surber",0.093
"22","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150624.SURBER.8","CUPE.20150624",2015-06-24,2015,"run","surber",0.093
"23","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150624.SURBER.5","CUPE.20150624",2015-06-24,2015,"riffle","surber",0.093
"24","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20150624.SURBER.4","CUPE.20150624",2015-06-24,2015,"riffle","surber",0.093
"25","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20151118.SURBER.8","CUPE.20151118",2015-11-18,2015,"run","surber",0.093
"26","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20151118.SURBER.2","CUPE.20151118",2015-11-18,2015,"riffle","surber",0.093
"27","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20151118.SURBER.7","CUPE.20151118",2015-11-18,2015,"run","surber",0.093
"28","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20151118.SURBER.1","CUPE.20151118",2015-11-18,2015,"riffle","surber",0.093
"29","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20151118.SURBER.4","CUPE.20151118",2015-11-18,2015,"riffle","surber",0.093
"30","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20151118.SURBER.5","CUPE.20151118",2015-11-18,2015,"riffle","surber",0.093
"31","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20151118.SURBER.3","CUPE.20151118",2015-11-18,2015,"riffle","surber",0.093
"32","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20151118.SURBER.6","CUPE.20151118",2015-11-18,2015,"run","surber",0.093
"33","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160129.SURBER.3","CUPE.20160129",2016-01-29,2016,"riffle","surber",0.093
"34","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160129.SURBER.4","CUPE.20160129",2016-01-29,2016,"riffle","surber",0.093
"35","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160129.SURBER.8","CUPE.20160129",2016-01-29,2016,"run","surber",0.093
"36","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160129.SURBER.1","CUPE.20160129",2016-01-29,2016,"riffle","surber",0.093
"37","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160129.SURBER.6","CUPE.20160129",2016-01-29,2016,"run","surber",0.093
"38","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160129.SURBER.5","CUPE.20160129",2016-01-29,2016,"riffle","surber",0.093
"39","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160129.SURBER.7","CUPE.20160129",2016-01-29,2016,"run","surber",0.093
"40","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160129.SURBER.2","CUPE.20160129",2016-01-29,2016,"riffle","surber",0.093
"41","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160622.SURBER.8","CUPE.20160622",2016-06-22,2016,"run","surber",0.093
"42","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160622.SURBER.4","CUPE.20160622",2016-06-22,2016,"riffle","surber",0.093
"43","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160622.SURBER.6","CUPE.20160622",2016-06-22,2016,"run","surber",0.093
"44","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160622.SURBER.5","CUPE.20160622",2016-06-22,2016,"riffle","surber",0.093
"45","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160622.SURBER.3","CUPE.20160622",2016-06-22,2016,"riffle","surber",0.093
"46","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160622.SURBER.1","CUPE.20160622",2016-06-22,2016,"riffle","surber",0.093
"47","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160622.SURBER.7","CUPE.20160622",2016-06-22,2016,"run","surber",0.093
"48","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20160622.SURBER.2","CUPE.20160622",2016-06-22,2016,"riffle","surber",0.093
"49","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,NA,"CUPE.20161208",2016-12-08,2016,"riffle",NA,NA
"50","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,NA,"CUPE.20161208",2016-12-08,2016,"run",NA,NA
"51","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"1","CUPE.20161208",2016-12-08,2016,"run",NA,NA
"52","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20170125.SURBER.8","CUPE.20170125",2017-01-25,2017,"run","surber",0.093
"53","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20170125.SURBER.4","CUPE.20170125",2017-01-25,2017,"riffle","surber",0.093
"54","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20170125.SURBER.2","CUPE.20170125",2017-01-25,2017,"riffle","surber",0.093
"55","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20170125.SURBER.6","CUPE.20170125",2017-01-25,2017,"run","surber",0.093
"56","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20170125.SURBER.3","CUPE.20170125",2017-01-25,2017,"riffle","surber",0.093
"57","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20170125.SURBER.7","CUPE.20170125",2017-01-25,2017,"run","surber",0.093
"58","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20170125.SURBER.1","CUPE.20170125",2017-01-25,2017,"riffle","surber",0.093
"59","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20170125.SURBER.5","CUPE.20170125",2017-01-25,2017,"riffle","surber",0.093
"60","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20170628.SURBER.6","CUPE.20170628",2017-06-28,2017,"run","surber",0.093
"61","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157,"CUPE.20170628.SURBER.7","CUPE.20170628",2017-06-28,2017,"run","surber",0.093
