"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","DO","pH","turb","date","time","wTemp","sampleID"
"D04","CUPE",101,100,2019-09-16 17:30:00,7.79,8.03,21.32,2019-09-16,17:30:00,25.248,NA
"D04","CUPE",101,100,2019-09-16 17:31:00,7.79,8.03,21.49,2019-09-16,17:31:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:32:00,7.79,8.03,21.46,2019-09-16,17:32:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:33:00,7.79,8.03,21.27,2019-09-16,17:33:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:34:00,7.79,8.03,21.43,2019-09-16,17:34:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:35:00,7.79,8.03,21.16,2019-09-16,17:35:00,25.224,NA
"D04","CUPE",101,100,2019-09-16 17:36:00,7.79,8.03,21.38,2019-09-16,17:36:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:37:00,7.79,8.03,21.21,2019-09-16,17:37:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:38:00,7.79,8.03,20.98,2019-09-16,17:38:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:39:00,7.79,8.03,21.02,2019-09-16,17:39:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:40:00,7.79,8.03,21.03,2019-09-16,17:40:00,25.201,NA
"D04","CUPE",101,100,2019-09-16 17:41:00,7.8,8.03,21.05,2019-09-16,17:41:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:42:00,7.79,8.03,21.36,2019-09-16,17:42:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:43:00,7.79,8.04,21.58,2019-09-16,17:43:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:44:00,7.79,8.04,21.26,2019-09-16,17:44:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:45:00,7.79,8.04,21.43,2019-09-16,17:45:00,25.176,NA
"D04","CUPE",101,100,2019-09-16 17:46:00,7.79,8.04,21.22,2019-09-16,17:46:00,NA,NA
"D04","CUPE",101,100,2019-09-16 17:47:00,7.79,8.04,21.23,2019-09-16,17:47:00,NA,NA
