"year","date","month","parentSampleID","fieldSampleVolume","domainFilterVolume","total.AFDM","season","siteID","habitatType","algalSampleType","benthicArea","substratumSizeClass"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.1",150,5,0.0015,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.2",125,5,7e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.3",125,5,0.0019,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.4",125,5,0.0014,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.5",125,5,9e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.1",60,2,0.0028,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.2",60,2,0.0021,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.3",60,2,0.0033,"Fall","HOPB","pool","epipsammon",0.005938,"sand"
2016,2016-10-05,10,"HOPB.20161005.SESTON.1",5000,250,1e-04,"Fall","HOPB","pool","seston",NA,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.1",125,2,3e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.2",125,2,0.001,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.3",125,2,3e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.4",125,2,0.001,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.5",125,2,9e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.1",125,2,2e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand"
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.2",125,2,7e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand"
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.3",125,2,0.0012,"Spring","HOPB","pool","epipsammon",0.005938,"cobble"
2017,2017-04-19,4,"HOPB.20170419.SESTON.1",5000,250,1e-04,"Spring","HOPB","pool","seston",NA,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.1",125,2,6e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.2",125,2,4e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.3",125,2,7e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.4",125,2,6e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.5",125,2,5e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-07-19,7,"HOPB.20170719.EPIPSAMMON.1",145,2,0.0012,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2017,2017-07-19,7,"HOPB.20170719.EPIPSAMMON.2",125,2,7e-04,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2017,2017-07-19,7,"HOPB.20170719.EPIPSAMMON.3",125,2,0.0052,"Summer","HOPB","pool","epipsammon",0.005938,"sand"
2017,2017-07-19,7,"HOPB.20170719.SESTON.1",5000,400,0.001,"Summer","HOPB","pool","seston",NA,"sand"
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.1",125,3,9e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
2017,2017-10-12,10,"HOPB.20171012.EPILITHON.2",125,3,7e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble"
