"acceptedTaxonID","division","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","taxonRank"
"NEONDREX192008","Chrysophyta","Bacillariophyceae","Pennales","Diatomaceae","Fragilariforma","virescens",NA,"Fragilariforma virescens (Ralfs) Williams et Round","species"
"NEONDREX7043","Chrysophyta","Bacillariophyceae","Pennales","Catenulaceae","Amphora","pediculus",NA,"Amphora pediculus (Kützing) Grunow","species"
"NEONDREX18013","Chrysophyta","Bacillariophyceae","Pennales","Brachysiraceae","Brachysira","microcephala",NA,"Brachysira microcephala (Kützing) Compère","species"
"NEONDREX12013","Chrysophyta","Bacillariophyceae","Pennales","Pinnulariaceae","Caloneis","tenuis",NA,"Caloneis tenuis (Gregory) Krammer","species"
"NEONDREX18005","Chrysophyta","Bacillariophyceae","Pennales","Brachysiraceae","Brachysira","brebissonii",NA,"Brachysira brebissonii Ross","species"
"MYXOPHYCEAESP","Cyanophyta","Myxophyceae",NA,NA,NA,"sp.",NA,"Myxophyceae sp.","class"
"NEONDREX34098","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Fragilaria","capucina","var. gracilis","Fragilaria capucina var. gracilis (Østrup) Hustedt","variety"
"NEONDREX172006","Chrysophyta","Bacillariophyceae","Pennales","Fragilariaceae","Staurosira","construens","var. venter","Staurosira construens var. venter (Ehrenberg) Hamilton","variety"
"NEONDREX1032","Chrysophyta","Bacillariophyceae","Pennales","Achnanthidiaceae","Achnanthidium","latecephalum",NA,"Achnanthidium latecephalum Kobayashi","species"
"NEONDREX186008","Chrysophyta","Bacillariophyceae","Pennales","Achnanthaceae","Psammothidium","subatomoides",NA,"Psammothidium subatomoides (Hustedt) Bukhtiyarova et Round","species"
"NEONDREX197002","Chrysophyta","Bacillariophyceae","Pennales","Diadesmidaceae","Diadesmis","contenta",NA,"Diadesmis contenta (Grunow ex Van Heurck) Mann","species"
"NEONDREX37007","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","gracile",NA,"Gomphonema gracile Ehrenberg","species"
"NEONDREX37311","Chrysophyta","Bacillariophyceae","Pennales","Gomphonemataceae","Gomphonema","parvulius",NA,"Gomphonema parvulius (Lange-Bertalot et Reichardt) Lange-Bertalot et Reichardt","species"
"NEONDREX190005","Chrysophyta","Bacillariophyceae","Pennales","Naviculaceae","Cymbopleura","naviculiformis",NA,"Cymbopleura naviculiformis (Auerswald) Krammer","species"
