"year","date","month","parentSampleID","fieldSampleVolume","domainFilterVolume","total.AFDM","season","siteID","habitatType","algalSampleType","benthicArea","substratumSizeClass","AFDM.g.m2"
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.1",150,5,0.0015,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",18.7032418952618
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.2",125,5,7e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",7.27348295926849
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.3",125,5,0.0019,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",19.7423108894431
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.4",125,5,0.0014,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",14.546965918537
2016,2016-10-05,10,"HOPB.20161005.EPILITHON.5",125,5,9e-04,"Fall","HOPB","riffle","epilithon",0.002406,"cobble",9.35162094763092
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.1",60,2,0.0028,"Fall","HOPB","pool","epipsammon",0.005938,"sand",14.1461771640283
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.2",60,2,0.0021,"Fall","HOPB","pool","epipsammon",0.005938,"sand",10.6096328730212
2016,2016-10-05,10,"HOPB.20161005.EPIPSAMMON.3",60,2,0.0033,"Fall","HOPB","pool","epipsammon",0.005938,"sand",16.6722802290333
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.1",125,2,3e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",7.7930174563591
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.2",125,2,0.001,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",25.9767248545303
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.3",125,2,3e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",7.7930174563591
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.4",125,2,0.001,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",25.9767248545303
2017,2017-04-19,4,"HOPB.20170419.EPILITHON.5",125,2,9e-04,"Spring","HOPB","riffle","epilithon",0.002406,"cobble",23.3790523690773
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.1",125,2,2e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand",2.10508588750421
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.2",125,2,7e-04,"Spring","HOPB","pool","epipsammon",0.005938,"sand",7.36780060626474
2017,2017-04-19,4,"HOPB.20170419.EPIPSAMMON.3",125,2,0.0012,"Spring","HOPB","pool","epipsammon",0.005938,"cobble",12.6305153250253
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.1",125,2,6e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",15.5860349127182
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.2",125,2,4e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",10.3906899418121
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.3",125,2,7e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",18.1837073981712
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.4",125,2,6e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",15.5860349127182
2017,2017-07-19,7,"HOPB.20170719.EPILITHON.5",125,2,5e-04,"Summer","HOPB","riffle","epilithon",0.002406,"cobble",12.9883624272652
2017,2017-07-19,7,"HOPB.20170719.EPIPSAMMON.1",145,2,0.0012,"Summer","HOPB","pool","epipsammon",0.005938,"sand",14.6513977770293
2017,2017-07-19,7,"HOPB.20170719.EPIPSAMMON.2",125,2,7e-04,"Summer","HOPB","pool","epipsammon",0.005938,"sand",7.36780060626474
