"domainID","siteID","date","year","yday","daily.precip","mon.precip"
"D01","HOPB",2018-01-01,2018,1,2.34,NA
"D01","HOPB",2018-01-02,2018,2,1.66,NA
"D01","HOPB",2018-01-03,2018,3,1.8,NA
"D01","HOPB",2018-01-04,2018,4,16.81,NA
"D01","HOPB",2018-01-05,2018,5,0.8,NA
"D01","HOPB",2018-01-06,2018,6,2.14,NA
"D01","HOPB",2018-01-07,2018,7,1.34,NA
"D01","HOPB",2018-01-08,2018,8,0.75,NA
"D01","HOPB",2018-01-09,2018,9,2.02,NA
"D01","HOPB",2018-01-10,2018,10,1.88,NA
"D01","HOPB",2018-01-11,2018,11,1.04,NA
"D01","HOPB",2018-01-12,2018,12,27.3,NA
"D01","HOPB",2018-01-13,2018,13,23.02,NA
"D01","HOPB",2018-01-14,2018,14,1.16,NA
"D01","HOPB",2018-01-15,2018,15,1.08,NA
"D01","HOPB",2018-01-16,2018,16,1.01,NA
"D01","HOPB",2018-01-17,2018,17,2.21,NA
"D01","HOPB",2018-01-18,2018,18,0.94,NA
"D01","HOPB",2018-01-19,2018,19,1.43,NA
"D01","HOPB",2018-01-20,2018,20,1.53,NA
"D01","HOPB",2018-01-21,2018,21,0.67,NA
"D01","HOPB",2018-01-22,2018,22,0.91,NA
"D01","HOPB",2018-01-23,2018,23,11.54,NA
"D01","HOPB",2018-01-24,2018,24,2.49,NA
"D01","HOPB",2018-01-25,2018,25,1.19,NA
"D01","HOPB",2018-01-26,2018,26,0.96,NA
"D01","HOPB",2018-01-27,2018,27,0.96,NA
"D01","HOPB",2018-01-28,2018,28,1.01,NA
"D01","HOPB",2018-01-29,2018,29,1.43,NA
"D01","HOPB",2018-01-30,2018,30,0.97,114.39
"D01","HOPB",2018-01-31,2018,31,1.15,113.2
"D01","HOPB",2018-02-01,2018,32,1.38,112.92
"D01","HOPB",2018-02-02,2018,33,5,116.12
"D01","HOPB",2018-02-03,2018,34,1.29,100.6
"D01","HOPB",2018-02-04,2018,35,0.9,100.7
"D01","HOPB",2018-02-05,2018,36,8.78,107.34
"D01","HOPB",2018-02-06,2018,37,1.29,107.29
"D01","HOPB",2018-02-07,2018,38,8.3,114.84
"D01","HOPB",2018-02-08,2018,39,1.73,114.55
"D01","HOPB",2018-02-09,2018,40,1.37,114.04
"D01","HOPB",2018-02-10,2018,41,0.88,113.88
"D01","HOPB",2018-02-11,2018,42,15.38,101.96
"D01","HOPB",2018-02-12,2018,43,0.92,79.86
"D01","HOPB",2018-02-13,2018,44,0.88,79.58
"D01","HOPB",2018-02-14,2018,45,1.25,79.75
"D01","HOPB",2018-02-15,2018,46,1.21,79.95
"D01","HOPB",2018-02-16,2018,47,0.46,78.2
"D01","HOPB",2018-02-17,2018,48,1.52,78.78
"D01","HOPB",2018-02-18,2018,49,5.59,82.94
"D01","HOPB",2018-02-19,2018,50,1.07,82.48
"D01","HOPB",2018-02-20,2018,51,2.06,83.87
"D01","HOPB",2018-02-21,2018,52,0.48,83.44
"D01","HOPB",2018-02-22,2018,53,1.42,73.32
"D01","HOPB",2018-02-23,2018,54,2.11,72.94
"D01","HOPB",2018-02-24,2018,55,0.93,72.68
"D01","HOPB",2018-02-25,2018,56,6.24,77.96
"D01","HOPB",2018-02-26,2018,57,1.09,78.09
"D01","HOPB",2018-02-27,2018,58,1.04,78.12
"D01","HOPB",2018-02-28,2018,59,1.23,77.92
"D01","HOPB",2018-03-01,2018,60,1.45,78.4
"D01","HOPB",2018-03-02,2018,61,13.11,90.36
"D01","HOPB",2018-03-03,2018,62,1.08,90.06
"D01","HOPB",2018-03-04,2018,63,0.45,85.51
"D01","HOPB",2018-03-05,2018,64,1.62,85.84
"D01","HOPB",2018-03-06,2018,65,1.05,85.99
"D01","HOPB",2018-03-07,2018,66,3.47,80.68
"D01","HOPB",2018-03-08,2018,67,13.2,92.59
"D01","HOPB",2018-03-09,2018,68,1.18,85.47
"D01","HOPB",2018-03-10,2018,69,2.15,85.89
"D01","HOPB",2018-03-11,2018,70,1.36,85.88
"D01","HOPB",2018-03-12,2018,71,0.63,85.63
"D01","HOPB",2018-03-13,2018,72,9.98,80.23
"D01","HOPB",2018-03-14,2018,73,2.11,81.42
"D01","HOPB",2018-03-15,2018,74,1.02,81.56
"D01","HOPB",2018-03-16,2018,75,1.46,81.77
"D01","HOPB",2018-03-17,2018,76,1.61,82.17
"D01","HOPB",2018-03-18,2018,77,1.11,82.82
"D01","HOPB",2018-03-19,2018,78,0.81,82.11
"D01","HOPB",2018-03-20,2018,79,1.38,77.9
"D01","HOPB",2018-03-21,2018,80,1.03,77.86
"D01","HOPB",2018-03-22,2018,81,1.08,76.88
"D01","HOPB",2018-03-23,2018,82,1.01,77.41
"D01","HOPB",2018-03-24,2018,83,0.59,76.58
"D01","HOPB",2018-03-25,2018,84,1.08,75.55
"D01","HOPB",2018-03-26,2018,85,0.79,75.41
"D01","HOPB",2018-03-27,2018,86,0.51,69.68
"D01","HOPB",2018-03-28,2018,87,1.07,69.66
"D01","HOPB",2018-03-29,2018,88,0.45,69.07
"D01","HOPB",2018-03-30,2018,89,0.02,67.86
"D01","HOPB",2018-03-31,2018,90,0.89,67.3
"D01","HOPB",2018-04-01,2018,91,1.02,55.21
"D01","HOPB",2018-04-02,2018,92,2.86,56.99
"D01","HOPB",2018-04-03,2018,93,4.39,60.93
"D01","HOPB",2018-04-04,2018,94,6.67,65.98
"D01","HOPB",2018-04-05,2018,95,1.29,66.22
"D01","HOPB",2018-04-06,2018,96,2.42,65.17
"D01","HOPB",2018-04-07,2018,97,6.04,58.01
"D01","HOPB",2018-04-08,2018,98,1.52,58.35
"D01","HOPB",2018-04-09,2018,99,1.48,57.68
"D01","HOPB",2018-04-10,2018,100,1.13,57.45
"D01","HOPB",2018-04-11,2018,101,0.58,57.4
"D01","HOPB",2018-04-12,2018,102,2.38,49.8
"D01","HOPB",2018-04-13,2018,103,1.99,49.68
"D01","HOPB",2018-04-14,2018,104,2,50.66
"D01","HOPB",2018-04-15,2018,105,0.92,50.12
"D01","HOPB",2018-04-16,2018,106,32.21,80.72
"D01","HOPB",2018-04-17,2018,107,0.97,80.58
"D01","HOPB",2018-04-18,2018,108,0.73,80.5
"D01","HOPB",2018-04-19,2018,109,4.04,83.16
"D01","HOPB",2018-04-20,2018,110,0.52,82.65
"D01","HOPB",2018-04-21,2018,111,0.78,82.35
"D01","HOPB",2018-04-22,2018,112,0.55,81.89
"D01","HOPB",2018-04-23,2018,113,0.31,81.61
"D01","HOPB",2018-04-24,2018,114,0.4,80.93
"D01","HOPB",2018-04-25,2018,115,7.97,88.11
"D01","HOPB",2018-04-26,2018,116,4.34,91.94
"D01","HOPB",2018-04-27,2018,117,4.95,95.82
"D01","HOPB",2018-04-28,2018,118,0.95,96.32
"D01","HOPB",2018-04-29,2018,119,5.02,101.32
"D01","HOPB",2018-04-30,2018,120,4.29,104.72
"D01","HOPB",2018-05-01,2018,121,0.85,104.55
"D01","HOPB",2018-05-02,2018,122,0.25,101.94
"D01","HOPB",2018-05-03,2018,123,0.51,98.06
"D01","HOPB",2018-05-04,2018,124,0.19,91.58
"D01","HOPB",2018-05-05,2018,125,1.36,91.65
"D01","HOPB",2018-05-06,2018,126,3.51,92.74
"D01","HOPB",2018-05-07,2018,127,0.58,87.28
"D01","HOPB",2018-05-08,2018,128,0,85.76
"D01","HOPB",2018-05-09,2018,129,0,84.28
"D01","HOPB",2018-05-10,2018,130,0,83.15
"D01","HOPB",2018-05-11,2018,131,0,82.57
"D01","HOPB",2018-05-12,2018,132,0,80.19
"D01","HOPB",2018-05-13,2018,133,0,78.2
"D01","HOPB",2018-05-14,2018,134,0,76.2
"D01","HOPB",2018-05-15,2018,135,0,75.28
"D01","HOPB",2018-05-16,2018,136,0,43.07
"D01","HOPB",2018-05-17,2018,137,0,42.1
"D01","HOPB",2018-05-18,2018,138,0,41.37
"D01","HOPB",2018-05-19,2018,139,0,37.33
"D01","HOPB",2018-05-20,2018,140,0,36.81
"D01","HOPB",2018-05-21,2018,141,0,36.03
"D01","HOPB",2018-05-22,2018,142,0,35.48
"D01","HOPB",2018-05-23,2018,143,0,35.17
"D01","HOPB",2018-05-24,2018,144,0,34.77
"D01","HOPB",2018-05-25,2018,145,0,26.8
"D01","HOPB",2018-05-26,2018,146,0,22.46
"D01","HOPB",2018-05-27,2018,147,0,17.51
"D01","HOPB",2018-05-28,2018,148,0,16.56
"D01","HOPB",2018-05-29,2018,149,0,11.54
"D01","HOPB",2018-05-30,2018,150,0,7.25
"D01","HOPB",2018-05-31,2018,151,0,6.4
"D01","HOPB",2018-06-01,2018,152,0,6.15
"D01","HOPB",2018-06-02,2018,153,0,5.64
"D01","HOPB",2018-06-03,2018,154,0,5.45
"D01","HOPB",2018-06-04,2018,155,0.14,4.23
"D01","HOPB",2018-06-05,2018,156,0.56,1.28
"D01","HOPB",2018-06-06,2018,157,0.63,1.33
"D01","HOPB",2018-06-07,2018,158,0.79,2.12
"D01","HOPB",2018-06-08,2018,159,0.63,2.75
"D01","HOPB",2018-06-09,2018,160,0.48,3.23
"D01","HOPB",2018-06-10,2018,161,0.47,3.7
"D01","HOPB",2018-06-11,2018,162,0.07,3.77
"D01","HOPB",2018-06-12,2018,163,0.42,4.19
"D01","HOPB",2018-06-13,2018,164,0.54,4.73
"D01","HOPB",2018-06-14,2018,165,0.62,5.35
"D01","HOPB",2018-06-15,2018,166,1.71,7.06
"D01","HOPB",2018-06-16,2018,167,0.72,7.78
"D01","HOPB",2018-06-17,2018,168,0.35,8.13
"D01","HOPB",2018-06-18,2018,169,25.99,34.12
"D01","HOPB",2018-06-19,2018,170,1.8,35.92
"D01","HOPB",2018-06-20,2018,171,0.27,36.19
"D01","HOPB",2018-06-21,2018,172,0.23,36.42
"D01","HOPB",2018-06-22,2018,173,0.6,37.02
"D01","HOPB",2018-06-23,2018,174,1.17,38.19
"D01","HOPB",2018-06-24,2018,175,15.87,54.06
"D01","HOPB",2018-06-25,2018,176,11.78,65.84
"D01","HOPB",2018-06-26,2018,177,0.12,65.96
"D01","HOPB",2018-06-27,2018,178,0.55,66.51
"D01","HOPB",2018-06-28,2018,179,64.37,130.88
"D01","HOPB",2018-06-29,2018,180,0.59,131.47
"D01","HOPB",2018-06-30,2018,181,0.47,131.94
"D01","HOPB",2018-07-01,2018,182,0.12,132.06
"D01","HOPB",2018-07-02,2018,183,0.2,132.26
"D01","HOPB",2018-07-03,2018,184,0.47,132.73
"D01","HOPB",2018-07-04,2018,185,0.37,132.96
"D01","HOPB",2018-07-05,2018,186,0.22,132.62
"D01","HOPB",2018-07-06,2018,187,4.41,136.4
"D01","HOPB",2018-07-07,2018,188,0.4,136.01
"D01","HOPB",2018-07-08,2018,189,0.65,136.03
"D01","HOPB",2018-07-09,2018,190,0.72,136.27
"D01","HOPB",2018-07-10,2018,191,0.76,136.56
"D01","HOPB",2018-07-11,2018,192,0.57,137.06
"D01","HOPB",2018-07-12,2018,193,0.15,136.79
"D01","HOPB",2018-07-13,2018,194,0.3,136.55
"D01","HOPB",2018-07-14,2018,195,0.43,136.36
"D01","HOPB",2018-07-15,2018,196,9.87,144.52
"D01","HOPB",2018-07-16,2018,197,0.49,144.29
"D01","HOPB",2018-07-17,2018,198,33.37,177.31
"D01","HOPB",2018-07-18,2018,199,0.44,151.76
"D01","HOPB",2018-07-19,2018,200,0.38,150.34
"D01","HOPB",2018-07-20,2018,201,0.69,150.76
"D01","HOPB",2018-07-21,2018,202,0.58,151.11
"D01","HOPB",2018-07-22,2018,203,6.25,156.76
"D01","HOPB",2018-07-23,2018,204,36.77,192.36
"D01","HOPB",2018-07-24,2018,205,7.82,184.31
"D01","HOPB",2018-07-25,2018,206,1.67,174.2
"D01","HOPB",2018-07-26,2018,207,14.08,188.16
"D01","HOPB",2018-07-27,2018,208,0.64,188.25
"D01","HOPB",2018-07-28,2018,209,8.16,132.04
"D01","HOPB",2018-07-29,2018,210,1.02,132.47
"D01","HOPB",2018-07-30,2018,211,0.69,132.69
"D01","HOPB",2018-07-31,2018,212,0.54,133.11
"D01","HOPB",2018-08-01,2018,213,7.24,140.15
"D01","HOPB",2018-08-02,2018,214,0.29,139.97
"D01","HOPB",2018-08-03,2018,215,7.56,147.16
"D01","HOPB",2018-08-04,2018,216,16.11,163.05
"D01","HOPB",2018-08-05,2018,217,0.87,159.51
"D01","HOPB",2018-08-06,2018,218,0.5,159.61
"D01","HOPB",2018-08-07,2018,219,12.02,170.98
"D01","HOPB",2018-08-08,2018,220,15.61,185.87
"D01","HOPB",2018-08-09,2018,221,5.1,190.21
"D01","HOPB",2018-08-10,2018,222,0.76,190.4
"D01","HOPB",2018-08-11,2018,223,17.57,207.82
"D01","HOPB",2018-08-12,2018,224,57.59,265.11
"D01","HOPB",2018-08-13,2018,225,3.84,268.52
"D01","HOPB",2018-08-14,2018,226,11.17,269.82
"D01","HOPB",2018-08-15,2018,227,0.54,269.87
"D01","HOPB",2018-08-16,2018,228,0.49,236.99
"D01","HOPB",2018-08-17,2018,229,1.33,237.88
"D01","HOPB",2018-08-18,2018,230,16.8,254.3
"D01","HOPB",2018-08-19,2018,231,0.91,254.52
"D01","HOPB",2018-08-20,2018,232,0.91,254.85
"D01","HOPB",2018-08-21,2018,233,0.63,249.23
"D01","HOPB",2018-08-22,2018,234,15.41,227.87
"D01","HOPB",2018-08-23,2018,235,0.8,220.85
"D01","HOPB",2018-08-24,2018,236,0.53,219.71
"D01","HOPB",2018-08-25,2018,237,1.22,206.85
"D01","HOPB",2018-08-26,2018,238,1.13,207.34
