"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","wTemp","date","time"
"D01","HOPB","102","100",2019-09-16 17:30:00,2019-09-16 17:35:00,16.618,2019-09-16,"17:30:00"
"D01","HOPB","102","100",2019-09-16 17:35:00,2019-09-16 17:40:00,16.655,2019-09-16,"17:35:00"
"D01","HOPB","102","100",2019-09-16 17:40:00,2019-09-16 17:45:00,16.733,2019-09-16,"17:40:00"
"D01","HOPB","102","100",2019-09-16 17:45:00,2019-09-16 17:50:00,16.743,2019-09-16,"17:45:00"
"D01","HOPB","102","100",2019-09-16 17:50:00,2019-09-16 17:55:00,16.781,2019-09-16,"17:50:00"
"D01","HOPB","102","100",2019-09-16 17:55:00,2019-09-16 18:00:00,16.802,2019-09-16,"17:55:00"
"D01","HOPB","102","100",2019-09-16 18:00:00,2019-09-16 18:05:00,16.752,2019-09-16,"18:00:00"
"D01","HOPB","102","100",2019-09-16 18:05:00,2019-09-16 18:10:00,16.818,2019-09-16,"18:05:00"
"D01","HOPB","102","100",2019-09-16 18:10:00,2019-09-16 18:15:00,16.883,2019-09-16,"18:10:00"
"D01","HOPB","102","100",2019-09-16 18:15:00,2019-09-16 18:20:00,16.909,2019-09-16,"18:15:00"
"D01","HOPB","102","100",2019-09-16 18:20:00,2019-09-16 18:25:00,16.911,2019-09-16,"18:20:00"
"D01","HOPB","102","100",2019-09-16 18:25:00,2019-09-16 18:30:00,16.899,2019-09-16,"18:25:00"
"D01","HOPB","102","100",2019-09-16 18:30:00,2019-09-16 18:35:00,16.868,2019-09-16,"18:30:00"
"D01","HOPB","102","100",2019-09-17 17:30:00,2019-09-17 17:35:00,15.298,2019-09-17,"17:30:00"
"D01","HOPB","102","100",2019-09-17 17:35:00,2019-09-17 17:40:00,15.684,2019-09-17,"17:35:00"
"D01","HOPB","102","100",2019-09-17 17:40:00,2019-09-17 17:45:00,15.456,2019-09-17,"17:40:00"
"D01","HOPB","102","100",2019-09-17 17:45:00,2019-09-17 17:50:00,15.433,2019-09-17,"17:45:00"
"D01","HOPB","102","100",2019-09-17 17:50:00,2019-09-17 17:55:00,15.382,2019-09-17,"17:50:00"
"D01","HOPB","102","100",2019-09-17 17:55:00,2019-09-17 18:00:00,15.39,2019-09-17,"17:55:00"
"D01","HOPB","102","100",2019-09-17 18:00:00,2019-09-17 18:05:00,15.743,2019-09-17,"18:00:00"
"D01","HOPB","102","100",2019-09-17 18:05:00,2019-09-17 18:10:00,15.644,2019-09-17,"18:05:00"
"D01","HOPB","102","100",2019-09-17 18:10:00,2019-09-17 18:15:00,15.643,2019-09-17,"18:10:00"
"D01","HOPB","102","100",2019-09-17 18:15:00,2019-09-17 18:20:00,15.874,2019-09-17,"18:15:00"
"D01","HOPB","102","100",2019-09-17 18:20:00,2019-09-17 18:25:00,16.116,2019-09-17,"18:20:00"
"D01","HOPB","102","100",2019-09-17 18:25:00,2019-09-17 18:30:00,15.933,2019-09-17,"18:25:00"
"D01","HOPB","102","100",2019-09-17 18:30:00,2019-09-17 18:35:00,15.903,2019-09-17,"18:30:00"
"D01","HOPB","102","100",2019-09-23 17:30:00,2019-09-23 17:35:00,21.337,2019-09-23,"17:30:00"
"D01","HOPB","102","100",2019-09-23 17:35:00,2019-09-23 17:40:00,21.306,2019-09-23,"17:35:00"
"D01","HOPB","102","100",2019-09-23 17:40:00,2019-09-23 17:45:00,21.902,2019-09-23,"17:40:00"
"D01","HOPB","102","100",2019-09-23 17:45:00,2019-09-23 17:50:00,21.651,2019-09-23,"17:45:00"
"D01","HOPB","102","100",2019-09-23 17:50:00,2019-09-23 17:55:00,21.68,2019-09-23,"17:50:00"
"D01","HOPB","102","100",2019-09-23 17:55:00,2019-09-23 18:00:00,21.487,2019-09-23,"17:55:00"
"D01","HOPB","102","100",2019-09-23 18:00:00,2019-09-23 18:05:00,22.617,2019-09-23,"18:00:00"
"D01","HOPB","102","100",2019-09-23 18:05:00,2019-09-23 18:10:00,22.863,2019-09-23,"18:05:00"
"D01","HOPB","102","100",2019-09-23 18:10:00,2019-09-23 18:15:00,22.164,2019-09-23,"18:10:00"
"D01","HOPB","102","100",2019-09-23 18:15:00,2019-09-23 18:20:00,22.473,2019-09-23,"18:15:00"
"D01","HOPB","102","100",2019-09-23 18:20:00,2019-09-23 18:25:00,22.485,2019-09-23,"18:20:00"
"D01","HOPB","102","100",2019-09-23 18:25:00,2019-09-23 18:30:00,21.649,2019-09-23,"18:25:00"
"D01","HOPB","102","100",2019-09-23 18:30:00,2019-09-23 18:35:00,22.202,2019-09-23,"18:30:00"
"D01","HOPB","102","100",2019-09-24 17:30:00,2019-09-24 17:35:00,17.182,2019-09-24,"17:30:00"
"D01","HOPB","102","100",2019-09-24 17:35:00,2019-09-24 17:40:00,17.158,2019-09-24,"17:35:00"
"D01","HOPB","102","100",2019-09-24 17:40:00,2019-09-24 17:45:00,17.122,2019-09-24,"17:40:00"
"D01","HOPB","102","100",2019-09-24 17:45:00,2019-09-24 17:50:00,17.143,2019-09-24,"17:45:00"
"D01","HOPB","102","100",2019-09-24 17:50:00,2019-09-24 17:55:00,17.155,2019-09-24,"17:50:00"
"D01","HOPB","102","100",2019-09-24 17:55:00,2019-09-24 18:00:00,17.199,2019-09-24,"17:55:00"
"D01","HOPB","102","100",2019-09-24 18:00:00,2019-09-24 18:05:00,17.285,2019-09-24,"18:00:00"
"D01","HOPB","102","100",2019-09-24 18:05:00,2019-09-24 18:10:00,17.283,2019-09-24,"18:05:00"
"D01","HOPB","102","100",2019-09-24 18:10:00,2019-09-24 18:15:00,17.32,2019-09-24,"18:10:00"
"D01","HOPB","102","100",2019-09-24 18:15:00,2019-09-24 18:20:00,17.254,2019-09-24,"18:15:00"
"D01","HOPB","102","100",2019-09-24 18:20:00,2019-09-24 18:25:00,17.261,2019-09-24,"18:20:00"
"D01","HOPB","102","100",2019-09-24 18:25:00,2019-09-24 18:30:00,17.245,2019-09-24,"18:25:00"
"D01","HOPB","102","100",2019-09-24 18:30:00,2019-09-24 18:35:00,17.232,2019-09-24,"18:30:00"
"D01","HOPB","102","100",2019-09-26 17:30:00,2019-09-26 17:35:00,NA,2019-09-26,"17:30:00"
"D01","HOPB","102","100",2019-09-26 17:35:00,2019-09-26 17:40:00,NA,2019-09-26,"17:35:00"
"D01","HOPB","102","100",2019-09-26 17:40:00,2019-09-26 17:45:00,NA,2019-09-26,"17:40:00"
"D01","HOPB","102","100",2019-09-26 17:45:00,2019-09-26 17:50:00,NA,2019-09-26,"17:45:00"
"D01","HOPB","102","100",2019-09-26 17:50:00,2019-09-26 17:55:00,NA,2019-09-26,"17:50:00"
"D01","HOPB","102","100",2019-09-26 17:55:00,2019-09-26 18:00:00,NA,2019-09-26,"17:55:00"
"D01","HOPB","102","100",2019-09-26 18:00:00,2019-09-26 18:05:00,NA,2019-09-26,"18:00:00"
"D01","HOPB","102","100",2019-09-26 18:05:00,2019-09-26 18:10:00,NA,2019-09-26,"18:05:00"
"D01","HOPB","102","100",2019-09-26 18:10:00,2019-09-26 18:15:00,NA,2019-09-26,"18:10:00"
"D01","HOPB","102","100",2019-09-26 18:15:00,2019-09-26 18:20:00,NA,2019-09-26,"18:15:00"
"D01","HOPB","102","100",2019-09-26 18:20:00,2019-09-26 18:25:00,NA,2019-09-26,"18:20:00"
"D01","HOPB","102","100",2019-09-26 18:25:00,2019-09-26 18:30:00,NA,2019-09-26,"18:25:00"
"D01","HOPB","102","100",2019-09-26 18:30:00,2019-09-26 18:35:00,NA,2019-09-26,"18:30:00"
"D01","HOPB","102","100",2019-09-30 17:30:00,2019-09-30 17:35:00,13.622,2019-09-30,"17:30:00"
