"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","DO","pH","turb","date","time"
"D01","HOPB","102","100",2019-09-16 17:29:30,2019-09-16 17:29:30,9.45,7.13,0.77,2019-09-16,"17:29:30"
"D01","HOPB","102","100",2019-09-16 17:30:30,2019-09-16 17:30:30,9.46,7.13,0.83,2019-09-16,"17:30:30"
"D01","HOPB","102","100",2019-09-16 17:31:30,2019-09-16 17:31:30,9.46,7.14,0.78,2019-09-16,"17:31:30"
"D01","HOPB","102","100",2019-09-16 17:32:30,2019-09-16 17:32:30,9.46,7.14,0.78,2019-09-16,"17:32:30"
"D01","HOPB","102","100",2019-09-16 17:33:30,2019-09-16 17:33:30,9.46,7.13,0.85,2019-09-16,"17:33:30"
"D01","HOPB","102","100",2019-09-16 17:34:30,2019-09-16 17:34:30,9.45,7.13,0.8,2019-09-16,"17:34:30"
"D01","HOPB","102","100",2019-09-16 17:35:30,2019-09-16 17:35:30,9.45,7.13,0.79,2019-09-16,"17:35:30"
"D01","HOPB","102","100",2019-09-16 17:36:30,2019-09-16 17:36:30,9.45,7.13,0.82,2019-09-16,"17:36:30"
"D01","HOPB","102","100",2019-09-16 17:37:30,2019-09-16 17:37:30,9.45,7.13,0.82,2019-09-16,"17:37:30"
"D01","HOPB","102","100",2019-09-16 17:38:30,2019-09-16 17:38:30,9.45,7.13,0.82,2019-09-16,"17:38:30"
"D01","HOPB","102","100",2019-09-16 17:39:30,2019-09-16 17:39:30,9.45,7.13,0.8,2019-09-16,"17:39:30"
"D01","HOPB","102","100",2019-09-16 17:40:30,2019-09-16 17:40:30,9.44,7.13,0.83,2019-09-16,"17:40:30"
"D01","HOPB","102","100",2019-09-16 17:41:30,2019-09-16 17:41:30,9.44,7.13,0.8,2019-09-16,"17:41:30"
"D01","HOPB","102","100",2019-09-16 17:42:30,2019-09-16 17:42:30,9.44,7.13,0.81,2019-09-16,"17:42:30"
"D01","HOPB","102","100",2019-09-16 17:43:30,2019-09-16 17:43:30,9.43,7.13,0.81,2019-09-16,"17:43:30"
"D01","HOPB","102","100",2019-09-16 17:44:30,2019-09-16 17:44:30,9.43,7.13,0.84,2019-09-16,"17:44:30"
"D01","HOPB","102","100",2019-09-16 17:45:30,2019-09-16 17:45:30,9.44,7.13,0.82,2019-09-16,"17:45:30"
"D01","HOPB","102","100",2019-09-16 17:46:30,2019-09-16 17:46:30,9.43,7.13,0.81,2019-09-16,"17:46:30"
"D01","HOPB","102","100",2019-09-16 17:47:30,2019-09-16 17:47:30,9.43,7.13,0.81,2019-09-16,"17:47:30"
"D01","HOPB","102","100",2019-09-16 17:48:30,2019-09-16 17:48:30,9.43,7.13,0.78,2019-09-16,"17:48:30"
"D01","HOPB","102","100",2019-09-16 17:49:30,2019-09-16 17:49:30,9.43,7.13,0.82,2019-09-16,"17:49:30"
"D01","HOPB","102","100",2019-09-16 17:50:30,2019-09-16 17:50:30,9.42,7.13,0.8,2019-09-16,"17:50:30"
"D01","HOPB","102","100",2019-09-16 17:51:30,2019-09-16 17:51:30,9.42,7.13,0.83,2019-09-16,"17:51:30"
"D01","HOPB","102","100",2019-09-16 17:52:30,2019-09-16 17:52:30,9.42,7.13,0.81,2019-09-16,"17:52:30"
"D01","HOPB","102","100",2019-09-16 17:53:30,2019-09-16 17:53:30,9.42,7.13,0.8,2019-09-16,"17:53:30"
"D01","HOPB","102","100",2019-09-16 17:54:30,2019-09-16 17:54:30,9.42,7.13,0.82,2019-09-16,"17:54:30"
"D01","HOPB","102","100",2019-09-16 17:55:30,2019-09-16 17:55:30,9.41,7.13,0.8,2019-09-16,"17:55:30"
"D01","HOPB","102","100",2019-09-16 17:56:30,2019-09-16 17:56:30,9.4,7.13,0.82,2019-09-16,"17:56:30"
"D01","HOPB","102","100",2019-09-16 17:57:30,2019-09-16 17:57:30,9.4,7.13,0.82,2019-09-16,"17:57:30"
"D01","HOPB","102","100",2019-09-16 17:58:30,2019-09-16 17:58:30,9.41,7.13,0.81,2019-09-16,"17:58:30"
"D01","HOPB","102","100",2019-09-16 17:59:30,2019-09-16 17:59:30,9.41,7.13,0.8,2019-09-16,"17:59:30"
"D01","HOPB","102","100",2019-09-16 18:00:30,2019-09-16 18:00:30,9.41,7.13,0.78,2019-09-16,"18:00:30"
"D01","HOPB","102","100",2019-09-16 18:01:30,2019-09-16 18:01:30,9.41,7.13,0.82,2019-09-16,"18:01:30"
"D01","HOPB","102","100",2019-09-16 18:02:30,2019-09-16 18:02:30,9.41,7.13,0.82,2019-09-16,"18:02:30"
"D01","HOPB","102","100",2019-09-16 18:03:30,2019-09-16 18:03:30,9.41,7.13,0.86,2019-09-16,"18:03:30"
"D01","HOPB","102","100",2019-09-16 18:04:30,2019-09-16 18:04:30,9.4,7.13,0.8,2019-09-16,"18:04:30"
"D01","HOPB","102","100",2019-09-16 18:05:30,2019-09-16 18:05:30,9.4,7.13,0.87,2019-09-16,"18:05:30"
"D01","HOPB","102","100",2019-09-16 18:06:30,2019-09-16 18:06:30,9.4,7.13,0.79,2019-09-16,"18:06:30"
"D01","HOPB","102","100",2019-09-16 18:07:30,2019-09-16 18:07:30,9.4,7.13,0.78,2019-09-16,"18:07:30"
"D01","HOPB","102","100",2019-09-16 18:08:30,2019-09-16 18:08:30,9.4,7.13,0.79,2019-09-16,"18:08:30"
"D01","HOPB","102","100",2019-09-16 18:09:30,2019-09-16 18:09:30,9.39,7.13,0.86,2019-09-16,"18:09:30"
"D01","HOPB","102","100",2019-09-16 18:10:30,2019-09-16 18:10:30,9.4,7.13,0.8,2019-09-16,"18:10:30"
"D01","HOPB","102","100",2019-09-16 18:11:30,2019-09-16 18:11:30,9.39,7.13,0.76,2019-09-16,"18:11:30"
"D01","HOPB","102","100",2019-09-16 18:12:30,2019-09-16 18:12:30,9.39,7.13,0.76,2019-09-16,"18:12:30"
"D01","HOPB","102","100",2019-09-16 18:13:30,2019-09-16 18:13:30,9.4,7.13,0.82,2019-09-16,"18:13:30"
"D01","HOPB","102","100",2019-09-16 18:14:30,2019-09-16 18:14:30,9.39,7.13,0.79,2019-09-16,"18:14:30"
"D01","HOPB","102","100",2019-09-16 18:15:30,2019-09-16 18:15:30,9.39,7.13,0.87,2019-09-16,"18:15:30"
"D01","HOPB","102","100",2019-09-16 18:16:30,2019-09-16 18:16:30,9.38,7.13,0.85,2019-09-16,"18:16:30"
"D01","HOPB","102","100",2019-09-16 18:17:30,2019-09-16 18:17:30,9.38,7.13,0.85,2019-09-16,"18:17:30"
"D01","HOPB","102","100",2019-09-16 18:18:30,2019-09-16 18:18:30,9.39,7.13,0.8,2019-09-16,"18:18:30"
"D01","HOPB","102","100",2019-09-16 18:19:30,2019-09-16 18:19:30,9.38,7.13,0.81,2019-09-16,"18:19:30"
"D01","HOPB","102","100",2019-09-16 18:20:30,2019-09-16 18:20:30,9.39,7.13,0.81,2019-09-16,"18:20:30"
"D01","HOPB","102","100",2019-09-16 18:21:30,2019-09-16 18:21:30,9.38,7.13,0.81,2019-09-16,"18:21:30"
"D01","HOPB","102","100",2019-09-16 18:22:30,2019-09-16 18:22:30,9.38,7.13,0.81,2019-09-16,"18:22:30"
