"domainID","siteID","horizontalPosition","date","mean.SpCond","median.SpCond","mean.DO","median.DO","mean.DOsat","median.DOsat","mean.pH","median.pH","mean.chl","median.chl","mean.turb","median.turb","mean.fDOM","median.fDOM"
"D01","HOPB","101",2018-01-01,1306.31431944444,1305.695,13.0336180555556,13.06,89.5655069444445,89.77,6.26563888888889,6.27,0.01125,0.01,-5.74480555555556,-5.74,NA,NA
"D01","HOPB","101",2018-01-02,1320.87568055556,1323.56,12.5735277777778,12.53,86.4193680555556,86.13,6.20440277777778,6.2,0.0149097222222222,0.02,-5.64171527777778,-5.65,NA,NA
"D01","HOPB","101",2018-01-03,1301.03907638889,1298.885,12.4242916666667,12.43,85.3736458333333,85.41,6.16903472222222,6.16,0.0165,0.02,-5.4203125,-5.44,NA,NA
"D01","HOPB","101",2018-01-04,1248.01597637248,1257.15,12.4790902777778,12.55,85.7351805555556,86.25,6.160625,6.16,0.0324652777777778,0.03,-5.39339583333333,-5.4,NA,NA
"D01","HOPB","101",2018-01-05,1203.67924305556,1201.26,12.684125,12.705,87.1402986111111,87.285,6.17170833333333,6.17,0.0385,0.04,-5.34097916666667,-5.35,NA,NA
"D01","HOPB","101",2018-01-06,1191.49293055556,1192.75,13.3886944444444,13.39,91.9985972222222,92,6.27514583333333,6.28,0.0374375,0.04,-5.41129166666667,-5.41,NA,NA
"D01","HOPB","101",2018-01-07,1171.65311805556,1172.75,13.7874166666667,13.82,94.7560347222222,95.005,6.34494444444444,6.35,0.0438194444444444,0.04,-5.40544444444444,-5.41,NA,NA
"D01","HOPB","101",2018-01-08,1160.22947222222,1158.86,13.8110277777778,13.82,94.9537708333333,95.01,6.36905555555556,6.37,0.0534236111111111,0.05,-5.41609027777778,-5.42,NA,NA
"D01","HOPB","101",2018-01-09,1155.2121875,1154.12,13.8364652777778,13.81,95.1795277777778,95.015,6.40345138888889,6.4,0.148409722222222,0.07,-5.47686805555556,-5.48,NA,NA
"D01","HOPB","101",2018-01-10,1156.42242361111,1156.57,14.0461736111111,14.06,96.6783402777778,96.75,6.45745138888889,6.46,0.0841944444444444,0.08,-5.4984375,-5.5,NA,NA
"D01","HOPB","101",2018-01-11,1152.83626388889,1153.96,14.052125,14.06,96.7565347222222,96.82,6.44705555555556,6.45,0.106708333333333,0.11,-5.44678472222222,-5.47,NA,NA
"D01","HOPB","101",2018-01-12,1115.03247222222,1151.06,13.7414236111111,13.81,94.3973055555556,94.86,6.30570138888889,6.33,0.320534722222222,0.18,-1.05266666666667,-4.19,NA,NA
"D01","HOPB","101",2018-01-13,734.823881944444,732.01,13.6840555555556,13.705,95.3897777777778,95.57,5.87515277777778,5.88,1.12089583333333,0.96,7.52631944444444,5.215,NA,NA
"D01","HOPB","101",2018-01-14,959.612958333333,966.735,14.2868055555556,14.34,98.1351458333333,98.375,6.13770138888889,6.16,0.389541666666667,0.34,70.8741111111111,43.35,NA,NA
"D01","HOPB","101",2018-01-15,1103.67192361111,1101.89,14.3885555555556,14.43,98.7564513888889,99.035,6.2256875,6.23,0.200638888888889,0.2,46.8895763888889,46.92,NA,NA
"D01","HOPB","101",2018-01-16,1096.38238888889,1094.35,14.2089583333333,14.23,97.5230555555556,97.67,6.27409722222222,6.27,0.104395833333333,0.1,55.6480486111111,49.1,NA,NA
"D01","HOPB","101",2018-01-17,1048.44584027778,1040.39,14.0830694444444,14.09,96.6418263888889,96.72,6.3568125,6.35,0.0865,0.09,102.420694444444,100.15,NA,NA
"D01","HOPB","101",2018-01-18,1101.37093055556,1098.68,14.0096666666667,14,96.1569027777778,96.09,6.42077083333333,6.42,0.0888611111111111,0.09,159.912881944444,168.425,NA,NA
"D01","HOPB","101",2018-01-19,1070.43231944444,1072.82,13.9805138888889,14.02,96.061375,96.22,6.44296527777778,6.44,0.0632222222222222,0.06,78.748375,83.885,NA,NA
"D01","HOPB","101",2018-01-20,1028.32578472222,1029.63,13.7781041666667,13.84,95.8587291666667,95.865,6.44771527777778,6.45,0.0325416666666667,0.03,-6.23945833333333,-6.26,NA,NA
"D01","HOPB","101",2018-01-21,1017.76581944444,1018.49,13.6627777777778,13.7,96.6423125,96.63,6.468,6.47,0.0310416666666667,0.03,-6.37503472222222,-6.39,NA,NA
"D01","HOPB","101",2018-01-22,1009.82448568399,1004.65,13.6695652173913,13.66,97.0008695652174,96.98,6.47416755037116,6.48,0.0249840933191941,0.02,-6.38405090137858,-6.41,NA,NA
"D01","HOPB","101",2018-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D01","HOPB","101",2018-02-15,99.8287248322148,99.82,13.1966071428571,13.15,95.7904464285714,95.82,6.52723214285714,6.53,-0.0134821428571429,-0.02,-4.82033482142857,-4.88,NA,NA
"D01","HOPB","101",2018-02-16,95.4288888888889,95.475,13.0998194444444,13.14,95.2053888888889,95.23,6.50727777777778,6.5,-0.00329166666666667,-0.01,-4.61616666666667,-4.66,NA,NA
"D01","HOPB","101",2018-02-17,93.9247777777778,93.875,13.7256944444444,13.7,96.9297708333333,96.95,6.51992361111111,6.51,-0.000111111111111111,0,-4.82422916666667,-4.81,NA,NA
"D01","HOPB","101",2018-02-18,97.2036180555556,96.15,13.8442986111111,13.945,96.6862847222222,96.495,6.53594444444444,6.54,-0.0288263888888889,-0.03,-4.97385416666667,-4.99,NA,NA
"D01","HOPB","101",2018-02-19,102.165541666667,102.4,13.9226527777778,13.94,97.8050277777778,97.59,6.5518125,6.54,-0.0323333333333333,-0.03,-1.72201388888889,-5.02,NA,NA
"D01","HOPB","101",2018-02-20,100.180750877193,100.55,13.2796561403509,13.42,97.3500350877193,97.25,6.49364912280702,6.5,0.0152210526315789,0.01,-4.31094035087719,-4.31,NA,NA
