"","siteID","domainID","namedLocation","decimalLatitude","decimalLongitude","elevation","sampleID","eventID","date","year","habitatType","samplerType","benthicArea"
"1","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20161011.CORE.1","HOPB.20161011",2016-10-11,2016,"pool","core",0.006
"2","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20161011.SURBER.3","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093
"3","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20161011.CORE.3","HOPB.20161011",2016-10-11,2016,"pool","core",0.006
"4","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20161011.SURBER.4","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093
"5","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20161011.CORE.2","HOPB.20161011",2016-10-11,2016,"pool","core",0.006
"6","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20161011.SURBER.5","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093
"7","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20161011.SURBER.2","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093
"8","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20161011.SURBER.1","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093
"9","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20170412.SURBER.4","HOPB.20170412",2017-04-12,2017,"riffle","surber",0.093
"10","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20170412.CORE.3","HOPB.20170412",2017-04-12,2017,"pool","core",0.006
"11","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20170412.SURBER.5","HOPB.20170412",2017-04-12,2017,"riffle","surber",0.093
