"date","turb","siteID"
2019-09-16,4.5,"MILL"
2019-09-16,6.8,"MILL"
2019-09-16,4.6,"MILL"
2019-09-16,4.3,"MILL"
2019-09-16,4.4,"MILL"
2019-09-16,6.9,"MILL"
2019-09-16,19.2,"MILL"
2019-09-16,6,"MILL"
2019-09-16,10.9,"MILL"
2019-09-16,5.9,"MILL"
2019-09-16,5.9,"MILL"
2019-09-16,7.4,"MILL"
2019-09-16,6.6,"MILL"
2019-09-16,2.7,"MILL"
2019-09-16,6.5,"MILL"
2019-09-17,8.1,"MILL"
2019-09-17,10.9,"MILL"
2019-09-17,7.7,"MILL"
2019-09-17,11.4,"MILL"
2019-09-17,8.1,"MILL"
2019-09-17,7.7,"MILL"
2019-09-17,12,"MILL"
2019-09-17,8.1,"MILL"
2019-09-17,8.4,"MILL"
2019-09-17,23.6,"MILL"
2019-09-17,7.6,"MILL"
2019-09-17,8.7,"MILL"
2019-09-17,7.1,"MILL"
2019-09-17,10.8,"MILL"
2019-09-17,11.1,"MILL"
2019-09-23,7.7,"MILL"
2019-09-23,4.8,"MILL"
2019-09-23,12.1,"MILL"
2019-09-23,6.9,"MILL"
2019-09-23,8.3,"MILL"
2019-09-23,8.2,"MILL"
2019-09-23,6.3,"MILL"
2019-09-23,7,"MILL"
2019-09-23,29,"MILL"
2019-09-23,7,"MILL"
2019-09-23,6.9,"MILL"
2019-09-23,9,"MILL"
2019-09-23,9.1,"MILL"
2019-09-23,14.9,"MILL"
2019-09-23,23.8,"MILL"
2019-09-24,6.2,"MILL"
2019-09-24,7,"MILL"
2019-09-24,7.6,"MILL"
2019-09-24,6.6,"MILL"
2019-09-24,4.9,"MILL"
2019-09-24,8.7,"MILL"
2019-09-24,5.4,"MILL"
2019-09-24,4.7,"MILL"
2019-09-24,4.1,"MILL"
2019-09-24,4.2,"MILL"
2019-09-24,6,"MILL"
2019-09-24,3.4,"MILL"
2019-09-24,16.4,"MILL"
2019-09-24,21.7,"MILL"
2019-09-24,11.3,"MILL"
2019-09-26,11.4,"MILL"
2019-09-26,7,"MILL"
2019-09-26,24.4,"MILL"
2019-09-26,32.7,"MILL"
2019-09-26,9.6,"MILL"
2019-09-26,8.6,"MILL"
2019-09-26,7.3,"MILL"
2019-09-26,17.8,"MILL"
2019-09-26,10.9,"MILL"
2019-09-26,34,"MILL"
2019-09-26,21.2,"MILL"
2019-09-26,21.2,"MILL"
2019-09-26,9.9,"MILL"
2019-09-26,9,"MILL"
2019-09-26,15,"MILL"
2019-09-30,10.4,"MILL"
2019-09-30,6.8,"MILL"
2019-09-30,16.1,"MILL"
2019-09-30,12,"MILL"
2019-09-30,10.3,"MILL"
2019-09-30,9.8,"MILL"
2019-09-30,25.9,"MILL"
2019-09-30,9.8,"MILL"
2019-09-30,9.1,"MILL"
2019-09-30,12.2,"MILL"
2019-09-30,8.5,"MILL"
2019-09-30,8.7,"MILL"
2019-09-30,4.9,"MILL"
2019-09-30,9.4,"MILL"
2019-09-30,18.6,"MILL"
2019-09-30,6.6,"MILL"
2019-09-30,13.8,"MILL"
2019-09-30,7.2,"MILL"
2019-09-30,7.8,"MILL"
2019-09-30,12.2,"MILL"
2019-09-30,4.3,"MILL"
2019-09-30,9.6,"MILL"
2019-09-30,14.6,"MILL"
2019-09-30,9.4,"MILL"
2019-09-30,30,"MILL"
2019-09-30,9.3,"MILL"
2019-09-30,10.9,"MILL"
2019-09-30,24.5,"MILL"
2019-09-30,17.7,"MILL"
2019-09-30,7.5,"MILL"
2019-10-01,6.2,"MILL"
2019-10-01,12,"MILL"
2019-10-01,5.7,"MILL"
2019-10-01,8.8,"MILL"
2019-10-01,8.8,"MILL"
2019-10-01,8.2,"MILL"
2019-10-01,25.1,"MILL"
2019-10-01,15.4,"MILL"
2019-10-01,7.2,"MILL"
2019-10-01,9.5,"MILL"
2019-10-01,9.2,"MILL"
2019-10-01,8.1,"MILL"
2019-10-01,10.8,"MILL"
2019-10-01,8.9,"MILL"
2019-10-01,9,"MILL"
2019-10-01,10.9,"MILL"
2019-10-01,8.8,"MILL"
2019-10-01,10.3,"MILL"
2019-10-01,8.4,"MILL"
2019-10-01,9.2,"MILL"
2019-10-01,9.3,"MILL"
2019-10-01,9.5,"MILL"
2019-10-01,10.6,"MILL"
2019-10-01,9.2,"MILL"
2019-10-01,11.2,"MILL"
2019-10-01,8.1,"MILL"
2019-10-01,11.3,"MILL"
2019-10-01,9.1,"MILL"
2019-10-01,8.4,"MILL"
2019-10-01,12.8,"MILL"
2019-10-03,11.2,"MILL"
2019-10-03,10.9,"MILL"
2019-10-03,9,"MILL"
2019-10-03,5,"MILL"
2019-10-03,15.8,"MILL"
2019-10-03,7.4,"MILL"
2019-10-03,7.8,"MILL"
2019-10-03,9.7,"MILL"
2019-10-03,10.4,"MILL"
2019-10-03,12,"MILL"
2019-10-03,7.4,"MILL"
2019-10-03,10.4,"MILL"
2019-10-03,9.3,"MILL"
2019-10-03,17.2,"MILL"
2019-10-03,5.7,"MILL"
2019-10-03,5.8,"MILL"
2019-10-03,10.9,"MILL"
2019-09-16,0.77,"HOPB"
2019-09-16,0.83,"HOPB"
2019-09-16,0.78,"HOPB"
2019-09-16,0.78,"HOPB"
2019-09-16,0.85,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.79,"HOPB"
2019-09-16,0.82,"HOPB"
2019-09-16,0.82,"HOPB"
2019-09-16,0.82,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.83,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.81,"HOPB"
2019-09-16,0.81,"HOPB"
2019-09-16,0.84,"HOPB"
2019-09-16,0.82,"HOPB"
2019-09-16,0.81,"HOPB"
2019-09-16,0.81,"HOPB"
2019-09-16,0.78,"HOPB"
2019-09-16,0.82,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.83,"HOPB"
2019-09-16,0.81,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.82,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.82,"HOPB"
2019-09-16,0.82,"HOPB"
2019-09-16,0.81,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.78,"HOPB"
2019-09-16,0.82,"HOPB"
2019-09-16,0.82,"HOPB"
2019-09-16,0.86,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.87,"HOPB"
2019-09-16,0.79,"HOPB"
2019-09-16,0.78,"HOPB"
2019-09-16,0.79,"HOPB"
2019-09-16,0.86,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.76,"HOPB"
2019-09-16,0.76,"HOPB"
2019-09-16,0.82,"HOPB"
2019-09-16,0.79,"HOPB"
2019-09-16,0.87,"HOPB"
2019-09-16,0.85,"HOPB"
2019-09-16,0.85,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.81,"HOPB"
2019-09-16,0.81,"HOPB"
2019-09-16,0.81,"HOPB"
2019-09-16,0.81,"HOPB"
2019-09-16,0.77,"HOPB"
2019-09-16,0.79,"HOPB"
2019-09-16,0.77,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.8,"HOPB"
2019-09-16,0.86,"HOPB"
2019-09-16,0.81,"HOPB"
2019-09-16,0.78,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.9,"HOPB"
2019-09-17,0.87,"HOPB"
2019-09-17,0.87,"HOPB"
2019-09-17,0.9,"HOPB"
2019-09-17,0.9,"HOPB"
2019-09-17,0.85,"HOPB"
2019-09-17,0.84,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.88,"HOPB"
2019-09-17,0.89,"HOPB"
2019-09-17,0.85,"HOPB"
2019-09-17,0.84,"HOPB"
2019-09-17,0.83,"HOPB"
2019-09-17,0.87,"HOPB"
2019-09-17,0.87,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.9,"HOPB"
2019-09-17,0.9,"HOPB"
2019-09-17,0.89,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.89,"HOPB"
2019-09-17,0.89,"HOPB"
2019-09-17,0.89,"HOPB"
2019-09-17,0.87,"HOPB"
2019-09-17,0.85,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.9,"HOPB"
2019-09-17,0.9,"HOPB"
2019-09-17,0.91,"HOPB"
2019-09-17,0.84,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.84,"HOPB"
2019-09-17,0.88,"HOPB"
2019-09-17,0.91,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.88,"HOPB"
2019-09-17,0.87,"HOPB"
2019-09-17,0.83,"HOPB"
2019-09-17,0.89,"HOPB"
2019-09-17,0.89,"HOPB"
2019-09-17,0.83,"HOPB"
2019-09-17,0.87,"HOPB"
2019-09-17,0.88,"HOPB"
2019-09-17,0.88,"HOPB"
2019-09-17,0.88,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.9,"HOPB"
2019-09-17,0.84,"HOPB"
2019-09-17,1.32,"HOPB"
2019-09-17,1.32,"HOPB"
2019-09-17,0.87,"HOPB"
2019-09-17,0.87,"HOPB"
2019-09-17,0.91,"HOPB"
2019-09-17,0.88,"HOPB"
2019-09-17,0.88,"HOPB"
2019-09-17,0.88,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-17,0.86,"HOPB"
2019-09-23,3.96,"HOPB"
2019-09-23,3.85,"HOPB"
2019-09-23,3.87,"HOPB"
2019-09-23,3.87,"HOPB"
2019-09-23,4.04,"HOPB"
2019-09-23,3.95,"HOPB"
2019-09-23,3.84,"HOPB"
2019-09-23,3.93,"HOPB"
2019-09-23,3.93,"HOPB"
2019-09-23,3.84,"HOPB"
2019-09-23,3.87,"HOPB"
2019-09-23,3.89,"HOPB"
2019-09-23,3.98,"HOPB"
2019-09-23,3.98,"HOPB"
2019-09-23,3.84,"HOPB"
2019-09-23,3.91,"HOPB"
2019-09-23,3.86,"HOPB"
2019-09-23,3.96,"HOPB"
2019-09-23,3.96,"HOPB"
2019-09-23,3.92,"HOPB"
2019-09-23,3.84,"HOPB"
2019-09-23,3.71,"HOPB"
2019-09-23,3.89,"HOPB"
2019-09-23,3.89,"HOPB"
2019-09-23,3.83,"HOPB"
2019-09-23,3.8,"HOPB"
2019-09-23,3.87,"HOPB"
2019-09-23,3.86,"HOPB"
2019-09-23,3.86,"HOPB"
2019-09-23,3.84,"HOPB"
2019-09-23,3.88,"HOPB"
2019-09-23,3.82,"HOPB"
2019-09-23,3.79,"HOPB"
2019-09-23,3.79,"HOPB"
2019-09-23,3.79,"HOPB"
2019-09-23,3.82,"HOPB"
2019-09-23,3.88,"HOPB"
2019-09-23,3.82,"HOPB"
2019-09-23,3.82,"HOPB"
2019-09-23,3.88,"HOPB"
2019-09-23,3.85,"HOPB"
2019-09-23,3.77,"HOPB"
