"","siteID","domainID","namedLocation","decimalLatitude","decimalLongitude","elevation"
"1","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4
"2","LEWI","D02","LEWI.AOS.reach",39.095637,-77.983216,152
"3","POSE","D02","POSE.AOS.reach",38.89431,-78.147258,275.8
"4","CUPE","D04","CUPE.AOS.reach",18.11352,-66.98676,157
"5","GUIL","D04","GUIL.AOS.reach",18.17406,-66.79868,550.7
"6","KING","D06","KING.AOS.reach",39.105061,-96.603829,324.4
"7","MCDI","D06","MCDI.AOS.reach",38.945861,-96.443022,396
"8","LECO","D07","LECO.AOS.reach",35.690428,-83.50379,579
"9","WALK","D07","WALK.AOS.reach",35.957378,-84.279251,264.2
"10","MAYF","D08","MAYF.AOS.reach",32.960365,-87.407688,76.7
"11","ARIK","D10","ARIK.AOS.reach",39.758206,-102.447148,1179.5
"12","BLUE","D11","BLUE.AOS.reach",34.444218,-96.624201,289
"13","PRIN","D11","PRIN.AOS.reach",33.378517,-97.782312,253.2
"14","BLDE","D12","BLDE.AOS.reach",44.95011,-110.58715,2053
"15","COMO","D13","COMO.AOS.reach",40.034962,-105.544164,3021.6
"16","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908
"17","SYCA","D14","SYCA.AOS.reach",33.750993,-111.508091,645
"18","REDB","D15","REDB.AOS.reach",40.783934,-111.797887,1694.2
"19","MART","D16","MART.AOS.reach",45.790835,-121.933788,337
"20","MCRA","D16","MCRA.AOS.reach",44.259598,-122.165554,876
"21","BIGC","D17","BIGC.AOS.reach",37.059719,-119.257549,1197
"22","TECR","D17","TECR.AOS.reach",36.955931,-119.027363,2011
"23","OKSR","D18","OKSR.AOS.reach",68.669753,-149.143018,766
"24","CARI","D19","CARI.AOS.reach",65.153224,-147.503973,224.9
