"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2"
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,24,"STEFEM","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Stenonema","Stenonema femoratum","species","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,258.064516129032,"count per square meter","Stenonema_femoratum",7,"scr","cg"
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,12,"BAESP","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,NA,"Baetidae sp.","family","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,129.032258064516,"count per square meter",NA,6,"cg",NA
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,12,"PERSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Perlidae",NA,NA,NA,"Perlidae sp.","family","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,129.032258064516,"count per square meter","unknown_perlid",3,"prd",NA
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,193,"CHESP5","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Hydropsychidae","Hydropsychinae",NA,"Cheumatopsyche","Cheumatopsyche sp.","genus","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,2075.2688172043,"count per square meter","Cheumatopsyche",5,"cf",NA
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,24,"CHESP5","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Hydropsychidae","Hydropsychinae",NA,"Cheumatopsyche","Cheumatopsyche sp.","genus","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,258.064516129032,"count per square meter","Cheumatopsyche",5,"cf",NA
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,24,"LEUSP8","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Leuctridae","Leuctrinae",NA,"Leuctra","Leuctra sp.","genus","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,258.064516129032,"count per square meter","Leuctra",0,"sh","cg"
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,24,"OPTSP","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae","Elminae","Elmini","Optioservus","Optioservus sp.","genus","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,258.064516129032,"count per square meter","Optioservus",4,"scr","cg"
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,24,"OPTSP","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae","Elminae","Elmini","Optioservus","Optioservus sp.","genus","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,258.064516129032,"count per square meter","Optioservus",4,"scr","cg"
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,24,"OPTSP","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae","Elminae","Elmini","Optioservus","Optioservus sp.","genus","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,258.064516129032,"count per square meter","Optioservus_trivittatus",4,"scr","cg"
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,12,"NEOCON2","Arthropoda","Hexapoda","Insecta","Pterygota","Megaloptera","Corydalidae","Chauliodinae",NA,"Neohermes","Neohermes concolor","species","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,129.032258064516,"count per square meter",NA,NA,NA,NA
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,36,"CHESP5","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Hydropsychidae","Hydropsychinae",NA,"Cheumatopsyche","Cheumatopsyche sp.","genus","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,387.096774193548,"count per square meter","Cheumatopsyche",5,"cf",NA
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,24,"FALSP","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Fallceon","Fallceon sp.","genus","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,258.064516129032,"count per square meter",NA,4,"cg","scr"
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,12,"FALSP","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Fallceon","Fallceon sp.","genus","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,129.032258064516,"count per square meter",NA,4,"cg","scr"
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,12,"GLONIG","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Glossosomatidae","Glossosomatinae","Glossosomatini","Glossosoma","Glossosoma nigrior","species","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,129.032258064516,"count per square meter",NA,NA,NA,NA
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,24,"LEPSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Leptophlebiidae",NA,NA,NA,"Leptophlebiidae sp.","family","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,258.064516129032,"count per square meter",NA,4,"cg",NA
"POSE.20140722.SURBER.1","D02","POSE",2014-07-22 13:10:00,36,"HEPSP","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,NA,"Heptageniidae sp.","family","POSE.20140722",2014-07-22,2014,"riffle","surber",0.093,387.096774193548,"count per square meter",NA,3,"scr",NA
