"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2"
"WLOU.20170530.SURBER.4","D13","WLOU",2017-05-30 16:33:00,42,"BAEBIC","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Baetis","Baetis bicaudatus","species","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,451.612903225806,"count per square meter",NA,4,"cg",NA
"WLOU.20170530.SURBER.4","D13","WLOU",2017-05-30 16:33:00,6,"BRISP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Brillia","Brillia sp.","genus","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,64.5161290322581,"count per square meter","midges",6,"cg",NA
"WLOU.20170530.SURBER.5","D13","WLOU",2017-05-30 16:33:00,5,"RHYVOF","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Rhyacophilidae",NA,NA,"Rhyacophila","Rhyacophila vofixa gr.","speciesGroup","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,53.7634408602151,"count per square meter",NA,0,"prd",NA
"WLOU.20170530.SURBER.2","D13","WLOU",2017-05-30 16:33:00,11,"ENCSP1","Annelida","Clitellata","Oligochaeta","Oligochaeta","Enchytraeida","Enchytraeidae",NA,NA,NA,"Enchytraeidae sp.","family","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,118.279569892473,"count per square meter","segmented_worms",10,"cg",NA
"WLOU.20170530.SURBER.2","D13","WLOU",2017-05-30 16:33:00,11,"ENCSP1","Annelida","Clitellata","Oligochaeta","Oligochaeta","Enchytraeida","Enchytraeidae",NA,NA,NA,"Enchytraeidae sp.","family","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,118.279569892473,"count per square meter","segmented_worms",10,"cg",NA
"WLOU.20170530.SURBER.2","D13","WLOU",2017-05-30 16:33:00,11,"ENCSP1","Annelida","Clitellata","Oligochaeta","Oligochaeta","Enchytraeida","Enchytraeidae",NA,NA,NA,"Enchytraeidae sp.","family","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,118.279569892473,"count per square meter","segmented_worms",10,"cg",NA
"WLOU.20170530.SURBER.2","D13","WLOU",2017-05-30 16:33:00,32,"STESP10","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Stempellinella","Stempellinella sp.","genus","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,344.086021505376,"count per square meter",NA,4,"cg",NA
"WLOU.20170530.SURBER.5","D13","WLOU",2017-05-30 16:33:00,19,"TVEBAV","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Tvetenia","Tvetenia bavarica gr.","speciesGroup","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,204.301075268817,"count per square meter",NA,4,"cg",NA
"WLOU.20170530.SURBER.1","D13","WLOU",2017-05-30 16:33:00,12,"CRISP6","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Cricotopus/Orthocladius","Cricotopus/Orthocladius sp.","speciesGroup","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,129.032258064516,"count per square meter",NA,6,"cg",NA
"WLOU.20170530.SURBER.1","D13","WLOU",2017-05-30 16:33:00,12,"CINSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Cinygmula","Cinygmula sp.","genus","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,129.032258064516,"count per square meter","Cinygmula",2,"scr","cg"
"WLOU.20170530.CORE.3","D13","WLOU",2017-05-30 16:33:00,2,"RHESP1","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Rheocricotopus","Rheocricotopus sp.","genus","WLOU.20170530",2017-05-30,2017,"pool","core",0.006,333.333333333333,"count per square meter",NA,6,"cg",NA
"WLOU.20170530.SURBER.5","D13","WLOU",2017-05-30 16:33:00,5,"LIMSP21","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Tipulidae","Limoniinae","Eriopterini","Limnophila","Limnophila sp.","genus","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,53.7634408602151,"count per square meter",NA,3,"prd",NA
"WLOU.20170530.CORE.2","D13","WLOU",2017-05-30 16:33:00,5,"TVEBAV","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Tvetenia","Tvetenia bavarica gr.","speciesGroup","WLOU.20170530",2017-05-30,2017,"pool","core",0.006,833.333333333333,"count per square meter",NA,4,"cg",NA
"WLOU.20170530.SURBER.4","D13","WLOU",2017-05-30 16:33:00,18,"CINSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Cinygmula","Cinygmula sp.","genus","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,193.548387096774,"count per square meter","Cinygmula",2,"scr","cg"
"WLOU.20170530.SURBER.3","D13","WLOU",2017-05-30 16:33:00,6,"PARSP26","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Parametriocnemus","Parametriocnemus sp.","genus","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093,64.5161290322581,"count per square meter","midges",5,"cg",NA
