"","siteID","domainID","namedLocation","decimalLatitude","decimalLongitude","elevation","sampleID","eventID","date","year","habitatType","samplerType","benthicArea"
"1","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20161006.CORE.3","WLOU.20161006",2016-10-06,2016,"pool","core",0.006
"2","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20161006.SURBER.3","WLOU.20161006",2016-10-06,2016,"riffle","surber",0.093
"3","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20161006.CORE.2","WLOU.20161006",2016-10-06,2016,"pool","core",0.006
"4","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20161006.SURBER.5","WLOU.20161006",2016-10-06,2016,"riffle","surber",0.093
"5","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20161006.CORE.1","WLOU.20161006",2016-10-06,2016,"pool","core",0.006
"6","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20161006.SURBER.4","WLOU.20161006",2016-10-06,2016,"riffle","surber",0.093
"7","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20161006.SURBER.1","WLOU.20161006",2016-10-06,2016,"riffle","surber",0.093
"8","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20161006.SURBER.2","WLOU.20161006",2016-10-06,2016,"riffle","surber",0.093
"9","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170530.CORE.2","WLOU.20170530",2017-05-30,2017,"pool","core",0.006
"10","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170530.SURBER.5","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093
"11","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170530.SURBER.3","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093
"12","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170530.SURBER.2","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093
"13","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170530.CORE.3","WLOU.20170530",2017-05-30,2017,"pool","core",0.006
"14","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170530.SURBER.4","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093
"15","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170530.SURBER.1","WLOU.20170530",2017-05-30,2017,"riffle","surber",0.093
"16","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170530.CORE.1","WLOU.20170530",2017-05-30,2017,"pool","core",0.006
"17","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170710.SURBER.3","WLOU.20170710",2017-07-10,2017,"riffle","surber",0.093
"18","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170710.CORE.1","WLOU.20170710",2017-07-10,2017,"pool","core",0.006
"19","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170710.CORE.2","WLOU.20170710",2017-07-10,2017,"pool","core",0.006
"20","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170710.SURBER.1","WLOU.20170710",2017-07-10,2017,"riffle","surber",0.093
"21","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170710.SURBER.5","WLOU.20170710",2017-07-10,2017,"riffle","surber",0.093
"22","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170710.CORE.3","WLOU.20170710",2017-07-10,2017,"pool","core",0.006
"23","WLOU","D13","WLOU.AOS.reach",39.891366,-105.915395,2908,"WLOU.20170710.SURBER.4","WLOU.20170710",2017-07-10,2017,"riffle","surber",0.093
