"","name","pubCode","description","startDate","endDate"
"1","aquaticSiteType","lake","lake",2012-01-01,NA
"2","aquaticSiteType","stream","stream",2012-01-01,NA
"3","aquaticSiteType","river","river",2012-01-01,NA
"4","biophysicalCriteria","OK - no known exceptions","Sampling occurred on schedule, no known issues",2012-01-01,NA
"5","biophysicalCriteria","OK - schedule change but conditions met","Sampling occurred not within defined sampling window but reflects the target biophysical conditions",2012-01-01,NA
"6","biophysicalCriteria","conditions not met","Sampling does not reflect the target biophysical conditions",2012-01-01,NA
"7","biophysicalCriteria","other","Other potential sample timing inconsistencies described in the remarks",2012-01-01,NA
"8","biophysicalCriteria","conditions not met: most plants senesced","Sampling does not reflect the target biophysical conditions, most plants senesced",2012-01-01,NA
"9","biophysicalCriteria","conditions not met: most plants not yet flowering","Sampling does not reflect the target biophysical conditions, most plants not yet in flower",2012-01-01,NA
"10","biophysicalCriteria","unknown - logistical","Sampling not possible due to logistical considerations",2012-01-01,NA
"11","identificationQualifiersExpert","cf. species","cf. species",2012-01-01,NA
"12","identificationQualifiersExpert","aff. species","aff. species",2012-01-01,NA
"13","identificationQualifiersExpert","cf. genus","cf. genus",2012-01-01,NA
"14","identificationQualifiersExpert","aff. genus","aff. genus",2012-01-01,NA
"15","identificationQualifiersExpert","cf. subspecies","cf. subspecies",2012-01-01,NA
"16","identificationQualifiersExpert","aff. subspecies","aff. subspecies",2012-01-01,NA
"17","identificationQualifiersExpert","cf. family","cf. family",2012-01-01,NA
"18","identificationQualifiersExpert","aff. family","aff. family",2012-01-01,NA
"19","identificationQualifiersExpert","cf. variety","cf. variety",2012-01-01,NA
"20","identificationQualifiersExpert","aff. variety","aff. variety",2012-01-01,NA
"21","identificationQualifiersExpert","sp. nov.","sp. nov.",2012-01-01,NA
"22","identificationQualifiersExpert","spp. nr.","spp. nr.",2012-01-01,NA
"23","identificationQualifiersExpert","sp. nr.","sp. nr.",2012-01-01,NA
"24","inv.archiveLabSampleMedium","slide","permanent glass slide",2012-01-01,NA
"25","inv.archiveLabSampleMedium","vial, ethanol","95% ethanol in vial",2012-01-01,NA
"26","inv.databaseName","ITIS","Integrated Taxonomic Information System (itis.gov)",2012-01-01,NA
"27","inv.databaseName","other (specified in remarks)","other (specified in remarks)",2012-01-01,NA
"28","inv.habitatType","riffle","Shallow, swift stream habitat with high turbulence, typically with relatively coarse sediment size",2012-01-01,NA
"29","inv.habitatType","run","Shallow to deep stream habitat with swift to moderate flow, characterized by low turbulence (i.e., smooth water surface)",2012-01-01,NA
"30","inv.habitatType","pool","Typically the deepest habitats in a stream, pools are characterized by smaller substrate size and relatively slow moving water",2012-01-01,NA
"31","inv.habitatType","stepPool","In high-gradient streams, a series of pools separated by boulder or cobble steps, causing fast flow over the steps and slow flow in the pools",2012-01-01,NA
"32","inv.habitatType","littoral","The shallow zone along the shore of a lake or river where light penetration reaches the bottom",2012-01-01,NA
"33","inv.habitatType","pelagic","The part of the lake or river that is not near shore or close to the bottom",2012-01-01,NA
"34","inv.habitatType","other","A habitat type other than those listed as options; see remarks",2012-01-01,NA
"35","inv.invertebrateLifeStage","larva","Larval life stage",2012-01-01,NA
"36","inv.invertebrateLifeStage","pupa","Pupal life stage",2012-01-01,NA
"37","inv.invertebrateLifeStage","adult","Adult life stage",2012-01-01,NA
"38","inv.invertebrateLifeStage","other (specified in remarks)","Other life stage",2012-01-01,NA
"39","inv.invertebrateLifeStage","none","No life stage",2012-01-01,NA
"40","inv.primaryMatrix","coarse organic","Sample matrix is primarily coarse organic material",2012-01-01,NA
"41","inv.primaryMatrix","fine organic","Sample matrix is primarily fine organic material",2012-01-01,NA
"42","inv.primaryMatrix","filamentous algae","Sample matrix is primarily filamentous algae",2012-01-01,NA
"43","inv.primaryMatrix","sand","Sample matrix is primarily sand",2012-01-01,NA
"44","inv.primaryMatrix","wood","Sample matrix is primarily wood",2012-01-01,NA
"45","inv.primaryMatrix","other (specified in remarks)","other (specified in remarks)",2012-01-01,NA
"46","inv.sampleCondition","condition OK","condition OK",2012-01-01,NA
"47","inv.sampleCondition","damaged, affecting taxonomy","damaged, affecting taxonomy",2012-01-01,NA
"48","inv.sampleCondition","damaged, affecting measurement","damaged, affecting measurement",2012-01-01,NA
"49","inv.sampleCondition","damaged, affecting taxonomy and measurement","damaged, affecting taxonomy and measurement",2012-01-01,NA
"50","inv.sampleCondition","sample leakage","sample leakage",2012-01-01,NA
"51","inv.sampleCondition","damaged, affecting taxonomy","damaged, affecting taxonomy",2012-01-01,NA
"52","inv.sampleCondition","damaged, affecting measurement","damaged, affecting measurement",2012-01-01,NA
"53","inv.sampleCondition","damaged, affecting taxonomy and measurement","damaged, affecting taxonomy and measurement",2012-01-01,NA
"54","inv.sampleCondition","sample leakage","sample leakage",2012-01-01,NA
"55","inv.sampleCondition","other (specified in remarks)","other (specified in remarks)",2012-01-01,NA
"56","inv.sampleCondition","damaged, affecting analysis","damaged, affecting analysis",2012-01-01,2018-03-30
"57","inv.sampleCondition","damaged, affecting taxonomy","damaged, affecting taxonomy",2012-01-01,2018-03-30
"58","inv.sampleCondition","damaged, affecting measurement","damaged, affecting measurement",2012-01-01,2018-03-30
"59","inv.sampleCondition","damaged, affecting taxonomy and measurement","damaged, affecting taxonomy and measurement",2012-01-01,2018-03-30
"60","inv.samplerType","surber","Benthic sampler consisting of a 30 cm by 30 cm frame and 243 micron mesh collection net, used in shallow flowing waters",2012-01-01,NA
"61","inv.samplerType","core","Benthic sampler used in sand- and silt-bottomed streams, consisting of a 5 cm diameter by 50 cm high stainless steel barrel with a handle on top",2012-01-01,NA
"62","inv.samplerType","hess","Benthic sampler used in shallow gravel-bottomed streams, consisting of a 33 cm diameter, 40 cm high stainless steel drum fitted with a 243 micron mesh collection net",2012-01-01,NA
"63","inv.samplerType","modifiedKicknet","Benthic sampler used in deeper, fast-flowing stream habitats, consisting of a 33 cm by 50 cm frame and 243 micron mesh collection net with a handle",2012-01-01,NA
