"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"waq_instantaneous","domainID","Unique identifier of the NEON domain","string",NA,"appended by stackByTable",NA,"N",NA
"waq_instantaneous","siteID","NEON site code","string",NA,"appended by stackByTable",NA,"N",NA
"waq_instantaneous","horizontalPosition","Index of horizontal location at a NEON site","string",NA,"appended by stackByTable",NA,"N",NA
"waq_instantaneous","verticalPosition","Index of vertical location at a NEON site","string",NA,"appended by stackByTable",NA,"N",NA
"waq_instantaneous","startDateTime","Date and time at which a sampling is initiated","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm:ss'Z'(floor)",NA,NA
"waq_instantaneous","endDateTime","Date and time at which a sampling is completed","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm:ss'Z'(floor)",NA,NA
"waq_instantaneous","sensorDepth","Water depth of measurement","real","meter","basic","*.#(round)",NA,NA
"waq_instantaneous","sensorDepthExpUncert","Expanded uncertainty for sensor depth","real","meter","basic","*.#(round)",NA,NA
"waq_instantaneous","sensorDepthRangeQF","Water depth of measurement quality flag for the range test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","sensorDepthNullQF","Water depth of measurement quality flag for the null test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","sensorDepthGapQF","Water depth of measurement quality flag for the gap test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","sensorDepthValidCalQF","Quality flag for the valid calibration check of sensor depth detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e., could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","sensorDepthSuspectCalQF","Quality flag for the suspect calibration check of sensor depth detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","sensorDepthPersistQF","Water depth of measurement quality flag for the persistence test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","sensorDepthAlphaQF","Water depth of measurement quality assurance and quality control report for the alpha quality flag that indicates if one or more quality analysis failed for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","sensorDepthBetaQF","Water depth of measurement quality assurance and quality control report for the beta quality flag which indicates if one or more quality analysis could not be run for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","sensorDepthFinalQF","Water depth final quality flag indicating whether a data product has passed or failed an overall assessment of its quality; detailed in ATBD (1=fail; 0=pass)","signed integer",NA,"basic","integer",NA,NA
"waq_instantaneous","sensorDepthFinalQFSciRvw","Sensor depth quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","specificConductance","Conductivity auto-corrected to 25 degrees C","real","microsiemensPerCentimeter","basic","*.##(round)",NA,NA
"waq_instantaneous","specificConductanceExpUncert","Expanded uncertainty for specific conductance","real","microsiemensPerCentimeter","basic","*.##(round)",NA,NA
"waq_instantaneous","specificConductanceRangeQF","Specific conductance quality flag for the range test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","specificConductanceStepQF","Specific conductance quality flag for the step test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","specificConductanceNullQF","Specific conductance quality flag for the null test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","specificConductanceGapQF","Specific conductance quality flag for the gap test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","specificConductanceSpikeQF","Specific conductance quality flag for the spike test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e., could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","specificConductanceValidCalQF","Quality flag for the valid calibration check of specific conductance detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e., could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","specificCondSuspectCalQF","Quality flag for the suspect calibration check of specific conductance detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","specificConductancePersistQF","Specific conductance quality flag for the persistence test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","specificConductanceAlphaQF","Specific conductance quality assurance and quality control report for the alpha quality flag that indicates if one or more quality analysis failed for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","specificConductanceBetaQF","Specific conductance quality assurance and quality control report for the beta quality flag which indicates if one or more quality analysis could not be run for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","specificCondFinalQF","Specific conductance final quality flag indicating whether a data product has passed or failed an overall assessment of its quality; detailed in ATBD (1=fail; 0=pass)","signed integer",NA,"basic","integer",NA,NA
"waq_instantaneous","specificCondFinalQFSciRvw","Specific conductance final quality flag indicating whether a data product has failed a science review of its quality detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)","unsigned integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygen","Dissolved Oxygen Concentration","real","milligramsPerLiter","basic","*.##(round)",NA,NA
"waq_instantaneous","dissolvedOxygenExpUncert","Expanded uncertainty for dissolved oxygen","real","milligramsPerLiter","basic","*.##(round)",NA,NA
"waq_instantaneous","dissolvedOxygenRangeQF","Dissolved oxygen quality flag for the range test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenStepQF","Dissolved oxygen quality flag for the step test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenNullQF","Dissolved oxygen quality flag for the null test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenGapQF","Dissolved oxygen quality flag for the gap test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSpikeQF","Dissolved oxygen quality flag for the spike test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenValidCalQF","Quality flag for the valid calibration check of dissolved oxygen detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSuspectCalQF","Quality flag for the suspect calibration check of dissolved oxygen detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenPersistenceQF","Dissolved oxygen quality flag for the persistence test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenAlphaQF","Dissolved oxygen quality assurance and quality control report for the alpha quality flag that indicates if one or more quality analysis failed for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenBetaQF","Dissolved oxygen quality assurance and quality control report for the beta quality flag which indicates if one or more quality analysis could not be run for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenFinalQF","Dissolved oxygen final quality flag indicating whether a data product has passed or failed an overall assessment of its quality; detailed in ATBD (1=fail; 0=pass)","signed integer",NA,"basic","integer",NA,NA
"waq_instantaneous","dissolvedOxygenFinalQFSciRvw","Dissolved oxygen final quality flag indicating whether a data product has failed a science review of its quality detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSaturation","Dissolved Oxygen Percent Saturation","real","percent","basic","*.##(round)",NA,NA
"waq_instantaneous","dissolvedOxygenSatExpUncert","Expanded uncertainty for dissolved oxygen saturation","real","percent","basic","*.##(round)",NA,NA
"waq_instantaneous","dissolvedOxygenSatRangeQF","Dissolved oxygen saturation quality flag for the range test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSatStepQF","Dissolved oxygen saturation quality flag for the step test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSatNullQF","Dissolved oxygen saturation quality flag for the null test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSatGapQF","Dissolved oxygen saturation quality flag for the gap test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSatSpikeQF","Dissolved oxygen saturation quality flag for the spike test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSatValidCalQF","Quality flag for the valid calibration check of dissolved oxygen saturation detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissOxygenSatSuspectCalQF","Quality flag for the suspect calibration check of dissolved oxygen saturation detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSatPersistQF","Dissolved oxygen saturation quality flag for the persistence test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSatAlphaQF","Dissolved oxygen saturation quality assurance and quality control report for the alpha quality flag that indicates if one or more quality analysis failed for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSatBetaQF","Dissolved oxygen saturation quality assurance and quality control report for the beta quality flag which indicates if one or more quality analysis could not be run for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSatFinalQF","Dissolved oxygen saturation final quality flag indicating whether a data product has passed or failed an overall assessment of its quality; detailed in ATBD (1=fail; 0=pass)","unsigned integer",NA,"basic","integer",NA,NA
"waq_instantaneous","dissolvedOxygenSatFinalQFSciRvw","Dissolved oxygen saturation final quality flag indicating whether a data product has failed a science review of its quality detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)","unsigned integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","pH","Measurement of pH in sample","real","pH","basic","*.##(round)",NA,NA
"waq_instantaneous","pHExpUncert","Expanded uncertainty for pH","real","pH","basic","*.##(round)",NA,NA
"waq_instantaneous","pHRangeQF","pH quality flag for the range test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","pHStepQF","pH quality flag for the step test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","pHNullQF","pH quality flag for the null test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","pHGapQF","pH quality flag for the gap test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","pHSpikeQF","pH quality flag for the spike test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","pHValidCalQF","Quality flag for the valid calibration check of pH detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","pHSuspectCalQF","Quality flag for the suspect calibration check of pH detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","pHPersistenceQF","pH quality flag for the persistence test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","pHAlphaQF","pH quality assurance and quality control report for the alpha quality flag that indicates if one or more quality analysis failed for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","pHBetaQF","pH quality assurance and quality control report for the beta quality flag which indicates if one or more quality analysis could not be run for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","pHFinalQF","pH final quality flag indicating whether a data product has passed or failed an overall assessment of its quality; detailed in ATBD (1=fail; 0=pass)","unsigned integer",NA,"basic","integer",NA,NA
"waq_instantaneous","pHFinalQFSciRvw","pH final quality flag indicating whether a data product has failed a science review of its quality detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)","unsigned integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","chlorophyll","Chlorophyll a concentration in water","real","microgramsPerLiter","basic","*.##(round)",NA,NA
"waq_instantaneous","chlorophyllExpUncert","Expanded uncertainty for chlorophyll a","real","microgramsPerLiter","basic","*.##(round)",NA,NA
"waq_instantaneous","chlorophyllRangeQF","Chlorophyll a quality flag for the range test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","chlorophyllStepQF","Chlorophyll a quality flag for the step test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","chlorophyllNullQF","Chlorophyll a quality flag for the null test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","chlorophyllGapQF","Chlorophyll a quality flag for the gap test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","chlorophyllSpikeQF","Chlorophyll a quality flag for the spike test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","chlorophyllValidCalQF","Quality flag for the valid calibration check of chlorophyll a detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","chlorophyllSuspectCalQF","Quality flag for the suspect calibration check of chlorophyll a detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","chlorophyllPersistenceQF","Chlorophyll a quality flag for the persistence test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","chlorophyllAlphaQF","Chlorophyll a quality assurance and quality control report for the alchlorophyll aa quality flag that indicates if one or more quality analysis failed for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","chlorophyllBetaQF","Chlorophyll a quality assurance and quality control report for the beta quality flag which indicates if one or more quality analysis could not be run for a datum detailed in NEON.DOC.001113 (1=fail 0=pass -1=NA (i.e could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","chlorophyllFinalQF","Chlorophyll a final quality flag indicating whether a data product has passed or failed an overall assessment of its quality; detailed in ATBD (1=fail; 0=pass)","unsigned integer",NA,"basic","integer",NA,NA
"waq_instantaneous","chlorophyllFinalQFSciRvw","Chlorophyll a final quality flag indicating whether a data product has failed a science review of its quality detailed in NEON.DOC.001113 (2=fail and data redacted, 1=fail but data retained and may be useful with additional corrections or filtering, 0=previous quality concern resolved and final quality flag correctly reflects data quality, Empty=pass/not reviewed)","unsigned integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","turbidity","Turbidity of water as FNU","real","formazinNephelometricUnit","basic","*.##(round)",NA,NA
"waq_instantaneous","turbidityExpUncert","Expanded uncertainty for turbidity","real","formazinNephelometricUnit","basic","*.##(round)",NA,NA
"waq_instantaneous","turbidityRangeQF","Turbidity quality flag for the range test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","turbidityStepQF","Turbidity quality flag for the step test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","turbidityNullQF","Turbidity quality flag for the null test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","turbidityGapQF","Turbidity quality flag for the gap test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","turbiditySpikeQF","Turbidity quality flag for the spike test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","turbidityValidCalQF","Quality flag for the valid calibration check of turbidity detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","turbiditySuspectCalQF","Quality flag for the suspect calibration check of turbidity detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
"waq_instantaneous","turbidityPersistenceQF","Turbidity quality flag for the persistence test detailed in NEON.DOC.011081 (1=fail 0=pass -1=NA (i.e. could not be run))","signed integer",NA,"expanded","integer",NA,NA
