"","name","pubCode","description","startDate","endDate"
"1","alg.algalSampleType","epilithon","Periphyton colonizing rock surfaces",2012-01-01,NA
"2","alg.algalSampleType","epixylon","Periphyton colonizing submerged wood surfaces",2012-01-01,NA
"3","alg.algalSampleType","epipsammon","Periphyton colonizing sand surfaces",2012-01-01,NA
"4","alg.algalSampleType","epipelon","Periphyton colonizing silt surfaces",2012-01-01,NA
"5","alg.algalSampleType","epiphyton","Periphyton colonizing submerged plant surfaces",2012-01-01,NA
"6","alg.algalSampleType","seston","Algae suspended in stream water column",2012-01-01,NA
"7","alg.algalSampleType","phytoplankton","Algae suspended in lake or river water column",2012-01-01,NA
"8","alg.algalSampleType","epilithon_largeSubstrate","Periphyton colonizing boulder or bedrock surfaces",2012-01-01,NA
"9","alg.algalSampleType","epixylon_largeSubstrate","Periphyton colonizing large submerged wood surfaces",2012-01-01,NA
"10","alg.analysisType","chlorophyll/pheophytin","Sample designated for chlorophyll a and pheophytin analysis",2012-01-01,NA
"11","alg.analysisType","CN","Sample designated for carbon and nitrogen analysis",2012-01-01,NA
"12","alg.analysisType","P","Sample designated for phosphorus analysis",2012-01-01,NA
"13","alg.analysisType","CNS","Sample designated for carbon, nitrogen, and sulfur stable isotope analysis",2012-01-01,NA
"14","alg.analysisType","AFDM","Sample designated for ash free dry mass analysis",2012-01-01,NA
"15","alg.analysisType","taxonomy","Sample designated for taxonomic analysis",2012-01-01,NA
"16","alg.analysisType","13C15N","Sample designated for carbon and nitrogen stable isotope analysis",2012-01-01,NA
"17","alg.analysisType","34S","Sample designated for sulfur stable isotope analysis",2012-01-01,NA
"18","alg.analysisType","CNSa","Sample a designated for carbon and nitrogen or carbon, nitrogen, and sulfur isotope analysis",2012-01-01,NA
"19","alg.analysisType","CNSb","Sample b designated for carbon and nitrogen or carbon, nitrogen, and sulfur isotope analysis",2012-01-01,NA
"20","alg.analysisType","POM","Surface water sample designated for carbon and nitrogen isotope analysis",2012-01-01,NA
"21","alg.ashMassDataQF","belowDetection","Ash mass value is within 0.0005 g of dry mass",2012-01-01,NA
"22","alg.ashMassDataQF","ashMassError","Ash mass value is >0.0005 g greater than dry mass",2012-01-01,NA
"23","alg.ashMassDataQF","dryMassError","Weighing error occurred during dry mass measurement",2012-01-01,NA
"24","alg.preservativeType","Lugol's iodine","Lugol's iodine",2012-01-01,NA
"25","alg.preservativeType","glutaraldehyde","glutaraldehyde",2012-01-01,NA
"26","alg.sampleCondition","OK","OK",2012-01-01,NA
"27","alg.sampleCondition","filter missing","filter missing",2012-01-01,NA
"28","alg.sampleCondition","undetermined","ash mass greater than dry mass",2012-01-01,NA
"29","alg.sampleCondition","other (specify in remarks)","other (specify in remarks)",2012-01-01,NA
"30","alg.samplerType","Kemmerer","Vertical Kemmerer sampler",2012-01-01,NA
"31","alg.samplerType","Van Dorn","Horizontal Van Dorn sampler",2012-01-01,NA
"32","alg.samplerType","grab","Water, sediment, or plant grab",2012-01-01,NA
"33","alg.samplerType","scrub","Cobble or wood scrub",2012-01-01,NA
"34","alg.samplingProtocolVersion","NEON.DOC.000691vA","NEON.DOC.000691vA",2012-01-01,NA
"35","alg.samplingProtocolVersion","NEON.DOC.000691vB","NEON.DOC.000691vB",2012-01-01,NA
"36","alg.samplingProtocolVersion","NEON.DOC.000691vC","NEON.DOC.000691vC",2012-01-01,NA
"37","alg.samplingProtocolVersion","NEON.DOC.000691vD","NEON.DOC.000691vD",2012-01-01,NA
"38","alg.samplingProtocolVersion","NEON.DOC.000691vE","NEON.DOC.000691vE",2012-01-01,NA
"39","alg.samplingProtocolVersion","NEON.DOC.001203vA","NEON.DOC.001203vA",2012-01-01,NA
"40","alg.samplingProtocolVersion","NEON.DOC.001203vB","NEON.DOC.001203vB",2012-01-01,NA
"41","alg.samplingProtocolVersion","NEON.DOC.001203vC","NEON.DOC.001203vC",2012-01-01,NA
"42","alg.samplingProtocolVersion","NEON.DOC.001203vD","NEON.DOC.001203vD",2012-01-01,NA
"43","alg.samplingProtocolVersion","NEON.DOC.003045vA","NEON.DOC.003045vA",2012-01-01,NA
"44","alg.samplingProtocolVersion","NEON.DOC.003045vB","NEON.DOC.003045vB",2012-01-01,NA
"45","alg.samplingProtocolVersion","NEON.DOC.003045vC","NEON.DOC.003045vC",2012-01-01,NA
"46","alg.samplingProtocolVersion","NEON.DOC.003045vD","NEON.DOC.003045vD",2018-11-01,NA
"47","alg.samplingProtocolVersion","NEON.DOC.003045vE","NEON.DOC.003045vE",2018-11-01,NA
"48","apl.algalParameter","number of valves","Number of diatom valves",2012-01-01,2016-09-02
"49","apl.algalParameter","number of natural units","Number of natural algal units",2012-01-01,2016-09-02
"50","apl.algalParameter","number of cells","Number of algal cells",2012-01-01,2016-09-02
"51","apl.algalParameter","cell density","Density of algal cells",2012-01-01,NA
"52","apl.algalParameter","biovolume density","Algal density by biovolume",2012-01-01,2019-10-01
"53","apl.algalParameter","subjective rating","Relative contribution of a macroalgae taxon to the sample on a scale of 1 to 6. 1 indicates low density, 6 indicates that 100% of the sample is made up of the taxon. ",2012-01-01,NA
"54","apl.algalParameter","plant","Vascular plant or bryophyte",2012-01-01,NA
"55","apl.algalParameter","valves","Number of diatom valves",2016-07-02,NA
"56","apl.algalParameter","natural units","Number of natural algal units",2016-07-02,NA
"57","apl.algalParameter","cells","Number of algal cells",2016-07-02,NA
"58","apl.algalParameter","macroalgae","Macroalgae",2012-01-01,NA
"59","apl.algalType","Bacillariophyceae","Bacillariophyceae",2012-01-01,NA
"60","apl.algalType","Chlorophyta and Charophyta","Chlorophyta and Charophyta",2012-01-01,NA
"61","apl.algalType","Cyanobacteria","Cyanobacteria",2012-01-01,NA
"62","apl.algalType","Xanthophyceae","Xanthophyceae",2012-01-01,NA
"63","apl.algalType","Euglenophyta","Euglenophyta",2012-01-01,NA
"64","apl.algalType","Dinoflagellata","Dinoflagellata",2012-01-01,NA
"65","apl.algalType","Rhodophyta","Rhodophyta",2012-01-01,NA
"66","apl.algalType","Unclassified","Unclassified",2012-01-01,NA
"67","apl.algalType","Cryptophyta ","Cryptophyta ",2012-01-01,NA
"68","apl.algalType","Ochrophyta ","Ochrophyta ",2012-01-01,NA
"69","apl.algalType","Bacillariophyceae","Bacillariophyceae",2012-01-01,NA
"70","apl.IDQualifiersAllRanks","cf. division","Roughly equals but 'not sure' about the division",2012-01-01,NA
"71","apl.IDQualifiersAllRanks","aff. division","Similar to but is not the division",2012-01-01,NA
"72","apl.IDQualifiersAllRanks","cf. subdivision","Roughly equals but 'not sure' about the subdivision",2012-01-01,NA
"73","apl.IDQualifiersAllRanks","aff. subdivision","Similar to but is not the subdivision",2012-01-01,NA
"74","apl.IDQualifiersAllRanks","cf. infradivision","Roughly equals but 'not sure' about the infradivision",2012-01-01,NA
"75","apl.IDQualifiersAllRanks","aff. infradivision","Similar to but is not the infradivision",2012-01-01,NA
