"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"PARWS_1min","domainID","Unique identifier of the NEON domain","string",NA,"appended by stackByTable",NA,"N",NA
"PARWS_1min","siteID","NEON site code","string",NA,"appended by stackByTable",NA,"N",NA
"PARWS_1min","horizontalPosition","Index of horizontal location at a NEON site","string",NA,"appended by stackByTable",NA,"N",NA
"PARWS_1min","verticalPosition","Index of vertical location at a NEON site","string",NA,"appended by stackByTable",NA,"N",NA
"PARWS_1min","startDateTime","Date and time at which a sampling is initiated","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm:ss'Z'(floor)",NA,NA
"PARWS_1min","endDateTime","Date and time at which a sampling is completed","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm:ss'Z'(floor)",NA,NA
"PARWS_1min","PARMean","Arithmetic mean of photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic","*.##(round)",NA,NA
"PARWS_1min","PARMinimum","Minimum photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic","*.##(round)",NA,NA
"PARWS_1min","PARMaximum","Maximum photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic","*.##(round)",NA,NA
"PARWS_1min","PARVariance","Variance in photosynthetically active radiation","real","micromolesPerSquareMeterPerSecondSquared","basic","*.##(round)",NA,NA
"PARWS_1min","PARNumPts","Number of points used to calculate the arithmetic mean of photosynthetically active radiation","real","number","basic","integer",NA,NA
"PARWS_1min","PARExpUncert","Expanded uncertainty for photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic","*.##(round)",NA,NA
"PARWS_1min","PARStdErMean","Standard error of the mean for photosynthetically active radiation","real","micromolesPerSquareMeterPerSecond","basic","*.##(round)",NA,NA
"PARWS_1min","PARRangeFailQM","Photosynthetically active radiation quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","real","percent","expanded","*.##(round)",NA,NA
"PARWS_1min","PARRangePassQM","Photosynthetically active radiation quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","real","percent","expanded","*.##(round)",NA,NA
"PARWS_1min","PARRangeNAQM","Photosynthetically active radiation quality metric that summarizes when the range test could not be run over the averaging period, as a percent","real","percent","expanded","*.##(round)",NA,NA
