"table","fieldName","description","dataType","units","downloadPkg","pubFormat","primaryKey","categoricalCodeName"
"TSW_30min","domainID","Unique identifier of the NEON domain","string",NA,"appended by stackByTable",NA,"N",NA
"TSW_30min","siteID","NEON site code","string",NA,"appended by stackByTable",NA,"N",NA
"TSW_30min","horizontalPosition","Index of horizontal location at a NEON site","string",NA,"appended by stackByTable",NA,"N",NA
"TSW_30min","verticalPosition","Index of vertical location at a NEON site","string",NA,"appended by stackByTable",NA,"N",NA
"TSW_30min","startDateTime","Date and time at which a sampling is initiated","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm:ss'Z'(floor)",NA,NA
"TSW_30min","endDateTime","Date and time at which a sampling is completed","dateTime",NA,"basic","yyyy-MM-dd'T'HH:mm:ss'Z'(floor)",NA,NA
"TSW_30min","surfWaterTempMean","Arithmetic mean of temperature of surface water in degrees celsius","real","celsius","basic","*.###(round)",NA,NA
"TSW_30min","surfWaterTempMinimum","Minimum temperature of surface water in degrees celsius","real","celsius","basic","*.###(round)",NA,NA
"TSW_30min","surfWaterTempMaximum","Maximum temperature of surface water in degrees celsius","real","celsius","basic","*.###(round)",NA,NA
"TSW_30min","surfWaterTempVariance","Variance in temperature of surface water in degrees celsius","real","celsiusSquared","basic","*.###(round)",NA,NA
"TSW_30min","surfWaterTempNumPts","Number of points used to calculate the arithmetic mean of temperature of surface water in degrees celsius","real","number","basic","integer",NA,NA
"TSW_30min","surfWaterTempExpUncert","Expanded uncertainty for temperature of surface water in degrees celsius","real","celsius","basic","*.###(round)",NA,NA
"TSW_30min","surfWaterTempStdErMean","Standard error of the mean for temperature of surface water in degrees celsius","real","celsius","basic","*.###(round)",NA,NA
"TSW_30min","rangeFailQM","Quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","rangePassQM","Quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","rangeNAQM","Quality metric that summarizes when the range test could not be run over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","persistenceFailQM","Quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
"TSW_30min","persistencePassQM","Quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent","real","percent","expanded","*.###(round)",NA,NA
