date,year,season,location,sampleID,labelColor,group,microhabitat,time,quadrat,depth,per_sediment,per_rock,per_organic,num_crayfish_seen,num_crayfish_caught,quadrat_notes
10/11/2018,2018,Fall,Downstream,03DRFA18,Orange,Denise_David,DM,8:22,1,35,3,95,2,0,0,
10/11/2018,2018,Fall,Downstream,03DRFA18,Orange,Denise_David,DM,8:30,2,43,35,60,5,0,0,
9/25/2018,2018,Fall,Downstream,02DRFA18,Green,MCP,DSR,8:34,1,24.5,0,75,25,0,0,lots of periphyton
10/11/2018,2018,Fall,Downstream,03DRFA18,Orange,Denise_David,DSR,8:35,1,39,25,50,25,0,0,
9/25/2018,2018,Fall,Downstream,02DRFA18,Green,MCP,DSR,8:43,2,22.5,5,80,15,1,0,lots of periphyton
10/11/2018,2018,Fall,Downstream,03DRFA18,Orange,Denise_David,DSR,8:45,2,46,20,60,20,0,0,
9/25/2018,2018,Fall,Downstream,02DRFA18,Green,MCP,DFR,8:55,1,24,8,90,2,1,0,lots of periphyton
10/11/2018,2018,Fall,Downstream,03DRFA18,Orange,Denise_David,DFR,9:00,1,37,30,50,20,0,0,
9/25/2018,2018,Fall,Downstream,02DRFA18,Green,MCP,DFR,9:05,2,22,20,75,5,0,0,lots of periphyton
10/11/2018,2018,Fall,Downstream,03DRFA18,Orange,Denise_David,DFR,9:05,2,37,20,70,10,0,0,
10/11/2018,2018,Fall,Downstream,03DRFA18,Orange,Denise_David,DSH,9:15,1,28.5,18,80,2,0,0,
9/25/2018,2018,Fall,Downstream,02DRFA18,Green,MCP,DSH,9:19,1,24,25,70,5,0,0,lots of periphyton
10/11/2018,2018,Fall,Downstream,03DRFA18,Orange,Denise_David,DSH,9:25,2,25,12,85,3,0,0,1 fish
9/25/2018,2018,Fall,Downstream,02DRFA18,Green,MCP,DSH,9:26,2,27,20,80,0,0,0,lots of periphyton
6/5/2018,2018,Summer,Downstream,02DRSU18,Blue,"SC,RH",DSR,9:28,1,21,35,60,5,0,0,many sticks on near shore
6/5/2018,2018,Summer,Downstream,02DRSU18,Blue,"MCP, LW",DSR,9:28,2,47,4,95,1,0,0,
5/29/2018,2018,Summer,Downstream,01DRSU18,Lavendar,"SC, LW",DSR,9:30,1,17.55,60,30,10,0,0,
5/29/2018,2018,Summer,Downstream,01DRSU18,Lavendar,"MCP, RH",DSR,9:30,2,20,29,70,1,1,0,
6/7/2018,2018,Summer,Downstream,03DRSU18,Orange,RH LW,DSR,9:30,1,21,30,60,10,0,1,
6/7/2018,2018,Summer,Downstream,03DRSU18,Orange,"MCP, SC",DSR,9:30,2,17.5,25,74,1,2,0,1 physa snail from outside quadrat
6/4/2019,2019,Summer,Downstream,03DRSU19,Yellow,,DSR,9:30,1,17,10,88,2,1,0,
6/4/2019,2019,Summer,Downstream,03DRSU19,Yellow,,DSR,9:30,2,19.5,15,83,2,3,0,odonata in vial/ abudant algae
5/31/2019,2019,Summer,Upstream,02URSU19,Blue,,USR,9:36,1,34.2,10,90,0,0,0,algae
5/31/2019,2019,Summer,Upstream,02URSU19,Blue,,USR,9:36,2,24.5,20,79,1,1,0,1 crayfish (female with eggs)
6/5/2019,2019,Summer,Upstream,03URSU19,Pink,,USR,9:36,1,14,20,75,5,1,1,1 male crayfish
6/5/2019,2019,Summer,Upstream,03URSU19,Pink,,USR,9:36,2,22.4,25,73,2,0,0,2 crayfish
6/3/2019,2019,Summer,Downstream,02DRSU19,Green,,DSR,9:39,1,31,5,90,5,0,0,
6/3/2019,2019,Summer,Downstream,02DRSU19,Green,,DSR,9:39,2,18,2,93,5,1,0,
9/25/2018,2018,Fall,Downstream,02DRFA18,Green,MCP,DSP,9:40,1,16,5,95,0,0,0,"lots of periphyton, sponge present"
5/28/2019,2019,Summer,Downstream,01DRSU19,Lavender,,DSR,9:40,1,24,10,89,1,0,0,
5/28/2019,2019,Summer,Downstream,01DRSU19,Lavender,,DSR,9:40,2,21,9,90,1,0,0,
5/30/2019,2019,Summer,Upstream,01URSU19,Orange,,USR,9:41,1,41.5,10,80,10,0,0,1 crayfish
5/30/2019,2019,Summer,Upstream,01URSU19,Orange,,USR,9:41,2,26.5,20,75,5,0,0,
6/5/2018,2018,Summer,Downstream,02DRSU18,Blue,"SC,RH",DFR,9:45,1,29,15,85,0,0,0,"4 limpets, very little sponge"
6/5/2018,2018,Summer,Downstream,02DRSU18,Blue,"MCP, LW",DFR,9:45,2,23,5,94,1,0,0,
9/25/2018,2018,Fall,Downstream,02DRFA18,Green,MCP,DSP,9:47,2,19,5,95,0,0,0,"lots of periphyton, sponge present"
6/8/2018,2018,Summer,Upstream,03URSU18,Green,MCP LW,USR,9:50,1,22,20,60,20,1,0,
6/8/2018,2018,Summer,Upstream,03URSU18,Green,RH SC,USR,9:50,2,23.5,39,60,1,4,0,algae
6/6/2018,2018,Summer,Upstream,02URSU18,White,"LW, SC",USR,9:53,1,27,30,60,10,4,0,
6/6/2018,2018,Summer,Upstream,02URSU18,White,"RH, MCP",USR,9:53,2,29,30,65,5,2,0,
6/7/2018,2018,Summer,Downstream,03DRSU18,Orange,RH LW,DFR,9:54,1,16,30,70,0,1,0,
6/7/2018,2018,Summer,Downstream,03DRSU18,Orange,"MCP, SC",DFR,9:54,2,11,10,80,10,1,0,
5/29/2018,2018,Summer,Downstream,01DRSU18,Lavendar,"SC, LW",DFR,9:56,1,8.5,10,90,0,1,0,
5/29/2018,2018,Summer,Downstream,01DRSU18,Lavendar,"MCP, RH",DFR,9:56,2,22.5,25,70,5,1,0,
9/25/2018,2018,Fall,Downstream,02DRFA18,Green,MCP,DM,9:59,1,37,3,97,0,0,0,lots of periphyton
5/31/2019,2019,Summer,Upstream,02URSU19,Blue,,UFR,10:00,1,38.6,15,84,1,0,0,
5/31/2019,2019,Summer,Upstream,02URSU19,Blue,,UFR,10:00,2,43.9,13,85,2,5,0,"5 crayfish: 1 female juvinile, 1 large male "
6/5/2019,2019,Summer,Upstream,03URSU19,Pink,,UFR,10:02,2,46,5,94,1,0,0,
6/4/2019,2019,Summer,Downstream,03DRSU19,Yellow,,DFR,10:05,1,20.5,17,80,3,0,0,
6/4/2019,2019,Summer,Downstream,03DRSU19,Yellow,,DFR,10:05,2,25,20,75,5,2,0,
6/5/2018,2018,Summer,Downstream,02DRSU18,Blue,"SC,RH",DM,10:06,1,29.5,29,70,1,0,0,very little sponge
6/5/2018,2018,Summer,Downstream,02DRSU18,Blue,"MCP, LW",DM,10:06,2,25,4,95,1,0,0,
