date,BvA,year,season,sampleTime,location,habitat,sampleID,labelColor,microhabitat,quadrat,vial,acceptedTaxonID,taxonRank,scientificName,phylum,subphylum,class,order,family,subfamily,tribe,genus,species,organism_aggr,notes,number,tolerance,FFG,FFG2,Habit,Habit2
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,9B,ACETUR,species,Acentrella turbida,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,turbida,Acentrella,NA,1,4,cg,NA,sw,clg
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,10A,ACETUR,species,Acentrella turbida,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Acentrella,turbida,Acentrella,NA,1,4,cg,NA,sw,clg
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,1,ACRSP4,genus,Acroneuria sp.,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,NA,NA,Acroneuria,NA,Acroneuria,NA,1,0,prd,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,52,ANTSP9,genus,Antocha sp.,Arthropoda,Hexapoda,Insecta,Diptera,Tipulidae,NA,NA,Antocha,NA,Antocha,fly larva,1,3,cg,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,7,ANTSP9,genus,Antocha sp.,Arthropoda,Hexapoda,Insecta,Diptera,Tipulidae,NA,NA,Antocha,NA,Antocha,larvae,7,3,cg,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,9,ANTSP9,genus,Antocha sp.,Arthropoda,Hexapoda,Insecta,Diptera,Tipulidae,NA,NA,Antocha,NA,Antocha,larvae,3,3,cg,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,2,APASP2,genus,Apatania sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Apataniidae,NA,NA,Apatania,NA,Apatania,NA,2,3,scr,cg,clg,cli
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,12,ATTSP1,genus,Attaneuria sp.,Arthropoda,Hexapoda,Insecta,Plecoptera,Perlidae,NA,NA,Attaneuria,NA,Attaneuria,"monochromatic brown, pic on phone",1,3,prd,NA,NA,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,2G,BAESP2,genus,Baetis sp.,Arthropoda,Hexapoda,Insecta,Ephemeroptera,Baetidae,NA,NA,Baetis,NA,Baetis,NA,5,4,cg,scr,sw,clg
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,2,CERBRO,species,Ceratopsyche bronta,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,bronta,Hydropsyche,NA,1,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,1,CERBRO,species,Ceratopsyche bronta,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,bronta,Hydropsyche,NA,2,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,2,CERMOR,species,Ceratopsyche morosa,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,morosa,Hydropsyche,NA,5,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,1,CERMOR,species,Ceratopsyche morosa,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,morosa,Hydropsyche,NA,6,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,1,CERMOR,species,Ceratopsyche morosa,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,morosa,Hydropsyche,NA,6,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,2,CERMOR,species,Ceratopsyche morosa,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,morosa,Hydropsyche,NA,1,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,2,CERMOR,species,Ceratopsyche morosa,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,morosa,Hydropsyche,dark spots,2,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,11,CERSP11,species,Ceratopsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,NA,Hydropsyche,pupa,1,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,5,CERSP11,species,Ceratopsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,NA,Hydropsyche,pupa,3,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,7,CERSP11,species,Ceratopsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,NA,Hydropsyche,pupa,1,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,2,CERSPA1,species,Ceratopsyche sparna,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,sparna,Hydropsyche,NA,1,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,1,CERSPA1,species,Ceratopsyche sparna,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,sparna,Hydropsyche,NA,9,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,1,CERSPA1,species,Ceratopsyche sparna,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Hydropsyche,sparna,Hydropsyche,NA,2,6,cf,om,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DFR,1,11,CHESP5,genus,Cheumatopsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Cheumatopsyche,NA,Cheumatopsyche,emerging adult,1,5,cf,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DM,1,2,CHESP5,genus,Cheumatopsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Cheumatopsyche,NA,Cheumatopsyche,NA,2,5,cf,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSH,1,1,CHESP5,genus,Cheumatopsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Cheumatopsyche,NA,Cheumatopsyche,NA,15,5,cf,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,5,CHESP5,genus,Cheumatopsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Cheumatopsyche,NA,Cheumatopsyche,pupa,1,5,cf,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSP,1,1,CHESP5,genus,Cheumatopsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Cheumatopsyche,NA,Cheumatopsyche,NA,10,5,cf,NA,clg,NA
5/28/2019,After,2019,Summer,Summer 2019,Downstream,Riffle,01DRSU19,Lavender,DSR,1,2,CHESP5,genus,Cheumatopsyche sp.,Arthropoda,Hexapoda,Insecta,Trichoptera,Hydropsychidae,NA,NA,Cheumatopsyche,NA,Cheumatopsyche,NA,10,5,cf,NA,clg,NA
