date,year,season,location,sampleID,labelColor,labSection,timeOfDay,sky,USGSdischarge,lamontDischarge,lamontStage,lamontTurbSS,lamontTurbBS,lamontAtemp,lamontWtemp,UpWatertemp,UpTurbSS,UpTurbBS,barPressure,otherOrgs,notes,numGroups,quadsTaken,quadSize
10/27/2015,2015,Fall,Downstream,01DRFA15,Orange,TUE,1:30-2:30pm,partly cloudy,27.1,34,0.82,0.44,0,11.2,8.6,,,,,,,5,48,0.15
11/4/2015,2015,Fall,Upstream,01URFA15,Blue,WED,1:30-2:30pm,sunny,46,52,0.93,0.851,0,19.7,10.1,,,,,,,3,23,0.15
4/5/2016,2016,Spring,Upstream,01URSP16,Orange,Tuesday,1:30-2:30pm,Sunny,90.5,91,1.14,0.669,0,1.5,2.5,,,,,2 fish,"Big storm the day before, 4 groups",4,45,0.15
4/6/2016,2016,Spring,Upstream,02URSP16,Blue,Wednesday,1:30-2:30pm,Cloudy,83.8,84,1.1,0.705,0,5.1,3.7,,,,,"3 fish, 1 salamander",clean rocks,5,57,0.15
4/7/2016,2016,Spring,Upstream,03URSP16,Yellow,Thursday,1:30-2:30pm,Rainy/Cloudy,97.5,104,1.18,0.967,0,12.8,5.5,,,,,"5 fish, 2 salamanders",rainy and hard to see well enough to catch crayfish,7,63,0.15
4/12/2016,2016,Spring,Downstream,01DRSP16,Orange,Tuesday,1:30-2:30pm,Cloudy,166,174,1.42,3.697,0,8.9,7.5,,,,,,Sampled upstream of the bend but marginally dangerous because current strong and depth was deep along closer side of the river.  Rocks looked fairly clean,4,44,0.15
4/13/2016,2016,Spring,Downstream,02DRSP16,Blue,Wednesday,1:30-2:30pm,Sunny,129,45,0.89,1.869,0,11,7.9,,,,,,"clean rocks, Partial draw down of pond to remove a log and replace flashing",5,54,0.15
4/14/2016,2016,Spring,Downstream,03DRSP16,Yellow,Thursday,1:30-2:30pm,Sunny,109,116,1.21,0.982,2.27,12.7,9,,,,,,"Sampled downstream of the bend, rainy and hard to see well enough to catch crayfish",7,44,0.15
6/2/2016,2016,Summer,Downstream,01DRSU16,Orange,NA,10-10:40 am,Sunny,32.7,34,0.81,23.9,2.2,,20.7,,,,,,,1,17,0.15
6/3/2016,2016,Summer,Upstream,01URSU16,Orange,NA,10-10:30 am,Cloudy,36.6,32,0.8,17.8,2.8,,20.5,,,,,,,1,12,0.15
6/6/2016,2016,Summer,Downstream,02DRSU16,Blue,NA,1:30-2:00pm,Sunny,182,175,1.4,27.9,5.3,,19.2,,,,,,,1,5,0.15
6/7/2016,2016,Summer,Upstream,02URSU16,Blue,NA,1:30-2pm,Partly Sunny,77.4,70,1,28.4,2.3,,21,,,,,,,1,10,0.15
6/8/2016,2016,Summer,Upstream,03URSU16,Yellow,NA,1:30-1:50pm,Cloudy,55.8,52,0.9,18.8,1.7,,19.4,,,,,,,1,10,0.15
6/10/2016,2016,Summer,Downstream,03DRSU16,Yellow,NA,1:30-1:50 pm,Mostly Sunny,39.9,35,0.8,20.9,1,,18.4,,,,,,,1,5,0.15
10/3/2016,2016,Fall,Downstream,01DRFA16,Lavender,MON,1:30-2:20pm,mixed sun & clouds,9.39,10,0.57,4.865,2,20.5,17.3,,,,,,Tons of crayfish!,,29,0.15
10/4/2016,2016,Fall,Downstream,02DRFA16,Green,TUE,1:20-2:30pm,cloudy,9.04,9,0.56,3.688,2,15.5,16.5,,,,,,"Tons of crayfish, but we didn't go as out of the way to catch them",,25,0.15
10/6/2016,2016,Fall,Downstream,04DRFA16,Orange,THU,1:40-2:40,clear,7.72,8,0.54,4.457,2,22,17.5,,,,,,lots of algae and sponge; lots of crayfish and fish,,,
10/12/2016,2016,Fall,Downstream,03DRFA16,Yellow,WED,1:45-2:35,clear,6.81,8,0.6,4.263,2,18.3,13.7,,,,,,lots of algae and sponge; lots of crayfish and fish (38 rock rubs),,29,0.15
10/17/2016,2016,Fall,Upstream,01URFA16,Lavender,MON,1:30-2:20pm,cloudy,5.97,8,0.53,4.167,1.1,21.9,14.3,,,,,,"lots of algae on rocks, lots of limpets, 1 mussel found near the bank where we entered the river",,44,0.15
10/18/2016,2016,Fall,Upstream,02URFA16,Green,TUE,1:20-2:20pm,Sunny,6.52,8,0.55,4.062,1.6,22.9,16.5,,,,,,"More algae on the rocks, lots of small juvenile fish",,22,0.15
