"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2","mon.precip"
"BARC.20160711.SWEEP.3","D03","BARC",2016-07-11 16:40:00,1,"COESP","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Coenagrionidae",NA,NA,NA,"Coenagrionidae sp.","family","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,3.27868852459016,"count per square meter",NA,8,"prd",NA,0
"BARC.20160711.SWEEP.9","D03","BARC",2016-07-11 16:40:00,11,"NEMSP","Nematoda",NA,NA,NA,NA,NA,NA,NA,NA,"Nematoda sp.","phylum","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,36.0655737704918,"count per square meter",NA,5,"cg",NA,0
"BARC.20160711.SWEEP.1","D03","BARC",2016-07-11 16:40:00,1,"LABSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Labrundinia","Labrundinia sp.","genus","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,3.27868852459016,"count per square meter",NA,6,"prd",NA,0
"BARC.20160711.SWEEP.5","D03","BARC",2016-07-11 16:40:00,1,"PRIAEQ","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae","Pristininae",NA,"Pristina","Pristina aequiseta","species","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,3.27868852459016,"count per square meter",NA,8,"cg",NA,0
"BARC.20160711.PONAR.1","D03","BARC",2016-07-11 16:40:00,1,"CLASP5","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Cladopelma","Cladopelma sp.","genus","BARC.20160711",2016-07-11,2016,"pelagic","petitePonar",0.023,43.4782608695652,"count per square meter",NA,9,"cg",NA,0
"BARC.20160711.PONAR.1","D03","BARC",2016-07-11 16:40:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","BARC.20160711",2016-07-11,2016,"pelagic","petitePonar",0.023,43.4782608695652,"count per square meter","segmented_worms",8,"cg",NA,0
"BARC.20160711.PONAR.1","D03","BARC",2016-07-11 16:40:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","BARC.20160711",2016-07-11,2016,"pelagic","petitePonar",0.023,43.4782608695652,"count per square meter","segmented_worms",10,"cg",NA,0
"BARC.20160711.PONAR.1","D03","BARC",2016-07-11 16:40:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","BARC.20160711",2016-07-11,2016,"pelagic","petitePonar",0.023,43.4782608695652,"count per square meter","segmented_worms",10,"cg",NA,0
"BARC.20160711.SWEEP.5","D03","BARC",2016-07-11 16:40:00,2,"LIBSP","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Libellulidae",NA,NA,NA,"Libellulidae sp.","family","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,6.55737704918033,"count per square meter",NA,NA,"prd",NA,0
"BARC.20160711.SWEEP.1","D03","BARC",2016-07-11 16:40:00,2,"ORISP1","Arthropoda","Chelicerata","Arachnida","Acari","Sarcoptiformes",NA,NA,NA,NA,"Oribatida sp.","suborder","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,6.55737704918033,"count per square meter",NA,6,"prd",NA,0
"BARC.20160711.SWEEP.1","D03","BARC",2016-07-11 16:40:00,4,"ORISP1","Arthropoda","Chelicerata","Arachnida","Acari","Sarcoptiformes",NA,NA,NA,NA,"Oribatida sp.","suborder","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,13.1147540983607,"count per square meter",NA,6,"prd",NA,0
"BARC.20160711.SWEEP.3","D03","BARC",2016-07-11 16:40:00,1,"ABLSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Ablabesmyia","Ablabesmyia sp.","genus","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,3.27868852459016,"count per square meter","midges",8,"prd","cg",0
"BARC.20160711.SWEEP.1","D03","BARC",2016-07-11 16:40:00,7,"PRIPRO","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae","Pristininae",NA,"Pristina","Pristina proboscidea","species","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,22.9508196721311,"count per square meter",NA,8,"cg",NA,0
"BARC.20160711.PONAR.3","D03","BARC",2016-07-11 16:40:00,12,"PSESP18","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Pseudochironomini","Pseudochironomus","Pseudochironomus sp.","genus","BARC.20160711",2016-07-11,2016,"pelagic","petitePonar",0.023,521.739130434783,"count per square meter","midges",5,"cg",NA,0
"BARC.20160711.PONAR.3","D03","BARC",2016-07-11 16:40:00,5,"PSESP18","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Pseudochironomini","Pseudochironomus","Pseudochironomus sp.","genus","BARC.20160711",2016-07-11,2016,"pelagic","petitePonar",0.023,217.391304347826,"count per square meter","midges",5,"cg",NA,0
"BARC.20160711.SWEEP.3","D03","BARC",2016-07-11 16:40:00,1,"PSESP18","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Pseudochironomini","Pseudochironomus","Pseudochironomus sp.","genus","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,3.27868852459016,"count per square meter","midges",5,"cg",NA,0
"BARC.20160711.SWEEP.7","D03","BARC",2016-07-11 16:40:00,1,"LIBSP","Arthropoda","Hexapoda","Insecta","Pterygota","Odonata","Libellulidae",NA,NA,NA,"Libellulidae sp.","family","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,3.27868852459016,"count per square meter",NA,NA,"prd",NA,0
"BARC.20160711.SWEEP.3","D03","BARC",2016-07-11 16:40:00,1,"LARSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Larsia","Larsia sp.","genus","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,3.27868852459016,"count per square meter",NA,6,"prd",NA,0
"BARC.20160711.SWEEP.5","D03","BARC",2016-07-11 16:40:00,1,"DASSP2","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Ceratopogonidae","Dasyheleinae",NA,"Dasyhelea","Dasyhelea sp.","genus","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,3.27868852459016,"count per square meter","Dasyhelea",6,"cg","scr",0
"BARC.20160711.SWEEP.5","D03","BARC",2016-07-11 16:40:00,2,"ABLSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Ablabesmyia","Ablabesmyia sp.","genus","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,6.55737704918033,"count per square meter","midges",8,"prd","cg",0
"BARC.20160711.PONAR.1","D03","BARC",2016-07-11 16:40:00,1,"CHASP13","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chaoboridae","Chaoborinae",NA,"Chaoborus","Chaoborus sp.","genus","BARC.20160711",2016-07-11,2016,"pelagic","petitePonar",0.023,43.4782608695652,"count per square meter",NA,NA,NA,NA,0
"BARC.20160711.SWEEP.1","D03","BARC",2016-07-11 16:40:00,1,"LARSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Larsia","Larsia sp.","genus","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,3.27868852459016,"count per square meter",NA,6,"prd",NA,0
"BARC.20160711.PONAR.3","D03","BARC",2016-07-11 16:40:00,2,"LABSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Labrundinia","Labrundinia sp.","genus","BARC.20160711",2016-07-11,2016,"pelagic","petitePonar",0.023,86.9565217391304,"count per square meter",NA,6,"prd",NA,0
"BARC.20160711.PONAR.3","D03","BARC",2016-07-11 16:40:00,27,"ORISP1","Arthropoda","Chelicerata","Arachnida","Acari","Sarcoptiformes",NA,NA,NA,NA,"Oribatida sp.","suborder","BARC.20160711",2016-07-11,2016,"pelagic","petitePonar",0.023,1173.91304347826,"count per square meter",NA,6,"prd",NA,0
"BARC.20160711.SWEEP.9","D03","BARC",2016-07-11 16:40:00,1,"LABSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Pentaneurini","Labrundinia","Labrundinia sp.","genus","BARC.20160711",2016-07-11,2016,"littoral","benthicSweep",0.305,3.27868852459016,"count per square meter",NA,6,"prd",NA,0
