"domainID","siteID","namedLocation","collectDate","algSampleID","perBottleSampleVolume","algalParameter","algalParameterValue","eventID","date","year","habitatType","algalSampleType","samplerType","benthicArea","substratumSizeClass","alg_dens","alg_dens_unit","mean.parws","median.parws"
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"number of valves",19,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",7896.92435577722,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.7",60,"biovolume density",57371,"CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,0.002406,"cobble",23844970.9060682,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.6",60,"biovolume density",15257.3,"CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,0.002406,"cobble",6341354.94596841,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"biovolume density",85863.7,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",35687323.358271,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"biovolume density",4644591,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",1930420199.50125,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.2",60,"cell density",4048.6,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",1682709.89193682,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.3",60,"cell density",13.5,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",5610.97256857855,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.3",60,"biovolume density",26082.4,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",10840565.2535328,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.4",60,"biovolume density",210929.6,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",87668162.9260183,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.4",60,"cell density",109311.7,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",45432959.2684954,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"cell density",8097.2,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",3365419.78387365,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.3",60,"number of valves",2,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",831.255195344971,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.2",60,"number of valves",4,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",1662.51039068994,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.2",60,"biovolume density",1224697.1,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",509017913.54946,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.7",60,"biovolume density",638469,"CARI.20160712",2016-07-12,2016,"riffle","epilithon",NA,0.002406,"cobble",265365336.658354,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.1",60,"biovolume density",10946.1,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",4549501.24688279,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.2",60,"number of valves",4,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",1662.51039068994,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.1",60,"cell density",82.1,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",34123.0257689111,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"cell density",8097.2,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",3365419.78387365,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.5",60,"number of valves",3,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",1246.88279301746,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.4",60,"biovolume density",13140147.8,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",5461408063.1754,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.2",60,"number of cells",70,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",29093.931837074,"count or biovolume per square meter",NA,NA
"D19","CARI","CARI.AOS.reach",2016-07-12 20:37:00,"CARI.20160712.EPILITHON.1",60,"number of valves",4,"CARI.20160712",2016-07-12,2016,"run","epilithon",NA,0.002406,"cobble",1662.51039068994,"count or biovolume per square meter",NA,NA
