"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2","mean.parws","median.parws"
"CARI.20160711.SURBER.1","D19","CARI",2016-07-11 21:15:00,1,"EMPSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Empididae",NA,NA,NA,"Empididae sp.","family","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,6,"prd",NA,NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,2,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,8,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
"CARI.20160711.KICKNET.4","D19","CARI",2016-07-11 21:15:00,5,"BAEBIC","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Baetis","Baetis bicaudatus","species","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,20,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.KICKNET.2","D19","CARI",2016-07-11 21:15:00,1,"EPESP","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Heptageniidae",NA,NA,"Epeorus","Epeorus sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","Epeorus",0,"scr","cg",NA,NA
"CARI.20160711.KICKNET.2","D19","CARI",2016-07-11 21:15:00,1,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
"CARI.20160711.KICKNET.4","D19","CARI",2016-07-11 21:15:00,1,"CHASP12","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Chaetocladius","Chaetocladius sp.","genus","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter",NA,6,"cg",NA,NA,NA
"CARI.20160711.KICKNET.3","D19","CARI",2016-07-11 21:15:00,1,"EMPSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Empididae",NA,NA,NA,"Empididae sp.","family","CARI.20160711",2016-07-11,2016,"run","modifiedKicknet",0.25,4,"count per square meter",NA,6,"prd",NA,NA,NA
"CARI.20160711.SURBER.3","D19","CARI",2016-07-11 21:15:00,2,"EUKGRA","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Eukiefferiella","Eukiefferiella gracei gr.","speciesGroup","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.SURBER.3","D19","CARI",2016-07-11 21:15:00,7,"EUKBRE1","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Eukiefferiella","Eukiefferiella brevicalcar gr.","speciesGroup","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,75.2688172043011,"count per square meter",NA,4,"cg",NA,NA,NA
"CARI.20160711.SURBER.2","D19","CARI",2016-07-11 21:15:00,1,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","CARI.20160711",2016-07-11,2016,"riffle","surber",0.093,10.752688172043,"count per square meter","segmented_worms",5,"cg",NA,NA,NA
