"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2","mean.DO","median.DO","mean.DOsat","median.DOsat","mean.pH","median.pH","mean.turb","median.turb","mean.wTemp","median.wTemp"
"COMO.20180605.SURBER.1","D13","COMO",2018-06-05 16:06:00,3,"PAGSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Diamesinae","Diamesini","Pagastia","Pagastia sp.","genus","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,32.258064516129,"count per square meter","midges",1,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.3","D13","COMO",2018-06-05 16:06:00,1,"CHESP17","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Empididae","Hemerodromiinae","Hemerodromiini","Chelifera/Metachela","Chelifera/Metachela sp.","speciesGroup","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,6,"prd",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.4","D13","COMO",2018-06-05 16:06:00,1,"NAISP1","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Tanaidacea","Pseudotanaidae",NA,NA,"Nais","Nais sp.","genus","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,NA,NA,NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.3","D13","COMO",2018-06-05 16:06:00,1,"RHYSP3","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Rhyacophilidae",NA,NA,"Rhyacophila","Rhyacophila sp.","genus","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,10.752688172043,"count per square meter","Rhyacophila",1,"prd","om",8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.3","D13","COMO",2018-06-05 16:06:00,1,"RHYSP3","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Rhyacophilidae",NA,NA,"Rhyacophila","Rhyacophila sp.","genus","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,10.752688172043,"count per square meter","Rhyacophila",1,"prd","om",8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.3","D13","COMO",2018-06-05 16:06:00,1,"RHYSP3","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Rhyacophilidae",NA,NA,"Rhyacophila","Rhyacophila sp.","genus","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,10.752688172043,"count per square meter","Rhyacophila",1,"prd","om",8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.KICKNET.1","D13","COMO",2018-06-05 16:06:00,2,"POLEPL","Arthropoda","Hexapoda","Insecta",NA,"Diptera","Chironomidae","Chironominae","Chironomini","Polypedilum","Polypedilum epleri","species","COMO.20180605",2018-06-05,2018,"run","modifiedKicknet",0.25,8,"count per square meter",NA,6,"sh",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.KICKNET.3","D13","COMO",2018-06-05 16:06:00,5,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","COMO.20180605",2018-06-05,2018,"run","modifiedKicknet",0.25,20,"count per square meter","segmented_worms",8,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.KICKNET.3","D13","COMO",2018-06-05 16:06:00,5,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","COMO.20180605",2018-06-05,2018,"run","modifiedKicknet",0.25,20,"count per square meter","segmented_worms",10,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.KICKNET.3","D13","COMO",2018-06-05 16:06:00,5,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","COMO.20180605",2018-06-05,2018,"run","modifiedKicknet",0.25,20,"count per square meter","segmented_worms",10,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.KICKNET.2","D13","COMO",2018-06-05 16:06:00,3,"BAEBIC","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,"Baetis","Baetis bicaudatus","species","COMO.20180605",2018-06-05,2018,"run","modifiedKicknet",0.25,12,"count per square meter",NA,4,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.1","D13","COMO",2018-06-05 16:06:00,3,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,32.258064516129,"count per square meter","segmented_worms",8,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.1","D13","COMO",2018-06-05 16:06:00,3,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,32.258064516129,"count per square meter","segmented_worms",10,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.1","D13","COMO",2018-06-05 16:06:00,3,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,32.258064516129,"count per square meter","segmented_worms",10,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.2","D13","COMO",2018-06-05 16:06:00,10,"BILALG","Arthropoda","Hexapoda","Insecta",NA,"Diptera","Chironomidae","Tanypodinae","Pentaneurini","Bilyjomyia","Bilyjomyia algens","species","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,107.52688172043,"count per square meter",NA,NA,NA,NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.3","D13","COMO",2018-06-05 16:06:00,1,"COLSP1","Arthropoda","Hexapoda","Collembola",NA,"Collembola",NA,NA,NA,NA,"Collembola sp.","order","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,5,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.1","D13","COMO",2018-06-05 16:06:00,3,"RHYVER","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Rhyacophilidae",NA,NA,"Rhyacophila","Rhyacophila verrula gr.","speciesGroup","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,32.258064516129,"count per square meter",NA,0,"prd",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.2","D13","COMO",2018-06-05 16:06:00,2,"HELSP10","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Heleniella","Heleniella sp.","genus","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,21.505376344086,"count per square meter","midges",5,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.KICKNET.2","D13","COMO",2018-06-05 16:06:00,1,"CORSP19","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Corynoneura","Corynoneura sp.","genus","COMO.20180605",2018-06-05,2018,"run","modifiedKicknet",0.25,4,"count per square meter","midges",4,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.3","D13","COMO",2018-06-05 16:06:00,41,"TVEBAV","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Tvetenia","Tvetenia bavarica gr.","speciesGroup","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,440.860215053763,"count per square meter",NA,4,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.SURBER.2","D13","COMO",2018-06-05 16:06:00,4,"HELSP10","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Orthocladiinae",NA,"Heleniella","Heleniella sp.","genus","COMO.20180605",2018-06-05,2018,"riffle","surber",0.093,43.010752688172,"count per square meter","midges",5,"cg",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
"COMO.20180605.KICKNET.1","D13","COMO",2018-06-05 16:06:00,3,"CORSP1","Mollusca",NA,"Bivalvia","Heterodonta","Veneroida",NA,NA,NA,NA,"Corbiculoidea sp.","superfamily","COMO.20180605",2018-06-05,2018,"run","modifiedKicknet",0.25,12,"count per square meter",NA,6,"cf",NA,8.59935828877005,8.54,72.0856417112299,72.05,6.03724598930481,6.04,7.65318181818182,7.31,7.61005333333333,7.851
