"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2","mean.SpCond","median.SpCond","mean.DO","median.DO","mean.DOsat","median.DOsat","mean.pH","median.pH","mean.chl","median.chl","mean.turb","median.turb","mean.fDOM","median.fDOM","mean.wTemp","median.wTemp"
"CUPE.20150508.RIFFLES.5","D04","CUPE",2015-05-08 12:30:00,41,"ORTGR","Arthropoda","Hexapoda","Insecta",NA,"Diptera","Chironomidae","Orthocladiinae",NA,NA,"Orthocladius/Cricotopus gr.","speciesGroup","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,440.860215053763,"count per square meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.5","D04","CUPE",2015-05-08 12:30:00,41,"RHESP2","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Rheotanytarsus","Rheotanytarsus sp.","genus","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,440.860215053763,"count per square meter","midges",6,"cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.2","D04","CUPE",2015-05-08 12:30:00,6,"HELSP7","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Helicopsychidae",NA,NA,"Helicopsyche","Helicopsyche sp.","genus","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,64.5161290322581,"count per square meter",NA,3,"scr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.3","D04","CUPE",2015-05-08 12:30:00,1,"HELSP7","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Helicopsychidae",NA,NA,"Helicopsyche","Helicopsyche sp.","genus","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,3,"scr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.2","D04","CUPE",2015-05-08 12:30:00,9,"ORTGR","Arthropoda","Hexapoda","Insecta",NA,"Diptera","Chironomidae","Orthocladiinae",NA,NA,"Orthocladius/Cricotopus gr.","speciesGroup","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,96.7741935483871,"count per square meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.4","D04","CUPE",2015-05-08 12:30:00,12,"HEXSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae","Elminae","Elmini","Hexacylloepus","Hexacylloepus sp.","genus","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,129.032258064516,"count per square meter",NA,5,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RUNS.2","D04","CUPE",2015-05-08 12:30:00,65,"RHESP2","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Rheotanytarsus","Rheotanytarsus sp.","genus","CUPE.20150508",2015-05-08,2015,"run","surber",0.093,698.924731182796,"count per square meter","midges",6,"cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.3","D04","CUPE",2015-05-08 12:30:00,1,"ATOTRI","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Hydrobiosidae","Hydrobiosinae","Hydrobiosini","Atopsyche","Atopsyche trifida","species","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,NA,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.4","D04","CUPE",2015-05-08 12:30:00,1,"ELMSP","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae",NA,NA,NA,"Elmidae sp.","family","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,10.752688172043,"count per square meter",NA,5,"scr","cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RUNS.3","D04","CUPE",2015-05-08 12:30:00,32,"LEPSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Leptophlebiidae",NA,NA,NA,"Leptophlebiidae sp.","family","CUPE.20150508",2015-05-08,2015,"run","surber",0.093,344.086021505376,"count per square meter",NA,4,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.4","D04","CUPE",2015-05-08 12:30:00,9,"HEMSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Empididae","Hemerodromiinae","Hemerodromiini","Hemerodromia","Hemerodromia sp.","genus","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,96.7741935483871,"count per square meter",NA,6,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RUNS.2","D04","CUPE",2015-05-08 12:30:00,51,"LEPSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Leptophlebiidae",NA,NA,NA,"Leptophlebiidae sp.","family","CUPE.20150508",2015-05-08,2015,"run","surber",0.093,548.387096774194,"count per square meter",NA,4,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.2","D04","CUPE",2015-05-08 12:30:00,10,"GLOSP1","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Glossosomatidae",NA,NA,NA,"Glossosomatidae sp.","family","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,107.52688172043,"count per square meter","unknown_glossosomatid",0,"scr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.5","D04","CUPE",2015-05-08 12:30:00,41,"TANSP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini",NA,"Tanytarsini sp.","tribe","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,440.860215053763,"count per square meter",NA,6,"cf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.3","D04","CUPE",2015-05-08 12:30:00,16,"ORTGR","Arthropoda","Hexapoda","Insecta",NA,"Diptera","Chironomidae","Orthocladiinae",NA,NA,"Orthocladius/Cricotopus gr.","speciesGroup","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,172.043010752688,"count per square meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.3","D04","CUPE",2015-05-08 12:30:00,2,"ELMSP","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae",NA,NA,NA,"Elmidae sp.","family","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,21.505376344086,"count per square meter",NA,5,"scr","cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RUNS.2","D04","CUPE",2015-05-08 12:30:00,10,"BAESP","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Baetidae",NA,NA,NA,"Baetidae sp.","family","CUPE.20150508",2015-05-08,2015,"run","surber",0.093,107.52688172043,"count per square meter",NA,6,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.1","D04","CUPE",2015-05-08 12:30:00,3,"ELMSP","Arthropoda","Hexapoda","Insecta","Pterygota","Coleoptera","Elmidae",NA,NA,NA,"Elmidae sp.","family","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,32.258064516129,"count per square meter",NA,5,"scr","cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.5","D04","CUPE",2015-05-08 12:30:00,4,"PETSP4","Arthropoda","Hexapoda","Insecta","Pterygota","Lepidoptera","Crambidae","Nymphulinae","Argyractini","Petrophila","Petrophila sp.","genus","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,43.010752688172,"count per square meter","Petrophila",5,"scr","sh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CUPE.20150508.RIFFLES.2","D04","CUPE",2015-05-08 12:30:00,5,"HELSP7","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Helicopsychidae",NA,NA,"Helicopsyche","Helicopsyche sp.","genus","CUPE.20150508",2015-05-08,2015,"riffle","surber",0.093,53.7634408602151,"count per square meter",NA,3,"scr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
