"domainID","siteID","namedLocation","collectDate","algSampleID","perBottleSampleVolume","algalParameter","algalParameterValue","eventID","date","year","habitatType","algalSampleType","samplerType","benthicArea","substratumSizeClass","alg_dens","alg_dens_unit","mean.parws","median.parws"
"D01","HOPB","HOPB.AOS.S2",2016-10-05 10:45:00,"HOPB.20161005.SESTON.1",1020,"biovolume density",15056,"HOPB.20161005",2016-10-05,2016,"pool","seston",NA,NA,"cobble",NA,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"valves",2,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",336.813742000674,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.S2",2016-10-05 10:45:00,"HOPB.20161005.SESTON.1",1020,"biovolume density",1192,"HOPB.20161005",2016-10-05,2016,"pool","seston",NA,NA,"cobble",NA,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"valves",1,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",168.406871000337,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.5",59,"valves",2,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",831.255195344971,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.4",62,"biovolume density",128233623,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",53297432668.3292,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"biovolume density",23251713,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",9664053615.9601,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"valves",16,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",6650.04156275977,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"cell density",41048,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",6912765.24082183,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.5",59,"biovolume density",417580,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",173557772.236076,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPILITHON.3",69,"cell density",8488,"HOPB.20161005",2016-10-05,2016,"riffle","epilithon",NA,0.002406,"cobble",3527847.04904406,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",1544811,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",260156786.796901,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.1",56,"biovolume density",60130462,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",10126382957.2247,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.3",66,"cell density",41048,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",6912765.24082183,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"biovolume density",207119987,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",34880428932.3004,"count or biovolume per square meter",NA,NA
"D01","HOPB","HOPB.AOS.reach",2016-10-05 10:45:00,"HOPB.20161005.EPIPSAMMON.2",65,"biovolume density",79615552,"HOPB.20161005",2016-10-05,2016,"pool","epipsammon",NA,0.005938,"sand",13407805995.2846,"count or biovolume per square meter",NA,NA
