"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2","mon.ADD","mon.precip","mean.SpCond","median.SpCond","mean.DO","median.DO","mean.DOsat","median.DOsat","mean.pH","median.pH","mean.chl","median.chl","mean.turb","median.turb","mean.fDOM","median.fDOM","mean.wTemp","median.wTemp"
"HOPB.20161011.CORE.2","D01","HOPB",2016-10-11 14:38:00,1,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,166.666666666667,"count per square meter","segmented_worms",5,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.2","D01","HOPB",2016-10-11 14:38:00,4,"BRUSP","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Tanypodinae","Macropelopiini","Brundiniella","Brundiniella sp.","genus","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,666.666666666667,"count per square meter",NA,6,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.2","D01","HOPB",2016-10-11 14:38:00,8,"PARSP15","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Capniidae","Capniinae",NA,"Paracapnia","Paracapnia sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,86.0215053763441,"count per square meter",NA,1,"sh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.1","D01","HOPB",2016-10-11 14:38:00,2,"FELSP1","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Feltriidae",NA,NA,"Feltria","Feltria sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter",NA,5,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.3","D01","HOPB",2016-10-11 14:38:00,2,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,333.333333333333,"count per square meter","segmented_worms",5,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.4","D01","HOPB",2016-10-11 14:38:00,2,"LUMSP2","Annelida","Clitellata","Oligochaeta","Oligochaeta","Lumbriculida","Lumbriculidae",NA,NA,NA,"Lumbriculidae sp.","family","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter","segmented_worms",5,"cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.3","D01","HOPB",2016-10-11 14:38:00,1,"PROSP37","Nemertea",NA,"Enopla",NA,"Hoplonemertea","Tetrastemmatidae",NA,NA,"Prostoma","Prostoma sp.","genus","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,166.666666666667,"count per square meter","Prostoma",8,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.3","D01","HOPB",2016-10-11 14:38:00,4,"LEUSP8","Arthropoda","Hexapoda","Insecta","Pterygota","Plecoptera","Leuctridae","Leuctrinae",NA,"Leuctra","Leuctra sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,43.010752688172,"count per square meter","Leuctra",0,"sh","cg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.CORE.2","D01","HOPB",2016-10-11 14:38:00,11,"CERSP10","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Ceratopogonidae","Ceratopogoninae",NA,NA,"Ceratopogoninae sp.","subfamily","HOPB.20161011",2016-10-11,2016,"pool","core",0.006,1833.33333333333,"count per square meter",NA,6,"prd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOPB.20161011.SURBER.3","D01","HOPB",2016-10-11 14:38:00,2,"LEPSP20","Arthropoda","Hexapoda","Insecta","Pterygota","Trichoptera","Lepidostomatidae","Lepidostomatinae",NA,"Lepidostoma","Lepidostoma sp.","genus","HOPB.20161011",2016-10-11,2016,"riffle","surber",0.093,21.505376344086,"count per square meter",NA,1,"sh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
