"sampleID","domainID","siteID","collectDate","estimatedTotalCount","acceptedTaxonID","phylum","subphylum","class","subclass","order","family","subfamily","tribe","genus","scientificName","taxonRank","eventID","date","year","habitatType","samplerType","benthicArea","inv_dens","inv_dens_unit","organism_aggr","tolerance","FFG","FFG2","mon.precip"
"SYCA.20170703.SURBER.1","D14","SYCA",2017-07-03 17:30:00,1,"RHESP2","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Tanytarsini","Rheotanytarsus","Rheotanytarsus sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter","midges",6,"cf",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,7,"LIMSP7","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Limnesiidae",NA,NA,NA,"Limnesiidae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,75.2688172043011,"count per square meter",NA,NA,NA,NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,1,"CHISP8","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Chironomidae","Chironominae","Chironomini","Chironomus","Chironomus sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,10.752688172043,"count per square meter",NA,10,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,166.666666666667,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,166.666666666667,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.CORE.2","D14","SYCA",2017-07-03 17:30:00,1,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"pool","core",0.006,166.666666666667,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.8","D14","SYCA",2017-07-03 17:30:00,3,"DASSP2","Arthropoda","Hexapoda","Insecta","Pterygota","Diptera","Ceratopogonidae","Dasyheleinae",NA,"Dasyhelea","Dasyhelea sp.","genus","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,32.258064516129,"count per square meter","Dasyhelea",6,"cg","scr",NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,5,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,53.7634408602151,"count per square meter","segmented_worms",8,"cg",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,5,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,53.7634408602151,"count per square meter","segmented_worms",10,"cg",NA,NA
"SYCA.20170703.SURBER.5","D14","SYCA",2017-07-03 17:30:00,5,"NAISP","Annelida","Clitellata","Oligochaeta","Oligochaeta","Tubificida","Naididae",NA,NA,NA,"Naididae sp.","family","SYCA.20170703",2017-07-03,2017,"run","surber",0.093,53.7634408602151,"count per square meter","segmented_worms",10,"cg",NA,NA
