"year","date","mean.discharge","median.discharge","mean.gh","median.gh"
2018,2018-01-01,41.63,41.6,NA,NA
2018,2018-01-02,41.7916666666667,41.8,NA,NA
2018,2018-01-03,42.15,42.05,NA,NA
2018,2018-01-04,43.3416666666667,43.35,NA,NA
2018,2018-01-05,43.9,43.9,NA,NA
2018,2018-01-06,44.0833333333333,44.1,NA,NA
2018,2018-01-07,44.9583333333333,45,NA,NA
2018,2018-01-08,45.7,45.7,NA,NA
2018,2018-01-09,45.825,45.7,NA,NA
2018,2018-01-10,48.4833333333333,48.45,NA,NA
2018,2018-01-11,53.6166666666667,53.3,6.78583333333333,6.145
2018,2018-01-12,59.65,59.35,6.381875,6.275
2018,2018-01-13,61.9166666666667,61.95,8.47604166666667,8.39
2018,2018-01-14,63.2666666666667,63.25,10.0533333333333,8.39
2018,2018-01-15,64.9333333333333,65.05,10.6036363636364,10.91
2018,2018-01-16,65.7666666666667,65.75,7.320625,7.26
2018,2018-01-17,66.4916666666667,66.5,6.675,6.74
2018,2018-01-18,67.2583333333333,67.25,6.48510416666667,6.45
2018,2018-01-19,67.7,67.7,6.6440625,6.7
2018,2018-01-20,74.6977272727273,76.9,6.2690625,6.26
2018,2018-01-21,70.603125,70.2,6.24364583333333,6.24
2018,2018-01-22,68.003125,67.7,6.22291666666667,6.22
2018,2018-01-23,139.877083333333,89.6,6.57260416666667,6.335
2018,2018-01-24,324.520833333333,322,7.374375,7.38
2018,2018-01-25,188.827586206897,198,6.8165625,6.82
2018,2018-01-26,134.916666666667,138,6.77072916666667,6.76
2018,2018-01-27,116.529411764706,116,8.2605376344086,6.69
2018,2018-01-28,108.947916666667,107.5,6.40447916666667,6.395
2018,2018-01-29,116.40625,116,6.45270833333333,6.45
2018,2018-01-30,104.166666666667,103,6.37541666666667,6.37
2018,2018-01-31,99.39375,100,6.34302083333333,6.35
2018,2018-02-01,85.5197916666667,83.8,6.24270833333333,6.23
2018,2018-02-02,82.2395833333333,82.5,6.21791666666667,6.22
2018,2018-02-03,68.6309523809524,68.9,7.39306451612903,6.145
2018,2018-02-04,81.375,84.45,7.44169491525424,6.28
2018,2018-02-05,173.282291666667,181,6.748125,6.805
2018,2018-02-06,143.03,160.5,6.64645833333333,6.67
2018,2018-02-07,88.7,88.4,6.42364583333333,6.41
2018,2018-02-08,78.6666666666667,78.4,6.51385416666667,6.56
2018,2018-02-09,92.6884615384615,90.5,6.28739583333333,6.26
2018,2018-02-10,79.1458333333333,78.6,6.19385416666667,6.19
2018,2018-02-11,145.78125,108.5,6.56875,6.405
2018,2018-02-12,446.083333333333,421,7.74427083333333,7.695
2018,2018-02-13,199.90625,184,6.88739583333333,6.82
2018,2018-02-14,143.145833333333,141,6.61166666666667,6.6
2018,2018-02-15,136.552083333333,136.5,6.5740625,6.575
2018,2018-02-16,170.0625,162,6.74875,6.71
2018,2018-02-17,190.729166666667,184,6.84416666666667,6.82
2018,2018-02-18,141.760416666667,143,6.60427083333333,6.61
2018,2018-02-19,123.166666666667,124,6.49583333333333,6.5
2018,2018-02-20,202.65625,216,6.8946875,6.965
2018,2018-02-21,306.78125,295,7.31614583333333,7.28
2018,2018-02-22,356.614583333333,345.5,7.47604166666667,7.455
2018,2018-02-23,206.947916666667,203,6.9240625,6.91
2018,2018-02-24,280.322916666667,279,7.2209375,7.22
2018,2018-02-25,344.458333333333,291.5,7.41625,7.265
2018,2018-02-26,399.447916666667,371,7.61083333333333,7.54
2018,2018-02-27,261.697916666667,253,7.14958333333333,7.12
2018,2018-02-28,216.104166666667,212,6.96520833333333,6.95
2018,2018-03-01,202.177083333333,201,6.90447916666667,6.9
2018,2018-03-02,329.78125,280.5,7.34697916666667,7.225
2018,2018-03-03,487.177083333333,434.5,7.84833333333333,7.735
2018,2018-03-04,280.791666666667,275.5,7.22229166666667,7.205
2018,2018-03-05,220.104166666667,218,6.98229166666667,6.975
2018,2018-03-06,192.1875,190,6.85895833333333,6.85
2018,2018-03-07,178.270833333333,178,6.79239583333333,6.79
2018,2018-03-08,175.59375,176,6.78,6.78
2018,2018-03-09,161.46875,160,6.70854166666667,6.7
2018,2018-03-10,148.197916666667,146,6.63927083333333,6.63
2018,2018-03-11,139.572916666667,138,6.59145833333333,6.585
2018,2018-03-12,137.885416666667,137,6.5821875,6.58
2018,2018-03-13,138.28125,137,6.58583333333333,6.58
2018,2018-03-14,136.135416666667,136,6.57239583333333,6.57
2018,2018-03-15,130.375,129,6.53885416666667,6.53
2018,2018-03-16,121.916666666667,122,6.48875,6.49
2018,2018-03-17,114.3125,116,6.45,6.45
2018,2018-03-18,95.0333333333333,93.4,NA,NA
2018,2018-03-19,93.2583333333333,93.4,NA,NA
2018,2018-03-20,90.9583333333333,90.8,NA,NA
2018,2018-03-21,91.6904761904762,91.9,6.29081081081081,6.29
2018,2018-03-22,91.4333333333333,91.9,6.28666666666667,6.29
2018,2018-03-23,101.264583333333,100,6.35625,6.35
